Station,Station_new,Status,SamplingType
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,active,shore
C9 - West Canal @ Clifton Court Intake,C9,active,shore
D10 - Sacramento River @ Chipps Island,D10,active,boat
D16 - San Joaquin River @ Twitchell Island,D16,active,boat
D19 - Frank's Tract near Russo's Landing,D19,active,boat
D22 - Sacramento River @ Emmaton,D22,active,boat
D26 - San Joaquin River @ Potato Point,D26,active,boat
D12 - San Joaquin River @ Antioch Ship Channel,D12,active,boat
D28A - Old River @ Rancho Del Rio,D28A,active,boat
D4 - Sacramento River above Point Sacramento,D4,active,boat
D41 - San Pablo Bay near Pinole Point,D41,active,boat
D41A - San Pablo Bay near Mouth of Petaluma River,D41A,active,boat
D6 - Suisun Bay @ Bulls Head nr. Martinez,D6,active,boat
D7 - Grizzly Bay @ Dolphin nr. Suisun Slough,D7,active,boat
D8 - Suisun Bay off Middle Point nr. Nichols,D8,active,boat
MD10A - Disappointment Slough @ Bishop Cut,MD10A,active,boat
NZ002 - Carquinez Strait near Glencove Harbor,NZ002,active,boat
NZ004 - Carquinez Strait near Ozol Pier,NZ004,active,boat
NZ032 - Montezuma Slough nr Grizzly Island Club,NZ032,active,boat
NZ068 in Sacramento River,NZ068,active,boat
NZ325 - San Pablo Bay near Rock Wall and Light 15,NZ325,active,boat
NZS42 - Suisun Slough @ Volanti Slough,NZS42,active,boat
P8 - San Joaquin River @ Buckley Cove,P8,active,boat
SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC,LSZ2,active,boat
SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC,LSZ6,active,boat
SF Estuarine Entrapment Zone-2000 µS/cm bottom EC,LSZ2-SJR,active,boat
SF Estuarine Entrapment Zone-6000 µS/cm bottom EC,LSZ6-SJR,active,boat
Sacramento River @ Hood - C3A,C3A,active,shore
D42 - San Pablo Bay near Mare Island,D42,inactive,boat
P10 - Middle River @ Victoria Canal,P10,inactive,boat
S42 - Suisun Slough 300' south of Volanti Slough,S42,inactive,boat
Middle River @ Union Point - P10A,P10A,inactive,boat
MD7A - Little Potato Slough @ Terminous,MD7A,inactive,boat
C3 - Sacramento River @ Greene's Landing,C3,inactive,shore
C7 - SJR from Boat Dock @ Mossdale Bridge,C7,inactive,boat
D11 - Sherman Lake near Antioch,D11,inactive,boat
D14A - Big Break near Oakley,D14A,inactive,boat
D2 - Suisun Bay near Preston Point,D2,inactive,boat
D24 -Sacramento River below Rio Vista Bridge,D24,inactive,boat
D9 - Honker Bay near Wheeler Point,D9,inactive,boat
MD10 - Disappointment Slough @ Bishop Cut,MD10,inactive,boat
MD6 - Sycamore Slough near Mouth,MD6,inactive,boat
MD7 - South Fork Mokelumne below Sycamore Slough,MD7,inactive,boat
Old River @ Tracy Road Bridge - P12,P12,inactive,boat
P2 - Mokelumne River @ Franklin Road Bridge,P2,inactive,boat
San Joaquin River @ Jersey Point - D15,D15,inactive,boat
San Joaquin River near Vernalis - C10,C10,inactive,shore
Old River @ Oak Island - P12A,P12A,inactive,boat
