region,date,n,n.cen,median,mean,sd,RL
Central Delta,1/1/2018,4,1,0.77,1.2425,0.74676176,0.5
Central Delta,2/1/2018,4,1,1.11,1.285,0.2755676,0.5
Central Delta,3/1/2018,4,0,2.75,3.205,0.6767816,
Central Delta,4/1/2018,4,0,1.8,3.0075,1.78264551,
Central Delta,5/1/2018,4,0,1.91,1.905,0.05446712,
Central Delta,6/1/2018,4,0,2.16,2.4825,0.39533741,
Central Delta,7/1/2018,4,0,3.51,3.655,0.31733263,
Central Delta,8/1/2018,4,0,2.56,5.7425,5.42613659,
Central Delta,9/1/2018,4,0,1.67,1.73,0.16792856,
Central Delta,10/1/2018,4,0,1.48,1.5525,0.18625699,
Central Delta,11/1/2018,4,0,1.14,2.19,2.18757095,
Central Delta,12/1/2018,4,0,0.78,0.8475,0.17461863,
Central Delta,1/1/2019,4,0,0.95,1.1,0.25742313,
Central Delta,2/1/2019,4,0,0.89,1.5225,1.35718766,
Central Delta,3/1/2019,4,0,0.85,1.0425,0.31020155,
Central Delta,4/1/2019,4,0,1,1.19,0.39268308,
Central Delta,5/1/2019,4,0,1.2,1.2725,0.12763881,
Central Delta,6/1/2019,4,2,NA,0.515,0.03674235,0.5
Central Delta,7/1/2019,4,0,1.34,1.2975,0.34989284,
Central Delta,8/1/2019,4,0,1.09,1.6125,0.76342976,
Central Delta,9/1/2019,4,1,0.72,1.0575,0.48593016,0.5
Central Delta,10/1/2019,4,0,1.11,1.2325,0.20822664,
Central Delta,11/1/2019,4,0,1.32,1.445,0.27525746,
Central Delta,12/1/2019,4,0,0.82,1.1925,0.59100902,
Confluence,1/1/2018,4,0,0.94,1.19,0.46353713,
Confluence,2/1/2018,4,0,2.05,2.2,0.74498322,
Confluence,3/1/2018,4,0,3.16,4.2725,2.33057039,
Confluence,4/1/2018,4,0,1.79,2.16,0.7048877,
Confluence,5/1/2018,4,0,4,6.0275,4.7321269,
Confluence,6/1/2018,4,0,2.03,2.64,0.8912164,
Confluence,7/1/2018,4,0,3.13,3.8325,1.0459565,
Confluence,8/1/2018,4,0,2.22,2.4575,0.39836123,
Confluence,9/1/2018,4,0,2.01,1.995,0.41056871,
Confluence,10/1/2018,4,0,0.84,1.095,0.33251566,
Confluence,11/1/2018,4,0,1.09,1.4175,0.58647961,
Confluence,12/1/2018,4,0,0.9,0.8875,0.1445395,
Confluence,1/1/2019,4,0,1.11,1.3075,0.30048572,
Confluence,2/1/2019,4,0,1.12,1.4075,0.36908671,
Confluence,3/1/2019,4,0,1.5,2,1.02956301,
Confluence,4/1/2019,4,0,2.07,2.0575,0.53549821,
Confluence,5/1/2019,4,0,1.93,2.55,1.10233086,
Confluence,6/1/2019,4,0,1.4,1.5075,0.61467471,
Confluence,7/1/2019,4,0,2.79,2.955,1.05894602,
Confluence,8/1/2019,4,1,2.27,2.9375,0.8765005,0.5
Confluence,9/1/2019,4,0,1.99,2.29,0.52921325,
Confluence,10/1/2019,4,0,1.6,1.7575,0.39533741,
Confluence,11/1/2019,4,0,2,1.9425,0.35084422,
Confluence,12/1/2019,4,0,0.84,0.8325,0.11441882,
Northern Interior Delta,1/2/2018,0,NA,2.185,0.67175144,,
Northern Interior Delta,2/2/2018,0,NA,2.02,0.80610173,,
Northern Interior Delta,3/2/2018,0,NA,2.565,1.4495689,,
Northern Interior Delta,4/2/2018,0,NA,3.315,1.91625938,,
Northern Interior Delta,5/2/2018,0,NA,3.955,2.31223917,,
Northern Interior Delta,6/2/2018,0,NA,2.305,0.79903066,,
Northern Interior Delta,7/2/2018,0,NA,2.765,1.68998521,,
Northern Interior Delta,8/2/2018,0,NA,2.04,1.20208153,,
Northern Interior Delta,9/2/2018,0,NA,1.395,0.33234019,,
Northern Interior Delta,10/2/2018,1,NA,1.07,,#NUM!,0.5
Northern Interior Delta,11/2/2018,0,NA,0.915,0.28991378,,
Northern Interior Delta,12/2/2018,0,NA,0.765,0.30405592,,
Northern Interior Delta,1/2/2019,0,NA,1.965,1.26572114,,
Northern Interior Delta,2/2/2019,0,NA,1.73,0.21213203,,
Northern Interior Delta,3/2/2019,0,NA,2.04,0.4384062,,
Northern Interior Delta,4/2/2019,0,NA,3.26,0.18384776,,
Northern Interior Delta,5/2/2019,0,NA,1.005,0.16263456,,
Northern Interior Delta,6/2/2019,0,NA,0.975,0.06363961,,
Northern Interior Delta,7/2/2019,0,NA,0.89,0.3959798,,
Northern Interior Delta,8/2/2019,0,NA,1.905,0.53033009,,
Northern Interior Delta,9/2/2019,0,NA,1.29,0.36769553,,
Northern Interior Delta,10/2/2019,0,NA,1.025,0.0212132,,
Northern Interior Delta,11/2/2019,1,NA,1.22,,#NUM!,0.5
Northern Interior Delta,12/2/2019,0,NA,1.07,0.48083261,,
San Pablo Bay,1/1/2018,6,0,1.1,1.186667,0.23669953,
San Pablo Bay,2/1/2018,6,0,1.61,2.081667,0.61068541,
San Pablo Bay,3/1/2018,6,0,1.91,1.95,0.42393396,
San Pablo Bay,4/1/2018,6,0,5,8.571667,9.28989864,
San Pablo Bay,5/1/2018,6,0,2.67,2.595,0.74505704,
San Pablo Bay,6/1/2018,6,0,2.64,3.048333,0.87914542,
San Pablo Bay,7/1/2018,6,0,1.99,2.38,0.55508558,
San Pablo Bay,8/1/2018,6,0,2.02,2.218333,0.53026094,
San Pablo Bay,9/1/2018,6,0,1.72,2.01,0.79929969,
San Pablo Bay,10/1/2018,6,0,2.12,2.333333,0.44567552,
San Pablo Bay,11/1/2018,3,0,1.74,1.74,0.05,
San Pablo Bay,12/1/2018,6,0,1.09,1.491667,0.56439053,
San Pablo Bay,1/1/2019,6,0,1.12,1.443333,0.85831618,
San Pablo Bay,2/1/2019,6,0,1.58,1.581667,0.13029454,
San Pablo Bay,3/1/2019,6,0,1.69,2.091667,0.96188184,
San Pablo Bay,4/1/2019,6,0,2.2,2.608333,0.93516665,
San Pablo Bay,5/1/2019,6,0,1.68,1.631667,0.31593776,
San Pablo Bay,6/1/2019,6,0,2.58,2.673333,0.65101971,
San Pablo Bay,7/1/2019,6,0,1.8,2.025,0.58002586,
San Pablo Bay,8/1/2019,6,0,2.32,2.301667,0.82722226,
San Pablo Bay,9/1/2019,6,0,1.17,1.766667,0.86136326,
San Pablo Bay,10/1/2019,6,0,1.69,1.663333,0.8005165,
San Pablo Bay,11/1/2019,6,0,0.7,1.036667,0.58318665,
San Pablo Bay,12/1/2019,6,0,1.02,1.233333,0.4034683,
Southern Interior Delta,1/4/2018,0,2.02,2.75,2.00610734,,
Southern Interior Delta,2/4/2018,0,0.91,4.45,6.88211208,,
Southern Interior Delta,3/4/2018,0,1.58,5.4325,7.35640934,,
Southern Interior Delta,4/4/2018,0,2.37,3.9725,2.88943334,,
Southern Interior Delta,5/4/2018,0,4.99,4.2625,1.97070842,,
Southern Interior Delta,6/4/2018,4,0,2.62,14.3075,22.73946258,
Southern Interior Delta,7/4/2018,4,0,7.87,24.1075,31.85570004,
Southern Interior Delta,8/4/2018,4,0,4.31,13.4525,11.08913996,
Southern Interior Delta,9/4/2018,4,0,3.9,13.12,19.15861512,
Southern Interior Delta,10/4/2018,0,2.22,2.8125,1.93065403,,
Southern Interior Delta,11/4/2018,0,1.42,1.8725,0.99664019,,
Southern Interior Delta,12/4/2018,1,0.76,1.515,1.51107164,,0.5
Southern Interior Delta,1/4/2019,0,0.84,2.5975,3.05900174,,
Southern Interior Delta,2/4/2019,0,1.01,2.7225,2.8478925,,
Southern Interior Delta,3/4/2019,0,1.29,2.0625,0.9320363,,
Southern Interior Delta,4/4/2019,0,1.59,2.285,1.36074734,,
Southern Interior Delta,5/4/2019,0,1.04,1.2275,0.29101833,,
Southern Interior Delta,6/4/2019,0,2.49,2.44,0.84817451,,
Southern Interior Delta,7/4/2019,4,0,4.06,11.92,17.50698146,
Southern Interior Delta,8/4/2019,0,3.12,7.275,7.96067208,,
Southern Interior Delta,9/4/2019,0,3.7,6.045,3.55477613,,
Southern Interior Delta,10/4/2019,0,2.16,2.28,0.79225417,,
Southern Interior Delta,11/4/2019,0,1.95,2.1375,0.75194747,,
Southern Interior Delta,12/4/2019,0,1.31,2.0975,1.7859148,,
Suisun & Grizzly Bays,1/1/2018,4,0,0.9,1.26,0.47840011,
Suisun & Grizzly Bays,2/1/2018,4,0,1.91,2.06,0.29131884,
Suisun & Grizzly Bays,3/1/2018,4,0,2.46,3.655,1.50975715,
Suisun & Grizzly Bays,4/1/2018,4,0,1.71,2.0875,0.55138462,
Suisun & Grizzly Bays,5/1/2018,4,0,6.38 10.190000,6.10061199,,
Suisun & Grizzly Bays,6/1/2018,4,0,2.44,2.71,0.834386,
Suisun & Grizzly Bays,7/1/2018,4,0,2.29,2.945,1.33909173,
Suisun & Grizzly Bays,8/1/2018,4,0,2.44,2.47,0.30757113,
