Analyte,Different,Same,NA,
DissBromide,0,6,0,100.0
DON,0,6,0,100.0
TurbidityBottom,0,6,0,100.0
WTSurface,0,6,0,100.0
Chla,1,5,0,83.3
DissNitrateNitrite,1,5,0,83.3
Pheophytin,1,5,0,83.3
TKN,1,5,0,83.3
TotPhos,1,5,0,83.3
DissAmmonia,2,4,0,66.7
TurbiditySurface,2,4,0,66.7
TotAlkalinity,3,3,0,50.0
TSS,3,3,0,50.0
WTBottom,3,3,0,50.0
pHSurface,4,2,0,33.3
Secchi,4,2,0,33.3
VSS,4,2,0,33.3
Depth,5,1,0,16.7
DissOrthophos,5,1,0,16.7
DissSilica,5,1,0,16.7
DOC,5,1,0,16.7
DOSurface,5,1,0,16.7
pHBottom,5,1,0,16.7
TOC,5,1,0,16.7
DissCalcium,6,0,0,0.0
DissChloride,6,0,0,0.0
DOBottom,6,0,0,0.0
SpCndBottom,6,0,0,0.0
SpCndSurface,6,0,0,0.0
TDS,6,0,0,0.0
