Station,Date,Time,SampleDescription,FieldNotes,Weather,AirTemp,WindVelocity,WindDirection,NorthLat,WestLong,Chla,Pheophytin,TotAlkalinity,TotAmmonia,DissAmmonia,DissBromide,DissCalcium,TotChloride,DissChloride,DissNitrateNitrite,DOC,TOC,DON,TON,DissOrthophos,TotPhos,DissSilica,TKN,Depth,Secchi,Microcystis,LightExtinction,SpCndSurface,DOSurface,DOpercentSurface,WTSurface,TurbiditySurface,pHSurface,SpCndBottom,DOBottom,DOpercentBottom,WTBottom,TurbidityBottom,pHBottom
C10,1975-01-21,16:00:00,NA,NA,NA,53.6,NA,NA,NA,NA,6.48,3.47,NA,0.12,NA,NA,NA,106,NA,NA,NA,NA,0.4,0.5,0.09,0.17,15,0.6,NA,74,NA,NA,645,9.8,NA,10,8,7.5,NA,NA,NA,NA,NA,NA
C10,1975-02-03,15:00:00,NA,NA,NA,55.4,6,NA,NA,NA,16.98,5.25,NA,0.14,NA,NA,NA,95,NA,NA,NA,NA,0.7,0.9,0.08,0.19,11.8,1,NA,43,NA,1.21,633,9.9,NA,11,16,NA,NA,NA,NA,NA,NA,NA
C10,1975-03-18,11:00:00,NA,NA,NA,64.4,NA,NA,NA,NA,9.26,5.79,NA,0.05,NA,NA,NA,49,NA,0.72,NA,NA,0.4,0.5,0.09,0.15,14,0.5,NA,38,NA,1.48,408,9.7,NA,13,22,7.6,NA,NA,NA,NA,NA,NA
C10,1975-04-01,13:00:00,NA,NA,NA,66.2,12,NA,NA,NA,14.51,5.87,NA,0.03,NA,NA,NA,50,NA,0.71,NA,NA,0.5,0.6,0.05,0.14,14,0.6,NA,33,NA,1.35,398,9.7,NA,13,25,7.6,NA,NA,NA,NA,NA,NA
C10,1975-04-18,14:00:00,NA,NA,NA,71.6,8,NA,NA,NA,21.61,9.07,NA,0.02,NA,NA,NA,80,NA,1,NA,NA,0.3,0.7,0.1,0.18,17,0.7,NA,36,NA,1.02,633,9.4,NA,15,26,7.4,NA,NA,NA,NA,NA,NA
C10,1975-05-01,14:00:00,NA,NA,NA,77,4,NA,NA,NA,36.28,15.82,NA,0.1,NA,NA,NA,121,NA,1.02,NA,NA,0.7,0.9,0.13,0.22,16,1,NA,30,NA,0.92,702,8.9,NA,19,32,7.8,NA,NA,NA,NA,NA,NA
C10,1975-05-15,12:00:00,NA,NA,NA,71.6,7,NA,NA,NA,41.68,16.21,NA,NA,NA,NA,NA,54,NA,0.47,NA,NA,0.4,0.5,0.08,0.15,16,0.5,NA,36,NA,1.28,405,9.5,NA,18,19,7.8,NA,NA,NA,NA,NA,NA
C10,1975-06-03,17:00:00,NA,NA,NA,91.4,8,NA,NA,NA,23.93,5.6,NA,NA,NA,NA,NA,23,NA,0.94,NA,NA,0.4,0.5,0.06,0.15,10,0.5,NA,28,NA,0.85,198,8.9,NA,19,18,7.3,NA,NA,NA,NA,NA,NA
C10,1975-06-17,16:00:00,NA,NA,NA,75.2,14,NA,NA,NA,11.27,3.9,NA,NA,NA,NA,NA,15,NA,0.32,NA,NA,0.3,0.3,0.05,0.1,10,0.3,NA,36,NA,NA,140,8.7,NA,19,17,7.6,NA,NA,NA,NA,NA,NA
C10,1975-07-01,16:00:00,NA,NA,NA,78.8,6,NA,NA,NA,74.87,25.28,NA,NA,NA,NA,NA,120,NA,1.22,NA,NA,0.5,1,0.09,0.27,16,1,NA,25,NA,0.66,736,9.8,NA,21,32,8.2,NA,NA,NA,NA,NA,NA
