Project,SubProject,Station,Depth,Date,ConstituentName,UnitName,ReportingLimit,LabAnalysisRemarks,Group,ResultPrefix,Result
EMP Monitoring,Discrete WQ,D28A,3,1978-02-15,Kjeldahl Nitrogen (Total),mg/L as N,NA,NA,Nutrients,=,0.9
EMP Monitoring,Discrete WQ,D28A,3,1978-02-15,Kjeldahl Nitrogen (Total),mg/L as N,NA,NA,Nutrients,=,0.8
EMP Monitoring,Discrete WQ,D28A,3,1978-02-15,Ortho-phosphate (Dissolved),mg/L as P,NA,NA,Nutrients,=,0.15
EMP Monitoring,Discrete WQ,D28A,3,1978-02-15,Ortho-phosphate (Dissolved),mg/L as P,NA,NA,Nutrients,=,0.06
EMP Monitoring,Discrete WQ,D28A,3,1978-02-15,Chloride (Total),mg/L,NA,NA,Other,=,48
EMP Monitoring,Discrete WQ,D28A,3,1978-02-15,Chloride (Total),mg/L,NA,NA,Other,=,65
EMP Monitoring,Discrete WQ,D28A,3,1978-02-15,Silica (SiO2) (Dissolved),mg/L,NA,NA,Nutrients,=,17
EMP Monitoring,Discrete WQ,D28A,3,1978-02-15,Silica (SiO2) (Dissolved),mg/L,NA,NA,Nutrients,=,13
EMP Monitoring,Discrete WQ,D28A,3,1978-02-15,TDS,mg/L,NA,NA,Other,=,264
EMP Monitoring,Discrete WQ,D28A,3,1978-02-15,TDS,mg/L,NA,NA,Other,=,308
EMP Monitoring,Discrete WQ,D28A,3,1978-02-15,Nitrite + Nitrate (Dissolved),mg/L as N,NA,NA,Nutrients,=,1.1
EMP Monitoring,Discrete WQ,D28A,3,1978-02-15,Nitrite + Nitrate (Dissolved),mg/L as N,NA,NA,Nutrients,=,1.9
EMP Monitoring,Discrete WQ,D28A,3,1978-02-15,VSS,mg/L,NA,NA,Other,=,2
EMP Monitoring,Discrete WQ,D28A,3,1978-02-15,VSS,mg/L,NA,NA,Other,=,4
EMP Monitoring,Discrete WQ,D28A,3,1978-02-15,TSS,mg/L,NA,NA,Other,=,23
EMP Monitoring,Discrete WQ,D28A,3,1978-02-15,TSS,mg/L,NA,NA,Other,=,26
EMP Monitoring,Discrete WQ,S42,3,1979-06-19,Chlorophyll a,µg/L,NA,NA,Biological,=,39.53
EMP Monitoring,Discrete WQ,S42,3,1979-06-19,Chlorophyll a,µg/L,NA,NA,Biological,=,40.26
EMP Monitoring,Discrete WQ,S42,3,1979-06-19,Pheophytin a,µg/L,NA,NA,Biological,=,20.37
EMP Monitoring,Discrete WQ,S42,3,1979-06-19,Pheophytin a,µg/L,NA,NA,Biological,=,10.5
EMP Monitoring,Discrete WQ,C7,3,1982-05-17,Pheophytin a,µg/L,NA,NA,Biological,=,2.44
EMP Monitoring,Discrete WQ,C7,3,1982-05-17,Pheophytin a,µg/L,NA,NA,Biological,=,2.43
EMP Monitoring,Discrete WQ,C7,3,1982-05-17,Chlorophyll a,µg/L,NA,NA,Biological,=,7.41
EMP Monitoring,Discrete WQ,C7,3,1982-05-17,Chlorophyll a,µg/L,NA,NA,Biological,=,7.41
EMP Monitoring,Discrete WQ,C3,3,1982-05-17,Chlorophyll a,µg/L,NA,NA,Biological,=,2.94
EMP Monitoring,Discrete WQ,C3,3,1982-05-17,Chlorophyll a,µg/L,NA,NA,Biological,=,2.93
EMP Monitoring,Discrete WQ,C3,3,1982-05-17,Pheophytin a,µg/L,NA,NA,Biological,=,1.47
EMP Monitoring,Discrete WQ,C3,3,1982-05-17,Pheophytin a,µg/L,NA,NA,Biological,=,1.47
EMP Monitoring,Discrete WQ,P10,3,1982-06-28,Chlorophyll a,µg/L,NA,NA,Biological,=,40.91
EMP Monitoring,Discrete WQ,P10,3,1982-06-28,Chlorophyll a,µg/L,NA,NA,Biological,=,40.91
EMP Monitoring,Discrete WQ,P10,3,1982-06-28,Pheophytin a,µg/L,NA,NA,Biological,=,7.14
EMP Monitoring,Discrete WQ,P10,3,1982-06-28,Pheophytin a,µg/L,NA,NA,Biological,=,7.14
EMP Monitoring,Discrete WQ,D15,3,1982-08-12,Chlorophyll a,µg/L,NA,NA,Biological,=,32.89
EMP Monitoring,Discrete WQ,D15,3,1982-08-12,Chlorophyll a,µg/L,NA,NA,Biological,=,32.88
EMP Monitoring,Discrete WQ,D15,3,1982-08-12,Pheophytin a,µg/L,NA,NA,Biological,=,7.76
EMP Monitoring,Discrete WQ,D15,3,1982-08-12,Pheophytin a,µg/L,NA,NA,Biological,=,7.76
EMP Monitoring,Discrete WQ,C3,3,1982-09-07,Chlorophyll a,µg/L,NA,NA,Biological,=,1.7
EMP Monitoring,Discrete WQ,C3,3,1982-09-07,Chlorophyll a,µg/L,NA,NA,Biological,=,1.7
EMP Monitoring,Discrete WQ,C3,3,1982-09-07,Pheophytin a,µg/L,NA,NA,Biological,=,0.62
