ID,Date,Time,FieldNotes,Weather,AirTemp,WindVelocity,Chla_Sign,Chla_Value,Pheophytin_Sign,Pheophytin_Value,TotAlkalinity_Sign,TotAlkalinity_Value,DissAmmonia_Sign,DissAmmonia_Value,DissBromide_Sign,DissBromide_Value,DissCalcium_Sign,DissCalcium_Value,DissChloride_Sign,DissChloride_Value,DissNitrateNitrite_Sign,DissNitrateNitrite_Value,DOC_Sign,DOC_Value,TOC_Sign,TOC_Value,DON_Sign,DON_Value,DissOrthophos_Sign,DissOrthophos_Value,TotPhos_Sign,TotPhos_Value,DissSilica_Sign,DissSilica_Value,TDS_Sign,TDS_Value,TSS_Sign,TSS_Value,VSS_Sign,VSS_Value,TKN_Sign,TKN_Value,Depth,Secchi,Microcystis,SpCndSurface,DOSurface,DOpercentSurface,WTSurface,TurbiditySurface_FNU,pHSurface,SpCndBottom,DOBottom,DOpercentBottom,WTBottom,TurbidityBottom_FNU,pHBottom
D12_4,4/12/2023,8:30:00,NA,"sunny; moderate waves, few white caps; no rain",47.7,23,=,2.24,=,0.79,=,49.6,<,0.05,=,NA,=,11.4,=,14.1,=,0.297,=,3.4,=,3.6,=,0.15,=,0.057,=,0.078,=,12.9,=,108,=,10.1,<,2.5,=,0.223,41.3,62,1,178,9.57,94.5,14.78,9.9,7.6,179,9.6,94.3,14.55,10.6,7.58
D12_5,5/11/2023,8:30:00,NA,"Sunny, ripples to small waves/no white caps, no rain",55.9,5.4,=,1.97,=,0.68,=,40.4,<,0.05,=,NA,=,8.45,=,9.15,=,0.185,=,2.8,=,2.9,=,0.13,=,0.071,=,0.073,=,11.7,=,83,=,8.7,<,2.5,=,0.225,37.4,88,1,129,9.25,94.2,16.23,7,7.53,129,9.19,93.3,16.12,7.7,7.46
D12_6,6/8/2023,7:00:00,NA,"Sunny, Ripples to small waves, no white caps, No rain",56.5,21.2,=,1.3,=,0.61,=,35.7,<,0.05,=,NA,=,7.24,=,7.53,=,0.107,=,3,=,2.7,=,0.21,=,0.064,=,0.074,=,11.3,=,74,=,10.5,<,2.5,=,0.259,40.4,60,1,115,8.64,93.9,19.39,8.8,7.48,115,8.6,93.4,19.4,9.1,7.49
D12_7,7/10/2023,10:25:00,NA,"sunny, ripples to small waves, no white caps, no rain",62.2,10.5,=,3.43,=,1.15,=,42.8,<,0.05,=,NA,=,9.85,=,62.6,=,0.097,=,2.5,=,2.4,=,0.2,=,0.069,=,0.076,=,11.6,=,196,=,12.3,<,2.5,=,0.232,36.4,56,1,411,8.52,95.6,20.94,10.9,7.66,464,8.43,94.5,20.88,11.6,7.6
D12_8,8/8/2023,10:15:00,NA,"Sunny, Ripples to small waves, no white caps, No rain",65.5,12.8,=,2.71,=,1.21,=,49.5,<,0.05,=,NA,=,16.6,=,350,=,0.081,=,2.3,=,2.2,=,0.15,=,0.061,=,0.068,=,12.4,=,716,=,16.1,=,2.8,=,0.238,38.4,52,1,1393,8.07,94.8,23.21,10.8,7.65,1706,7.95,93.3,23.09,13.6,7.61
D12_9,9/5/2023,9:30:00,EZ2-SJR located at D12.,"Sunny, Ripples to small waves, no white caps, No rain",63.9,7,=,1.61,=,0.61,=,56.9,<,0.05,=,NA,=,17.2,=,314,=,0.1,=,2.6,=,2.5,=,0.13,=,0.066,=,0.073,=,15.1,=,620,=,11,<,2.5,=,0.155,37.4,76,3,1196,7.91,91.4,22.36,8.3,7.54,2020,7.82,90.2,22.13,11.8,7.51
D12_10,10/3/2023,7:50:00,Sample taken upstream of D12 at channel marker 9 due to barge work.,"sunny, no waves, flat, no rain",59.2,1.6,=,1.59,=,0.68,=,62.3,<,0.05,=,NA,=,13.6,=,186,=,0.14,=,2.5,=,2.5,=,0.17,=,0.061,=,0.066,=,14.6,=,440,=,15.9,<,2.5,=,0.202,39.4,68,2,896,8.46,92.2,19.41,11,7.52,1213,8.38,91.5,19.49,18,7.67
D12_11,11/3/2023,9:45:00,NA,"Sunny, no waves/flat, no rain",63.5,5.1,=,2.18,=,0.83,=,55.5,<,0.05,=,NA,=,13.6,=,206,=,0.171,=,2.6,=,2.3,=,0.13,=,0.069,=,0.08,=,14.8,=,464,=,17.4,=,2.6,=,0.174,36.1,70,2,906,8.96,91.6,16.31,13,7.6,1253,8.88,91,16.35,14.2,7.55
D16_4,4/13/2023,8:20:00,NA,"Sunny, moderate waves with few white caps, no rain",49.8,27.8,=,1.92,=,0.76,=,46.5,<,0.05,<,0.1,=,11.2,=,12.6,=,0.241,=,3.4,=,3.3,=,0.19,=,0.056,=,0.07,=,12.7,=,103,=,8.2,<,2.5,=,0.26,55.4,56,1,163,9.75,96,14.66,8.6,7.41,162,9.62,95,14.77,8.9,7.33
D16_5,5/12/2023,8:15:00,Had to wait to conduct the zooplankton sampling so that a large ship could pass (tow started at 8:40).,"Sunny, ripples to small waves/no white caps, no rain",56.8,17.6,=,1.67,=,0.6,=,37.7,<,0.05,<,0.1,=,8.14,=,7.95,=,0.181,=,2.9,=,2.8,=,0.22,=,0.063,=,0.071,=,11.9,=,76,=,6.3,<,2.5,=,0.27,48.9,100,1,120,9.28,95.1,16.52,6.2,7.51,119,9.18,94,16.48,6.9,7.38
