Station Name,Station Number,Sample Date,Sample Code,Sample Depth,Sample Description,Sample Type,Parent Sample Code,Total Alkalinity mg/L as CaCO3 Std Method 2320 B 916 [1]*,Dissolved Ammonia mg/L as N EPA 350.1 (D) 925 [1]*,Dissolved Bromide mg/L EPA 300.0 356 [1]*,Dissolved Calcium mg/L EPA 200.7 (D) 130 [1]*,Dissolved Chloride mg/L EPA 300.0 356 [1]*,Chlorophyll a ug/L Std Method 10200 H 274 [1]*,Specific Conductance µmhos/cm@25°C Std Method 2510-B 917 [1]*,Dissolved Nitrate + Nitrite mg/L as N Std Method 4500-NO3-F 923 [1]*,Dissolved Organic Carbon mg/L as C Std Method 5310C (D) 920 [1]*,Total Organic Carbon mg/L as C Std Method 5310C (T) 919 [1]*,Dissolved Organic Nitrogen mg/L as N EPA 351.2/EPA 350.1 (D) 929 [1]*,Pheophytin a ug/L Std Method 10200 H 274 [1]*,Total Phosphorus mg/L as P EPA 365.4 928 [1]*,Dissolved Silica (SiO2) mg/L EPA 200.7 (D) 130 [1]*,Total Dissolved Solids mg/L Std Method 2540 C 203 [1]*,Total Suspended Solids mg/L Std Method 2540 D 918 [1]*,Volatile Suspended Solids mg/L Std Method 2540 E 317 [1]*,Total Kjeldahl Nitrogen mg/L as N EPA 351.2 927 [1]*,Dissolved ortho-Phosphate mg/L as P EPA 365.1 924 [1]*,pH pH Units Std Method 2320 B 916 [1]*,"(Bottom) Chlorophyll Fluorescence RFU Fluorescence, Sonde - [1]*","(Bottom) Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde - [1]*","Chlorophyll Fluorescence RFU Fluorescence, Sonde - [1]*","Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde - [1]*",Chlorophyll Volume mL Chlorophyll Volume Filtered - [1]*,(Bottom) Specific Conductance µmhos/cm@25°C EPA 120.1 (Field) - [1]*,Specific Conductance µmhos/cm@25°C EPA 120.1 (Field) - [1]*,Field Notes Notes (Field) - [1]*,Microcystis aeruginosa Field Observations (Water) - [1]*,(Bottom) Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) - [1]*,(Bottom) Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) - [1]*,Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) - [1]*,Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) - [1]*,Secchi Depth Centimeters Secchi Depth - [1]*,(Bottom) Water Temperature °C EPA 170.1 (Field) - [1]*,"Air Temperature °F Temperature, Air - [1]*",Water Temperature °C EPA 170.1 (Field) - [1]*,(Bottom) Turbidity F.N.U. EPA 180.1 (Field) - [1]*,Turbidity F.N.U. EPA 180.1 (Field) - [1]*,Water Depth at Station Feet Depth of Water Column - [1]*,Weather Observations Weather Observations - [1]*,Wind Velocity Miles/hr Wind Velocity - [1]*,(Bottom) pH pH Units EPA 150.1 (Field) - [1]*,pH pH Units EPA 150.1 (Field) - [1]*
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,4/12/2023 8:30,E0423B0766,3 Feet,NA,Normal Sample,0,49.6,<0.05,N/A,11.4,14.1,2.24,180,0.297,"3.4,3.7**","3.6,3.7**",0.15,0.79,0.078,12.9,108,10.1,<2.5,0.223,0.057,N/A,0.56,2.25,0.56,2.27,500,179,178,N/A,1,94.3,9.6,94.5,9.57,62,14.55,47.7,14.78,10.6,9.9,41.3,"sunny; moderate waves, few white caps; no rain",23,7.58,7.6
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,5/11/2023 8:30,E0523B1002,3 Feet,NA,Normal Sample,0,40.4,<0.05,N/A,8.45,9.15,1.97,129,0.185,"2.8,2.9**","2.9,3**",0.13,0.68,0.073,11.7,83,8.7,<2.5,0.225,0.071,N/A,0.8,3.11,0.82,3.18,500,129,129,N/A,1,93.3,9.19,94.2,9.25,88,16.12,55.9,16.23,7.7,7,37.4,"Sunny, ripples to small waves/no white caps, no rain",5.4,7.46,7.53
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,6/8/2023 7:00,E0623B1238,3 Feet,NA,Normal Sample,0,35.7,<0.05,N/A,7.24,7.53,1.3,112,0.107,3,2.7,0.21,0.61,0.074,11.3,74,10.5,<2.5,0.259,0.064,N/A,0.54,2.42,0.55,2.48,500,115,115,N/A,1,93.4,8.6,93.9,8.64,60,19.4,56.5,19.39,9.1,8.8,40.4,"Sunny, Ripples to small waves, no white caps, No rain",21.2,7.49,7.48
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,7/10/2023 10:25,E0723B1551,3 Feet,NA,Normal Sample,0,42.8,"<0.05,<0.05**",N/A,9.85,62.6,3.43,352,"0.097,0.098**",2.5,2.4,0.2,1.15,0.076,11.6,196,12.3,<2.5,0.232,"0.069,0.07**",N/A,0.79,3.46,0.78,3.41,500,464,411,N/A,1,94.5,8.43,95.6,8.52,56,20.88,62.2,20.94,11.6,10.9,36.4,"sunny, ripples to small waves, no white caps, no rain",10.5,7.6,7.66
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,8/8/2023 10:15,E0823B1764,3 Feet,NA,Normal Sample,0,49.5,"<0.05,<0.05**",N/A,16.6,350,2.71,1380,"0.081,0.082**",2.3,2.2,0.15,1.21,"0.068,0.069**",12.4,"716,716**",16.1,2.8,"0.238,0.241**","0.061,0.062**",N/A,0.46,2.1,0.46,2.09,500,1706,1393,N/A,1,93.3,7.95,94.8,8.07,52,23.09,65.5,23.21,13.6,10.8,38.4,"Sunny, Ripples to small waves, no white caps, No rain",12.8,7.61,7.65
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,9/5/2023 9:30,E0923B2133,3 Feet,NA,Normal Sample,0,56.9,<0.05,N/A,17.2,314,1.61,1190,0.1,"2.6,2.6**","2.5,2.6**",0.13,0.61,0.073,15.1,620,11,<2.5,0.155,0.066,N/A,0.53,2.14,0.6,2.44,500,2020,1196,EZ2-SJR located at D12.,3,90.2,7.82,91.4,7.91,76,22.13,63.9,22.36,11.8,8.3,37.4,"Sunny, Ripples to small waves, no white caps, No rain",7,7.51,7.54
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,10/3/2023 7:50,E1023B2497,3 Feet,NA,Normal Sample,0,62.3,"<0.05,<0.05**",N/A,13.6,186,1.59,837,"0.14,0.14**",2.5,2.5,0.17,0.68,0.066,14.6,440,15.9,<2.5,0.202,"0.061,0.062**",N/A,0.37,1.61,0.41,1.8,500,1213,896,Sample taken upstream of D12 at channel marker 9 due to barge work.,2,91.5,8.38,92.2,8.46,68,19.49,59.2,19.41,18,11,39.4,"sunny, no waves, flat, no rain",1.6,7.67,7.52
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,11/3/2023 9:45,E1123B2722,3 Feet,NA,Normal Sample,0,55.5,<0.05,N/A,13.6,206,2.18,882,0.171,"2.6,2.6**","2.3,2.4**",0.13,0.83,0.08,14.8,464,"17.4,17.6**","2.6,2.6**",0.174,0.069,N/A,0.55,2.22,0.59,2.4,500,1253,906,N/A,2,91,8.88,91.6,8.96,70,16.35,63.5,16.31,14.2,13,36.1,"Sunny, no waves/flat, no rain",5.1,7.55,7.6
D16 - San Joaquin River @ Twitchell Island,B9D80581401,4/13/2023 8:20,E0423B0800,3 Feet,NA,Normal Sample,0,46.5,<0.05,<0.1,11.2,12.6,1.92,166,0.241,3.4,3.3,0.19,0.76,0.07,12.7,103,8.2,<2.5,0.26,0.056,N/A,0.46,1.87,0.45,1.82,500,162,163,N/A,1,95,9.62,96,9.75,56,14.77,49.8,14.66,8.9,8.6,55.4,"Sunny, moderate waves with few white caps, no rain",27.8,7.33,7.41
D16 - San Joaquin River @ Twitchell Island,B9D80581401,5/12/2023 8:15,E0523B1036,3 Feet,NA,Normal Sample,0,37.7,<0.05,<0.1,8.14,7.95,1.67,120,0.181,2.9,2.8,0.22,0.6,0.071,11.9,76,6.3,<2.5,0.27,0.063,N/A,0.67,2.57,0.65,2.51,500,119,120,Had to wait to conduct the zooplankton sampling so that a large ship could pass (tow started at 8:40).,1,94,9.18,95.1,9.28,100,16.48,56.8,16.52,6.9,6.2,48.9,"Sunny, ripples to small waves/no white caps, no rain",17.6,7.38,7.51
