ID,Date,Time,SampleDescription,Flag,FlagDescription,FieldNotes,Weather,AirTemp,WindVelocity,WindDirection,NorthLat,WestLong,Chla_Sign,Chla_Value,Pheophytin_Sign,Pheophytin_Value,TotAlkalinity_Sign,TotAlkalinity_Value,TotAmmonia_Sign,TotAmmonia_Value,DissAmmonia_Sign,DissAmmonia_Value,DissBromide_Sign,DissBromide_Value,DissCalcium_Sign,DissCalcium_Value,TotChloride_Sign,TotChloride_Value,DissChloride_Sign,DissChloride_Value,DissNitrateNitrite_Sign,DissNitrateNitrite_Value,DOC_Sign,DOC_Value,TOC_Sign,TOC_Value,DON_Sign,DON_Value,TON_Sign,TON_Value,DissOrthophos_Sign,DissOrthophos_Value,TotPhos_Sign,TotPhos_Value,DissSilica_Sign,DissSilica_Value,TDS_Sign,TDS_Value,TSS_Sign,TSS_Value,VSS_Sign,VSS_Value,TKN_Sign,TKN_Value,Depth,Secchi,Microcystis,LightExtinction,SpCndSurface,DOSurface,DOpercentSurface,WTSurface,TurbiditySurface_FNU,TurbiditySurface_NTU,pHSurface,SpCndBottom,DOBottom,DOpercentBottom,WTBottom,TurbidityBottom_FNU,TurbidityBottom_NTU,pHBottom
D12_4,2023-04-12,08:30:00,NA,NA,NA,NA,"sunny; moderate waves, few white caps; no rain",47.7,23,NA,NA,NA,=,2.24,=,0.79,=,49.6,=,NA,<,0.05,=,NA,=,11.4,=,NA,=,14.1,=,0.297,=,3.4,=,3.6,=,0.15,=,NA,=,0.057,=,0.078,=,12.9,=,108,=,10.1,<,2.5,=,0.223,41.3,62,1,NA,178,9.57,94.5,14.78,9.9,NA,7.6,179,9.6,94.3,14.55,10.6,NA,7.58
D12_5,2023-05-11,08:30:00,NA,NA,NA,NA,"Sunny, ripples to small waves/no white caps, no rain",55.9,5.4,NA,NA,NA,=,1.97,=,0.68,=,40.4,=,NA,<,0.05,=,NA,=,8.45,=,NA,=,9.15,=,0.185,=,2.8,=,2.9,=,0.13,=,NA,=,0.071,=,0.073,=,11.7,=,83,=,8.7,<,2.5,=,0.225,37.4,88,1,NA,129,9.25,94.2,16.23,7,NA,7.53,129,9.19,93.3,16.12,7.7,NA,7.46
D12_6,2023-06-08,07:00:00,NA,NA,NA,NA,"Sunny, Ripples to small waves, no white caps, No rain",56.5,21.2,NA,NA,NA,=,1.3,=,0.61,=,35.7,=,NA,<,0.05,=,NA,=,7.24,=,NA,=,7.53,=,0.107,=,3,=,2.7,=,0.21,=,NA,=,0.064,=,0.074,=,11.3,=,74,=,10.5,<,2.5,=,0.259,40.4,60,1,NA,115,8.64,93.9,19.39,8.8,NA,7.48,115,8.6,93.4,19.4,9.1,NA,7.49
D12_7,2023-07-10,10:25:00,NA,NA,NA,NA,"sunny, ripples to small waves, no white caps, no rain",62.2,10.5,NA,NA,NA,=,3.43,=,1.15,=,42.8,=,NA,<,0.05,=,NA,=,9.85,=,NA,=,62.6,=,0.097,=,2.5,=,2.4,=,0.2,=,NA,=,0.069,=,0.076,=,11.6,=,196,=,12.3,<,2.5,=,0.232,36.4,56,1,NA,411,8.52,95.6,20.94,10.9,NA,7.66,464,8.43,94.5,20.88,11.6,NA,7.6
D12_8,2023-08-08,10:15:00,NA,NA,NA,NA,"Sunny, Ripples to small waves, no white caps, No rain",65.5,12.8,NA,NA,NA,=,2.71,=,1.21,=,49.5,=,NA,<,0.05,=,NA,=,16.6,=,NA,=,350,=,0.081,=,2.3,=,2.2,=,0.15,=,NA,=,0.061,=,0.068,=,12.4,=,716,=,16.1,=,2.8,=,0.238,38.4,52,1,NA,1393,8.07,94.8,23.21,10.8,NA,7.65,1706,7.95,93.3,23.09,13.6,NA,7.61
D12_9,2023-09-05,09:30:00,NA,NA,NA,EZ2-SJR located at D12.,"Sunny, Ripples to small waves, no white caps, No rain",63.9,7,NA,NA,NA,=,1.61,=,0.61,=,56.9,=,NA,<,0.05,=,NA,=,17.2,=,NA,=,314,=,0.1,=,2.6,=,2.5,=,0.13,=,NA,=,0.066,=,0.073,=,15.1,=,620,=,11,<,2.5,=,0.155,37.4,76,3,NA,1196,7.91,91.4,22.36,8.3,NA,7.54,2020,7.82,90.2,22.13,11.8,NA,7.51
D12_10,2023-10-03,07:50:00,NA,NA,NA,Sample taken upstream of D12 at channel marker 9 due to barge work.,"sunny, no waves, flat, no rain",59.2,1.6,NA,NA,NA,=,1.59,=,0.68,=,62.3,=,NA,<,0.05,=,NA,=,13.6,=,NA,=,186,=,0.14,=,2.5,=,2.5,=,0.17,=,NA,=,0.061,=,0.066,=,14.6,=,440,=,15.9,<,2.5,=,0.202,39.4,68,2,NA,896,8.46,92.2,19.41,11,NA,7.52,1213,8.38,91.5,19.49,18,NA,7.67
D12_11,2023-11-03,09:45:00,NA,NA,NA,NA,"Sunny, no waves/flat, no rain",63.5,5.1,NA,NA,NA,=,2.18,=,0.83,=,55.5,=,NA,<,0.05,=,NA,=,13.6,=,NA,=,206,=,0.171,=,2.6,=,2.3,=,0.13,=,NA,=,0.069,=,0.08,=,14.8,=,464,=,17.4,=,2.6,=,0.174,36.1,70,2,NA,906,8.96,91.6,16.31,13,NA,7.6,1253,8.88,91,16.35,14.2,NA,7.55
D16_4,2023-04-13,08:20:00,NA,NA,NA,NA,"Sunny, moderate waves with few white caps, no rain",49.8,27.8,NA,NA,NA,=,1.92,=,0.76,=,46.5,=,NA,<,0.05,<,0.1,=,11.2,=,NA,=,12.6,=,0.241,=,3.4,=,3.3,=,0.19,=,NA,=,0.056,=,0.07,=,12.7,=,103,=,8.2,<,2.5,=,0.26,55.4,56,1,NA,163,9.75,96,14.66,8.6,NA,7.41,162,9.62,95,14.77,8.9,NA,7.33
D16_5,2023-05-12,08:15:00,NA,NA,NA,Had to wait to conduct the zooplankton sampling so that a large ship could pass (tow started at 8:40).,"Sunny, ripples to small waves/no white caps, no rain",56.8,17.6,NA,NA,NA,=,1.67,=,0.6,=,37.7,=,NA,<,0.05,<,0.1,=,8.14,=,NA,=,7.95,=,0.181,=,2.9,=,2.8,=,0.22,=,NA,=,0.063,=,0.071,=,11.9,=,76,=,6.3,<,2.5,=,0.27,48.9,100,1,NA,120,9.28,95.1,16.52,6.2,NA,7.51,119,9.18,94,16.48,6.9,NA,7.38
