region,date,n,n.cen,median,mean,sd,analyte
Central Delta,Apr 2019,4,0,152,181.75,47.274905252857636,SpCndSurface
Central Delta,Aug 2019,4,0,233,264.25,90.75746066669487,SpCndSurface
Central Delta,Aug 2020,4,0,425,485.25,197.64846740277716,SpCndSurface
Central Delta,Dec 2019,4,0,257,405.75,210.10374421540737,SpCndSurface
Central Delta,Dec 2020,3,0,1004,1014,313.119785385721,SpCndSurface
Central Delta,Feb 2019,4,0,205,237.75,67.9184560091487,SpCndSurface
Central Delta,Feb 2020,4,0,297,299.25,25.617376914898998,SpCndSurface
Central Delta,Jan 2019,4,0,386,573,222.5833177336822,SpCndSurface
Central Delta,Jan 2020,4,0,377,381,68.70710783220805,SpCndSurface
Central Delta,Jul 2019,4,0,119,119.75,5.123475382979799,SpCndSurface
Central Delta,Jul 2020,4,0,238,296,115.67771320930117,SpCndSurface
Central Delta,Jun 2019,4,0,104,118.25,24.797513316190933,SpCndSurface
Central Delta,Jun 2020,4,0,245,247.75,27.705294319558007,SpCndSurface
Central Delta,Mar 2019,4,0,160,228.5,120.702112657567,SpCndSurface
Central Delta,Mar 2020,4,0,276,286.75,22.85278976405288,SpCndSurface
Central Delta,May 2019,4,0,147,170.25,45.19863567262475,SpCndSurface
Central Delta,Nov 2019,4,0,162,165.25,8.015609770940697,SpCndSurface
Central Delta,Nov 2020,4,0,683,920.75,494.5208960869769,SpCndSurface
Central Delta,Oct 2019,4,0,NA,149,14.98888477061141,SpCndSurface
Central Delta,Oct 2020,4,0,639,723.25,265.57406374368213,SpCndSurface
Central Delta,Sep 2019,4,0,175,172,19.200694431886223,SpCndSurface
Central Delta,Sep 2020,4,0,944,805,297.56007796745854,SpCndSurface
Confluence,Apr 2019,4,0,162,163.5,13.771952173409064,SpCndSurface
Confluence,Aug 2019,4,0,1911,2390.25,2125.0771554620474,SpCndSurface
Confluence,Aug 2020,4,0,3702,5138.75,4218.239867922796,SpCndSurface
Confluence,Dec 2019,4,0,5270,6866.5,4549.0947451113825,SpCndSurface
Confluence,Dec 2020,1,0,NA,6654,NA,SpCndSurface
Confluence,Feb 2019,4,0,195,194,18.366636418607882,SpCndSurface
Confluence,Feb 2020,4,0,1189,2750.5,2993.712244020791,SpCndSurface
Confluence,Jan 2019,4,0,1149,3232,4151.552480699238,SpCndSurface
Confluence,Jan 2020,4,0,1297,3573.25,3524.7931736013484,SpCndSurface
Confluence,Jul 2019,4,0,450,874.5,760.2221166650354,SpCndSurface
Confluence,Jul 2020,4,0,3987,4433.25,3649.209629038412,SpCndSurface
Confluence,Jun 2019,4,0,116,124,18.601075237738275,SpCndSurface
Confluence,Jun 2020,4,0,2127,2639.75,2274.297748756745,SpCndSurface
Confluence,Mar 2019,4,0,148,156.25,10.242883708539635,SpCndSurface
Confluence,Mar 2020,4,0,880,3958.75,5227.924086097655,SpCndSurface
Confluence,May 2019,4,0,149,151,4.242640687119285,SpCndSurface
Confluence,Nov 2019,4,0,717,3767.75,4162.43673625598,SpCndSurface
Confluence,Nov 2020,4,0,5919,8472.5,4010.1303802578122,SpCndSurface
Confluence,Oct 2019,4,0,605,1533.5,1769.251725070988,SpCndSurface
Confluence,Oct 2020,4,0,6840,8137,4361.263043354909,SpCndSurface
Confluence,Sep 2019,4,0,631,960.75,872.4702000641627,SpCndSurface
Confluence,Sep 2020,4,0,4062,5924,5322.365201048621,SpCndSurface
Northern Interior Bay,Apr 2019,2,0,NA,127.09999999999854,19.657568516988082,SpCndSurface
Northern Interior Bay,Aug 2019,2,0,NA,125.80000000000291,3.1112698372166934,SpCndSurface
Northern Interior Bay,Aug 2020,2,0,NA,163.5,0.7071067811865476,SpCndSurface
Northern Interior Bay,Dec 2019,2,0,NA,177.5500000000029,28.92066735052568,SpCndSurface
Northern Interior Bay,Dec 2020,1,0,NA,164,NA,SpCndSurface
Northern Interior Bay,Feb 2019,2,0,NA,153.0500000000029,42.35569619307008,SpCndSurface
Northern Interior Bay,Feb 2020,2,0,NA,226,14.142135623730951,SpCndSurface
Northern Interior Bay,Jan 2019,2,0,NA,201,NA,SpCndSurface
Northern Interior Bay,Jan 2020,2,0,NA,193.90000000000146,15.697770542339299,SpCndSurface
Northern Interior Bay,Jul 2019,2,0,NA,118.34999999999854,2.333452377917665,SpCndSurface
Northern Interior Bay,Jul 2020,2,0,NA,134,2.8284271247461903,SpCndSurface
Northern Interior Bay,Jun 2019,2,0,NA,97.19999999999709,6.788225099394973,SpCndSurface
Northern Interior Bay,Jun 2020,2,0,NA,154,7.0710678118654755,SpCndSurface
Northern Interior Bay,Mar 2019,2,0,NA,116.09999999999854,12.586500705122605,SpCndSurface
Northern Interior Bay,Mar 2020,2,0,NA,194,14.142135623730951,SpCndSurface
Northern Interior Bay,May 2019,2,0,NA,117.90000000000146,12.869343417593107,SpCndSurface
Northern Interior Bay,Nov 2019,2,0,NA,134.84999999999854,3.0405591591042125,SpCndSurface
Northern Interior Bay,Nov 2020,2,0,NA,376,323.85490578343877,SpCndSurface
Northern Interior Bay,Oct 2019,2,0,NA,121.65000000000146,13.222896808186382,SpCndSurface
Northern Interior Bay,Oct 2020,2,0,NA,246.5,147.78531726798843,SpCndSurface
Northern Interior Bay,Sep 2019,2,0,NA,138.90000000000146,1.5556349186083467,SpCndSurface
Northern Interior Bay,Sep 2020,2,0,NA,246,118.79393923933999,SpCndSurface
San Pablo Bay,Apr 2019,6,0,3450,6829.166666666666,5379.556986097151,SpCndSurface
San Pablo Bay,Aug 2019,6,0,24790,27514.5,7724.120707239109,SpCndSurface
San Pablo Bay,Aug 2020,6,0,36798,35772.5,6178.97547332889,SpCndSurface
San Pablo Bay,Dec 2019,6,0,31336,32676.666666666664,4887.0011527179595,SpCndSurface
San Pablo Bay,Feb 2019,6,0,2082,4227.833333333333,4313.574360859758,SpCndSurface
San Pablo Bay,Feb 2020,6,0,27615,29731.166666666668,5429.258749283061,SpCndSurface
San Pablo Bay,Jan 2019,6,0,26163,27446.833333333332,4533.0449994089695,SpCndSurface
San Pablo Bay,Jan 2020,6,0,27453,29935.333333333332,5230.821872962858,SpCndSurface
San Pablo Bay,Jul 2019,6,0,24397,25656,8182.662354026347,SpCndSurface
San Pablo Bay,Jul 2020,6,0,34170,34335.833333333336,6471.595117640369,SpCndSurface
San Pablo Bay,Jun 2019,6,0,20143,18400.833333333332,7930.7275685567865,SpCndSurface
