Analyte,Year,Month,Station,Region,Sign,Value,min_yr,max_yr,mean_yr
Chla,2020,Jul,C10A,Southern Interior Delta,=,32.5,0.53,32.5,2.864790698
Chla,2020,Nov,C3A,Northern Interior Bay,=,0.53,0.53,32.5,2.864790698
Chla,2020,Mar,NZ325,San Pablo Bay,=,0.53,0.53,32.5,2.864790698
Chla,2019,Jul,C10A,Southern Interior Delta,=,38.1,0.05,38.1,2.217083333
Chla,2019,Jun,D26,Central Delta,<,0.05,0.05,38.1,2.217083333
Chla,2019,Sep,D26,Central Delta,<,0.05,0.05,38.1,2.217083333
DissAmmonia,2020,Jan,C10A,Southern Interior Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Feb,C10A,Southern Interior Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Mar,C10A,Southern Interior Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jun,C10A,Southern Interior Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jul,C10A,Southern Interior Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Aug,C10A,Southern Interior Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Sep,C10A,Southern Interior Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Oct,C10A,Southern Interior Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Nov,C10A,Southern Interior Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Dec,C10A,Southern Interior Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Mar,C3A,Northern Interior Bay,=,0.7,0.05,0.7,0.105367713
DissAmmonia,2020,Jun,C3A,Northern Interior Bay,=,0.7,0.05,0.7,0.105367713
DissAmmonia,2020,Jan,C9,Southern Interior Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Feb,C9,Southern Interior Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jun,C9,Southern Interior Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jul,C9,Southern Interior Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Aug,C9,Southern Interior Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Sep,C9,Southern Interior Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Oct,C9,Southern Interior Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Nov,C9,Southern Interior Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Dec,C9,Southern Interior Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jun,D10,Confluence,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jul,D10,Confluence,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Aug,D10,Confluence,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Oct,D10,Confluence,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jun,D12,Confluence,=,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jul,D12,Confluence,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Aug,D12,Confluence,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Sep,D12,Confluence,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Oct,D12,Confluence,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jan,D16,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Feb,D16,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jun,D16,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jul,D16,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Aug,D16,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Sep,D16,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Oct,D16,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Nov,D16,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jan,D19,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Mar,D19,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jun,D19,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jul,D19,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Aug,D19,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Sep,D19,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Oct,D19,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Nov,D19,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Dec,D19,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jul,D22,Confluence,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Aug,D22,Confluence,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Oct,D22,Confluence,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jun,D26,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Oct,D26,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Nov,D26,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jan,D28A,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Mar,D28A,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jun,D28A,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jul,D28A,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Aug,D28A,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Sep,D28A,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Oct,D28A,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Nov,D28A,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Dec,D28A,Central Delta,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jun,D4,Confluence,=,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jul,D4,Confluence,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Aug,D4,Confluence,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Oct,D4,Confluence,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Mar,D41,San Pablo Bay,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jun,D41,San Pablo Bay,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jul,D41,San Pablo Bay,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Oct,D41,San Pablo Bay,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jun,D41A,San Pablo Bay,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jul,D41A,San Pablo Bay,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Aug,D41A,San Pablo Bay,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Sep,D41A,San Pablo Bay,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Oct,D41A,San Pablo Bay,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jul,D6,San Pablo Bay,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jun,D7,Suisun & Grizzly Bays,<,0.05,0.05,0.7,0.105367713
DissAmmonia,2020,Jul,D7,Suisun & Grizzly Bays,<,0.05,0.05,0.7,0.105367713
