Station,Region,Date,Month,Year,Chla,Chla_sign,DissAmmonia,DissAmmonia_sign,DissNitrateNitrite,DissNitrateNitrite_sign,TotPhos,TotPhos_sign,SpCndSurface,TurbiditySurface
D19 ,Central Delta,1/8/2018,1,2018,2.26,,0.14,,0.48,,0.06,,853,4.9
D28A ,Central Delta,1/8/2018,1,2018,0.5,<,0.09,,0.5,,0.06,,620,4.8
D16 ,Central Delta,1/9/2018,1,2018,1.17,,0.19,,0.44,,0.07,,733,4.6
D26,Central Delta,1/9/2018,1,2018,0.77,,0.15,,0.45,,0.07,,493,6.2
D19 ,Central Delta,2/6/2018,2,2018,1.66,,0.07,,0.63,,0.07,,324,4.1
D28A ,Central Delta,2/6/2018,2,2018,0.5,<,0.03,,0.7,,0.07,,353,3.1
D16 ,Central Delta,2/7/2018,2,2018,1.26,,0.09,,0.64,,0.07,,297,4.7
D26,Central Delta,2/7/2018,2,2018,1.11,,0.12,,0.61,,0.07,,253,5.7
D19 ,Central Delta,3/12/2018,3,2018,3.18,,0.06,,0.57,,0.07,,292,3.8
D28A ,Central Delta,3/12/2018,3,2018,2.75,,0.03,,0.58,,0.06,,337,2.4
D16 ,Central Delta,3/13/2018,3,2018,2.72,,0.13,,0.53,,0.07,,228,6.3
D26,Central Delta,3/13/2018,3,2018,4.17,,0.12,,0.57,,0.08,,265,6.7
D19 ,Central Delta,4/9/2018,4,2018,4.02,,0.05,,0.35,,0.06,,196,5
D28A ,Central Delta,4/9/2018,4,2018,4.98,,0.05,,0.45,,0.09,,278,4.2
D16 ,Central Delta,4/10/2018,4,2018,1.8,,0.07,,0.26,,0.05,,151,8.8
D26,Central Delta,4/10/2018,4,2018,1.23,,0.08,,0.22,,0.06,,129,14
D19 ,Central Delta,5/8/2018,5,2018,1.96,,0.03,,0.28,,0.07,,215,3.2
D28A ,Central Delta,5/8/2018,5,2018,1.91,,0.03,,0.3,,0.08,,293,3.2
D16 ,Central Delta,5/9/2018,5,2018,1.92,,0.05,,0.3,,0.07,,210,4.3
D26,Central Delta,5/9/2018,5,2018,1.83,,0.06,,0.31,,0.08,,235,4.5
D19 ,Central Delta,6/4/2018,6,2018,2.13,,0.02,,0.29,,0.07,,202,6.8
D28A ,Central Delta,6/4/2018,6,2018,2.16,,0.02,,0.11,,0.08,,239,2
D16 ,Central Delta,6/7/2018,6,2018,2.74,,0.02,,0.29,,0.08,,190,2.8
D26,Central Delta,6/7/2018,6,2018,2.9,,0.05,,0.28,,0.07,,175,2.5
D16 ,Central Delta,7/9/2018,7,2018,3.69,,0.04,,0.32,,0.06,,194,4.2
D26,Central Delta,7/9/2018,7,2018,3.51,,0.06,,0.29,,0.06,,154,4.5
D19 ,Central Delta,7/19/2018,7,2018,3.34,,0.02,,0.21,,0.07,,375,2.3
D28A ,Central Delta,7/19/2018,7,2018,4.08,,0.02,,0.07,,0.07,,258,2.5
D19 ,Central Delta,8/3/2018,8,2018,2.56,,0.024,,0.153,,0.07,,423,1.2
D28A ,Central Delta,8/3/2018,8,2018,2.47,,0.023,,0.055,,0.07,,311,0.7
D16 ,Central Delta,8/6/2018,8,2018,4.14,,0.024,,0.18,,0.07,,324,3.6
D26,Central Delta,8/6/2018,8,2018,13.8,,0.06,,0.152,,0.06,,188,3.5
D19 ,Central Delta,9/14/2018,9,2018,1.67,,0.03,,0.18,,0.078,,994,1.4
D28A ,Central Delta,9/14/2018,9,2018,1.7,,0.02,,0.07,,0.08,,793,1.5
D16 ,Central Delta,9/17/2018,9,2018,1.97,,0.04,,0.221,,0.08,,751,3.9
D26,Central Delta,9/17/2018,9,2018,1.58,,0.1,,0.224,,0.08,,370,4.8
D19 ,Central Delta,10/15/2018,10,2018,1.35,,0.04,,0.26,,0.08,,969,0.7
D28A ,Central Delta,10/15/2018,10,2018,1.79,,0.027,,0.14,,0.07,,759,0.1
D16 ,Central Delta,10/16/2018,10,2018,1.59,,0.06,,0.308,,0.07,,701,2.2
D26,Central Delta,10/16/2018,10,2018,1.48,,0.1,,0.33,,0.08,,349,3
D16 ,Central Delta,11/27/2018,11,2018,1.14,,0.144,,0.548,,0.079,,924,1.6
D26,Central Delta,11/27/2018,11,2018,0.86,,0.17,,0.531,,0.085,,339,3.7
D19 ,Central Delta,11/29/2018,11,2018,5.46,,0.137,,1.88,,0.09,,1061,17.5
D28A ,Central Delta,11/29/2018,11,2018,1.3,,0.072,,0.487,,0.07,,627,27.8
D19 ,Central Delta,12/12/2018,12,2018,1.06,,0.138,,0.579,,0.072,,1113,2.2
D28A ,Central Delta,12/12/2018,12,2018,0.9,,0.102,,0.555,,0.07,,721,0.6
D16 ,Central Delta,12/13/2018,12,2018,0.78,,0.119,,0.581,,0.075,,957,3.4
D26,Central Delta,12/13/2018,12,2018,0.65,,0.138,,0.61,,0.091,,554,4.9
D19,Central Delta,1/11/2019,1,2019,1.45,,0.15,,0.67,,0.09,,805,11.7
D28A,Central Delta,1/11/2019,1,2019,1.13,,0.12,,0.73,,0.07,,722,5.5
D16,Central Delta,1/15/2019,1,2019,0.95,,0.153,,0.59,,0.09,,386,16.3
D26,Central Delta,1/15/2019,1,2019,0.87,,0.16,,0.67,,0.09,,379,10.7
D19,Central Delta,2/13/2019,2,2019,3.55,,0.08,,0.7,,0.19,,227,52.6
D28A,Central Delta,2/13/2019,2,2019,0.89,,0.07,,1.01,,0.128,,336,15.1
D16,Central Delta,2/15/2019,2,2019,0.68,,0.111,,0.59,,0.094,,205,21.3
D26,Central Delta,2/15/2019,2,2019,0.97,,0.12,,0.57,,0.09,,183,24.1
D19,Central Delta,3/13/2019,3,2019,0.85,,0.06,,0.53,,0.08,,202,13.6
D28A,Central Delta,3/13/2019,3,2019,1.18,,0.05,<,1.06,,0.09,,406,5.8
D16,Central Delta,3/14/2019,3,2019,1.41,,0.06,,0.3,,0.07,,146,25.9
D26,Central Delta,3/14/2019,3,2019,0.73,,0.06,,0.377,,0.07,,160,13.6
D19,Central Delta,4/11/2019,4,2019,1.7,,0.05,<,0.24,,0.05,,177,4.7
D28A,Central Delta,4/11/2019,4,2019,1,,0.05,<,0.35,,0.06,,250,3.9
D16,Central Delta,4/12/2019,4,2019,0.79,,0.06,,0.2,,0.05,,152,5.6
D26,Central Delta,4/12/2019,4,2019,1.27,,0.05,,0.18,,0.047,,148,5.2
D19,Central Delta,5/10/2019,5,2019,1.39,,0.05,<,0.094,,0.04,,150,2.4
D28A,Central Delta,5/10/2019,5,2019,1.37,,0.05,<,0.184,,0.07,,238,2.4
D16,Central Delta,5/13/2019,5,2019,1.2,,0.05,<,0.14,,0.05,,147,3.7
D26,Central Delta,5/13/2019,5,2019,1.13,,0.06,,0.152,,0.05,,146,2.6
D19,Central Delta,6/7/2019,6,2019,0.5,<,0.05,<,0.155,,0.06,,121,4.2
D28A,Central Delta,6/7/2019,6,2019,0.56,,0.05,<,0.12,,0.07,,152,3.5
D16,Central Delta,6/10/2019,6,2019,0.5,,0.05,<,0.15,,0.05,,104,4.8
D26,Central Delta,6/10/2019,6,2019,0.5,<,0.05,<,0.14,,0.05,,96,4.4
D19,Central Delta,7/9/2019,7,2019,1.34,,0.05,<,0.175,,0.06,,125,2.8
D28A,Central Delta,7/9/2019,7,2019,0.81,,0.05,<,0.05,,0.07,,119,1.5
D16,Central Delta,7/10/2019,7,2019,1.64,,0.05,<,0.197,,0.095,,122,4.5
D26,Central Delta,7/10/2019,7,2019,1.4,,0.076,,0.205,,0.053,,113,4.5
D19,Central Delta,8/6/2019,8,2019,1.72,,0.05,<,0.171,,0.07,,363,3.4
D28A,Central Delta,8/6/2019,8,2019,1.09,,0.05,<,0.058,,0.072,,233,2.1
D16,Central Delta,8/7/2019,8,2019,2.65,,0.05,<,0.203,,0.066,,307,6.1
D26,Central Delta,8/7/2019,8,2019,0.99,,0.083,,0.211,,0.067,,154,4.1
D19,Central Delta,9/4/2019,9,2019,1.69,,0.05,<,0.185,,0.06,,185,1.1
D28A,Central Delta,9/4/2019,9,2019,1.1,,0.05,<,0.062,,0.069,,184,1.3
D16,Central Delta,9/5/2019,9,2019,0.72,,0.05,<,0.215,,0.062,,175,4.9
D26,Central Delta,9/5/2019,9,2019,0.5,<,0.068,,0.199,,0.054,,144,3.9
D19,Central Delta,10/3/2019,10,2019,1.35,,0.2,<,0.22,,0.054,,161,2.3
D28A,Central Delta,10/3/2019,10,2019,1.11,,0.2,<,0.12,,0.05,,161,1.9
D16,Central Delta,10/4/2019,10,2019,1.46,,0.2,<,NA,,0.057,,144,3.7
D26,Central Delta,10/4/2019,10,2019,1.01,,0.2,<,NA,,0.049,,130,3
D19,Central Delta,11/4/2019,11,2019,1.37,,0.2,<,0.35,,0.054,,159,3.4
D28A,Central Delta,11/4/2019,11,2019,1.85,,0.2,<,0.22,,0.051,,177,2.9
D16,Central Delta,11/5/2019,11,2019,1.32,,0.2,<,0.36,,0.057,,162,4.1
D26,Central Delta,11/5/2019,11,2019,1.24,,0.2,<,0.35,,0.064,,163,4.3
D19,Central Delta,12/3/2019,12,2019,2,,0.12,,0.38,,0.1,<,661,21.8
D28A,Central Delta,12/3/2019,12,2019,0.69,,0.13,,0.38,,0.1,<,212,8.9
D16,Central Delta,12/4/2019,12,2019,1.26,,0.2,<,0.4,,0.045,,493,7.9
D26,Central Delta,12/4/2019,12,2019,0.82,,0.24,,0.38,,0.042,,257,7.7
D22 ,Confluence,1/5/2018,1,2018,1.86,,0.21,,0.4,,0.07,,1841,10.8
D4 ,Confluence,1/5/2018,1,2018,0.94,,0.21,,0.47,,0.07,,7112,12.5
D12 ,Confluence,1/8/2018,1,2018,1.13,,0.19,,0.46,,0.07,,4299,14.9
D10 ,Confluence,1/10/2018,1,2018,0.83,,0.2,,0.46,,0.09,,10778,25.9
D22 ,Confluence,2/5/2018,2,2018,1.3,,0.18,,0.47,,0.09,,210,9.9
D4 ,Confluence,2/5/2018,2,2018,2.35,,0.13,,0.55,,0.1,,1656,22.9
D12 ,Confluence,2/6/2018,2,2018,2.05,,0.12,,0.57,,0.08,,703,16.7
D10 ,Confluence,2/8/2018,2,2018,3.1,,0.15,,0.61,,0.09,,6227,20.4
D22 ,Confluence,3/9/2018,3,2018,2.43,,0.23,,0.4,,0.07,,274,8.1
D4 ,Confluence,3/9/2018,3,2018,7.66,,0.16,,0.49,,0.09,,1621,17
D12 ,Confluence,3/12/2018,3,2018,3.84,,0.15,,0.49,,0.08,,1162,11.7
D10 ,Confluence,3/14/2018,3,2018,3.16,,0.13,,0.52,,0.09,,7708,19.9
D22 ,Confluence,4/6/2018,4,2018,1.72,,0.14,,0.2,,0.05,,136,6.5
D4 ,Confluence,4/6/2018,4,2018,1.79,,0.11,,0.26,,0.06,,150,10
D12 ,Confluence,4/9/2018,4,2018,3.21,,0.06,,0.33,,0.06,,174,7.1
D10 ,Confluence,4/11/2018,4,2018,1.92,,0.07,,0.21,,0.05,,135,14.9
D12 ,Confluence,5/8/2018,5,2018,2.5,,0.05,,0.32,,0.07,,213,10.5
D10 ,Confluence,5/10/2018,5,2018,13,,0.04,,0.36,,0.12,,2003,41.8
D22 ,Confluence,5/10/2018,5,2018,4.61,,0.17,,0.26,,0.07,,179,9.2
