Station,Region,Date,Month,Year,Analyte,Measurement,Sign,RL
D19 ,Central Delta,1/8/2018,1,2018,Chla,2.26,,
D28A ,Central Delta,1/8/2018,1,2018,Chla,,<,0.5
D16 ,Central Delta,1/9/2018,1,2018,Chla,1.17,,
D26,Central Delta,1/9/2018,1,2018,Chla,0.77,,
D19 ,Central Delta,2/6/2018,2,2018,Chla,1.66,,
D28A ,Central Delta,2/6/2018,2,2018,Chla,,<,0.5
D16 ,Central Delta,2/7/2018,2,2018,Chla,1.26,,
D26,Central Delta,2/7/2018,2,2018,Chla,1.11,,
D19 ,Central Delta,3/12/2018,3,2018,Chla,3.18,,
D28A ,Central Delta,3/12/2018,3,2018,Chla,2.75,,
D16 ,Central Delta,3/13/2018,3,2018,Chla,2.72,,
D26,Central Delta,3/13/2018,3,2018,Chla,4.17,,
D19 ,Central Delta,4/9/2018,4,2018,Chla,4.02,,
D28A ,Central Delta,4/9/2018,4,2018,Chla,4.98,,
D16 ,Central Delta,4/10/2018,4,2018,Chla,1.8,,
D26,Central Delta,4/10/2018,4,2018,Chla,1.23,,
D19 ,Central Delta,5/8/2018,5,2018,Chla,1.96,,
D28A ,Central Delta,5/8/2018,5,2018,Chla,1.91,,
D16 ,Central Delta,5/9/2018,5,2018,Chla,1.92,,
D26,Central Delta,5/9/2018,5,2018,Chla,1.83,,
D19 ,Central Delta,6/4/2018,6,2018,Chla,2.13,,
D28A ,Central Delta,6/4/2018,6,2018,Chla,2.16,,
D16 ,Central Delta,6/7/2018,6,2018,Chla,2.74,,
D26,Central Delta,6/7/2018,6,2018,Chla,2.9,,
D16 ,Central Delta,7/9/2018,7,2018,Chla,3.69,,
D26,Central Delta,7/9/2018,7,2018,Chla,3.51,,
D19 ,Central Delta,7/19/2018,7,2018,Chla,3.34,,
D28A ,Central Delta,7/19/2018,7,2018,Chla,4.08,,
D19 ,Central Delta,8/3/2018,8,2018,Chla,2.56,,
D28A ,Central Delta,8/3/2018,8,2018,Chla,2.47,,
D16 ,Central Delta,8/6/2018,8,2018,Chla,4.14,,
D26,Central Delta,8/6/2018,8,2018,Chla,13.8,,
D19 ,Central Delta,9/14/2018,9,2018,Chla,1.67,,
D28A ,Central Delta,9/14/2018,9,2018,Chla,1.7,,
D16 ,Central Delta,9/17/2018,9,2018,Chla,1.97,,
D26,Central Delta,9/17/2018,9,2018,Chla,1.58,,
D19 ,Central Delta,10/15/2018,10,2018,Chla,1.35,,
D28A ,Central Delta,10/15/2018,10,2018,Chla,1.79,,
D16 ,Central Delta,10/16/2018,10,2018,Chla,1.59,,
D26,Central Delta,10/16/2018,10,2018,Chla,1.48,,
D16 ,Central Delta,11/27/2018,11,2018,Chla,1.14,,
D26,Central Delta,11/27/2018,11,2018,Chla,0.86,,
D19 ,Central Delta,11/29/2018,11,2018,Chla,5.46,,
D28A ,Central Delta,11/29/2018,11,2018,Chla,1.3,,
D19 ,Central Delta,12/12/2018,12,2018,Chla,1.06,,
D28A ,Central Delta,12/12/2018,12,2018,Chla,0.9,,
D16 ,Central Delta,12/13/2018,12,2018,Chla,0.78,,
