region,analyte,date,n,n.cen,median,mean,sd,RL
Central Delta,chla,1/1/2018,4,1,0.77,1.2425,0.74676176,0.5
Central Delta,chla,2/1/2018,4,1,1.11,1.285,0.2755676,0.5
Central Delta,chla,3/1/2018,4,0,2.75,3.205,0.6767816,
Central Delta,chla,4/1/2018,4,0,1.8,3.0075,1.78264551,
Central Delta,chla,5/1/2018,4,0,1.91,1.905,0.05446712,
Central Delta,chla,6/1/2018,4,0,2.16,2.4825,0.39533741,
Central Delta,chla,7/1/2018,4,0,3.51,3.655,0.31733263,
Central Delta,chla,8/1/2018,4,0,2.56,5.7425,5.42613659,
Central Delta,chla,9/1/2018,4,0,1.67,1.73,0.16792856,
Central Delta,chla,10/1/2018,4,0,1.48,1.5525,0.18625699,
Central Delta,chla,11/1/2018,4,0,1.14,2.19,2.18757095,
Central Delta,chla,12/1/2018,4,0,0.78,0.8475,0.17461863,
Central Delta,chla,1/1/2019,4,0,0.95,1.1,0.25742313,
Central Delta,chla,2/1/2019,4,0,0.89,1.5225,1.35718766,
Central Delta,chla,3/1/2019,4,0,0.85,1.0425,0.31020155,
Central Delta,chla,4/1/2019,4,0,1,1.19,0.39268308,
Central Delta,chla,5/1/2019,4,0,1.2,1.2725,0.12763881,
Central Delta,chla,6/1/2019,4,2,NA,0.515,0.03674235,0.5
Central Delta,chla,7/1/2019,4,0,1.34,1.2975,0.34989284,
Central Delta,chla,8/1/2019,4,0,1.09,1.6125,0.76342976,
Central Delta,chla,9/1/2019,4,1,0.72,1.0575,0.48593016,0.5
Central Delta,chla,10/1/2019,4,0,1.11,1.2325,0.20822664,
Central Delta,chla,11/1/2019,4,0,1.32,1.445,0.27525746,
Central Delta,chla,12/1/2019,4,0,0.82,1.1925,0.59100902,
Confluence,chla,1/1/2018,4,0,0.94,1.19,0.46353713,
Confluence,chla,2/1/2018,4,0,2.05,2.2,0.74498322,
Confluence,chla,3/1/2018,4,0,3.16,4.2725,2.33057039,
Confluence,chla,4/1/2018,4,0,1.79,2.16,0.7048877,
Confluence,chla,5/1/2018,4,0,4,6.0275,4.7321269,
Confluence,chla,6/1/2018,4,0,2.03,2.64,0.8912164,
Confluence,chla,7/1/2018,4,0,3.13,3.8325,1.0459565,
Confluence,chla,8/1/2018,4,0,2.22,2.4575,0.39836123,
Confluence,chla,9/1/2018,4,0,2.01,1.995,0.41056871,
Confluence,chla,10/1/2018,4,0,0.84,1.095,0.33251566,
Confluence,chla,11/1/2018,4,0,1.09,1.4175,0.58647961,
Confluence,chla,12/1/2018,4,0,0.9,0.8875,0.1445395,
Confluence,chla,1/1/2019,4,0,1.11,1.3075,0.30048572,
Confluence,chla,2/1/2019,4,0,1.12,1.4075,0.36908671,
Confluence,chla,3/1/2019,4,0,1.5,2,1.02956301,
Confluence,chla,4/1/2019,4,0,2.07,2.0575,0.53549821,
