region,analyte,date,n,n.cen,median,mean,sd,RL
Central Delta,dissAmmonia,4/1/2018,4,0,0.05,0.0625,0.015,
Central Delta,dissAmmonia,4/1/2019,4,2,NA,0.0525,0.006123724,
Central Delta,dissAmmonia,8/1/2018,4,0,0.024,0.03275,0.018172782,
Central Delta,dissAmmonia,8/1/2019,4,3,NA,0.083,#NUM!,
Central Delta,dissAmmonia,12/1/2018,4,0,NA,0.12425,0.017327723,
Central Delta,dissAmmonia,12/1/2019,4,1,0.13,0.15375,0.061332852,
Central Delta,dissAmmonia,2/1/2018,4,0,0.07,0.0775,0.037749172,
Central Delta,dissAmmonia,2/1/2019,4,0,0.08,0.09525,0.02401909,
Central Delta,dissAmmonia,1/1/2018,4,0,0.14,0.1425,0.041129876,
Central Delta,dissAmmonia,1/1/2019,4,0,0.15,0.14575,0.017670597,
Central Delta,dissAmmonia,7/1/2018,4,0,0.02,0.035,0.019148542,
Central Delta,dissAmmonia,7/1/2019,4,3,NA,0.076,#NUM!,
Central Delta,dissAmmonia,6/1/2018,4,0,0.02,0.0275,0.015,
Central Delta,dissAmmonia,6/1/2019,4,4,NA,0,0,0.05
Central Delta,dissAmmonia,3/1/2018,4,0,0.06,0.085,0.047958315,
Central Delta,dissAmmonia,3/1/2019,4,1,NA,0.06,0,
Central Delta,dissAmmonia,5/1/2018,4,0,0.03,0.0425,0.015,
Central Delta,dissAmmonia,5/1/2019,4,3,NA,0.06,#NUM!,
Central Delta,dissAmmonia,11/1/2018,4,0,0.137,0.13075,0.041660333,
Central Delta,dissAmmonia,11/1/2019,4,4,NA,0,0,0.2
Central Delta,dissAmmonia,10/1/2018,4,0,0.04,0.05675,0.031868218,
Central Delta,dissAmmonia,10/1/2019,4,4,NA,0,0,0.2
Central Delta,dissAmmonia,9/1/2018,4,0,0.03,0.0475,0.035939764,
Central Delta,dissAmmonia,9/1/2019,4,3,NA,0.068,#NUM!,
Confluence,dissAmmonia,4/1/2018,4,0,0.07,0.095,0.036968455,
Confluence,dissAmmonia,4/1/2019,4,2,NA,0.0525,0.006123724,
Confluence,dissAmmonia,8/1/2018,4,0,0.09,0.094,0.013366625,
Confluence,dissAmmonia,8/1/2019,4,3,NA,0.095,#NUM!,
Confluence,dissAmmonia,12/1/2018,4,0,0.173,0.1885,0.020371549,
Confluence,dissAmmonia,12/1/2019,4,0,0.23,0.2625,0.080156098,
