region,analyte,date,n,n.cen,median,mean,sd,RL
Central Delta,dissNitrateNitrite,1/1/2018,4,0,0.45,0.4675,0.027537853,
Central Delta,dissNitrateNitrite,2/1/2018,4,0,0.63,0.645,0.038729834,
Central Delta,dissNitrateNitrite,3/1/2018,4,0,0.57,0.5625,0.022173558,
Central Delta,dissNitrateNitrite,4/1/2018,4,0,0.26,0.32,0.102306728,
Central Delta,dissNitrateNitrite,5/1/2018,4,0,0.3,0.2975,0.012583057,
Central Delta,dissNitrateNitrite,6/1/2018,4,0,NA,0.2425,0.08845903,
Central Delta,dissNitrateNitrite,7/1/2018,4,0,0.21,0.2225,0.111766125,
Central Delta,dissNitrateNitrite,8/1/2018,4,0,0.152,0.135,0.054887764,
Central Delta,dissNitrateNitrite,9/1/2018,4,0,0.18,0.17375,0.072020252,
Central Delta,dissNitrateNitrite,10/1/2018,4,0,0.26,0.2595,0.084858706,
Central Delta,dissNitrateNitrite,11/1/2018,4,0,0.531,0.8615,0.679486326,
Central Delta,dissNitrateNitrite,12/1/2018,4,0,0.579,0.58125,0.02251481,
Central Delta,dissNitrateNitrite,1/1/2019,4,0,0.67,0.665,0.057445627,
Central Delta,dissNitrateNitrite,2/1/2019,4,0,0.59,0.7175,0.203203511,
Central Delta,dissNitrateNitrite,3/1/2019,4,0,0.377,0.56675,0.342445494,
Central Delta,dissNitrateNitrite,4/1/2019,4,0,0.2,0.2425,0.075883683,
Central Delta,dissNitrateNitrite,5/1/2019,4,0,0.14,0.1425,0.037287174,
Central Delta,dissNitrateNitrite,6/1/2019,4,0,0.14,0.14125,0.01547848,
Central Delta,dissNitrateNitrite,7/1/2019,4,0,0.175,0.15675,0.072288196,
Central Delta,dissNitrateNitrite,8/1/2019,4,0,0.171,0.16075,0.07064642,
Central Delta,dissNitrateNitrite,9/1/2019,4,0,0.185,0.16525,0.069916021,
Central Delta,dissNitrateNitrite,10/1/2019,2,0,NA,0.17,0.070710678,
Central Delta,dissNitrateNitrite,11/1/2019,4,0,0.35,0.32,0.066833126,
Central Delta,dissNitrateNitrite,12/1/2019,4,0,0.38,0.385,0.01,
Confluence,dissNitrateNitrite,1/1/2018,4,0,0.46,0.4475,0.032015621,
Confluence,dissNitrateNitrite,2/1/2018,4,0,0.55,0.55,0.058878406,
Confluence,dissNitrateNitrite,3/1/2018,4,0,0.49,0.475,0.051961524,
Confluence,dissNitrateNitrite,4/1/2018,4,0,0.21,0.25,0.059441848,
Confluence,dissNitrateNitrite,5/1/2018,4,0,0.32,0.3325,0.056199051,
Confluence,dissNitrateNitrite,6/1/2018,4,0,0.38,0.375,0.045092498,
Confluence,dissNitrateNitrite,7/1/2018,4,0,0.31,0.3425,0.053774219,
Confluence,dissNitrateNitrite,8/1/2018,4,0,0.23,0.265,0.043588989,
Confluence,dissNitrateNitrite,9/1/2018,4,0,0.224,0.2425,0.026501572,
Confluence,dissNitrateNitrite,10/1/2018,4,0,NA,0.32675,0.0065,
Confluence,dissNitrateNitrite,11/1/2018,4,0,0.429,0.44175,0.027873225,
Confluence,dissNitrateNitrite,12/1/2018,4,0,0.53,0.54,0.036905284,
Confluence,dissNitrateNitrite,1/1/2019,4,0,0.54,1.915,2.770517401,
Confluence,dissNitrateNitrite,2/1/2019,4,0,0.39,0.42175,0.047387586,
Confluence,dissNitrateNitrite,3/1/2019,4,0,0.27,0.2785,0.047703948,
Confluence,dissNitrateNitrite,4/1/2019,4,0,0.161,0.17775,0.029545163,
Confluence,dissNitrateNitrite,5/1/2019,4,0,0.151,0.151,0.000816497,
Confluence,dissNitrateNitrite,6/1/2019,4,0,0.14,0.15,0.014142136,
Confluence,dissNitrateNitrite,7/1/2019,4,0,0.223,0.22975,0.033648923,
Confluence,dissNitrateNitrite,8/1/2019,4,0,0.203,0.20875,0.014795833,
Confluence,dissNitrateNitrite,9/1/2019,4,0,0.212,0.22,0.012247449,
Confluence,dissNitrateNitrite,10/1/2019,4,1,0.23,0.2233333,0.024037009,1.5
Confluence,dissNitrateNitrite,11/1/2019,4,0,0.32,1.34,1.723852275,
Confluence,dissNitrateNitrite,12/1/2019,4,3,0.29,0.29,#NUM!,7.5
Northern Interior Delta,dissNitrateNitrite,1/1/2018,2,0,NA,0.24,0.127279221,
Northern Interior Delta,dissNitrateNitrite,2/1/2018,2,0,NA,0.285,0.148492424,
Northern Interior Delta,dissNitrateNitrite,3/1/2018,2,0,NA,0.29,0.084852814,
Northern Interior Delta,dissNitrateNitrite,4/1/2018,2,0,NA,0.12,0.056568543,
Northern Interior Delta,dissNitrateNitrite,5/1/2018,2,0,NA,0.155,0.148492424,
Northern Interior Delta,dissNitrateNitrite,6/1/2018,2,0,NA,0.165,0.120208153,
Northern Interior Delta,dissNitrateNitrite,7/1/2018,2,0,NA,0.145,0.134350288,
Northern Interior Delta,dissNitrateNitrite,8/1/2018,2,0,NA,0.145,0.091923882,
Northern Interior Delta,dissNitrateNitrite,9/1/2018,2,0,NA,0.14,0.098994949,
Northern Interior Delta,dissNitrateNitrite,10/1/2018,2,0,NA,0.2565,0.079903066,
Northern Interior Delta,dissNitrateNitrite,11/1/2018,2,0,NA,0.3325,0.249608694,
Northern Interior Delta,dissNitrateNitrite,12/1/2018,2,0,NA,0.421,0.229102597,
Northern Interior Delta,dissNitrateNitrite,1/1/2019,2,0,NA,0.4785,0.026162951,
Northern Interior Delta,dissNitrateNitrite,2/1/2019,2,0,NA,0.345,0.06363961,
Northern Interior Delta,dissNitrateNitrite,3/1/2019,2,0,NA,0.205,0.035355339,
Northern Interior Delta,dissNitrateNitrite,4/1/2019,2,0,NA,0.1275,0.031819805,
Northern Interior Delta,dissNitrateNitrite,5/1/2019,2,0,NA,0.117,0.032526912,
Northern Interior Delta,dissNitrateNitrite,6/1/2019,2,0,NA,0.115,0.035355339,
Northern Interior Delta,dissNitrateNitrite,7/1/2019,2,0,NA,0.1545,0.092630988,
Northern Interior Delta,dissNitrateNitrite,8/1/2019,2,0,NA,0.142,0.072124892,
Northern Interior Delta,dissNitrateNitrite,9/1/2019,2,0,NA,0.133,0.070710678,
Northern Interior Delta,dissNitrateNitrite,10/1/2019,2,0,NA,0.145,0.06363961,
Northern Interior Delta,dissNitrateNitrite,11/1/2019,2,0,NA,0.22,0.141421356,
Northern Interior Delta,dissNitrateNitrite,12/1/2019,2,0,NA,0.21,0.113137085,
San Pablo Bay,dissNitrateNitrite,1/1/2018,6,0,0.45,0.455,0.030166206,
San Pablo Bay,dissNitrateNitrite,2/1/2018,6,0,0.47,0.465,0.050892043,
San Pablo Bay,dissNitrateNitrite,3/1/2018,6,0,0.44,0.4433333,0.047609523,
San Pablo Bay,dissNitrateNitrite,4/1/2018,6,0,0.26,0.2966667,0.100133245,
San Pablo Bay,dissNitrateNitrite,5/1/2018,6,0,0.31,0.32,0.036331804,
San Pablo Bay,dissNitrateNitrite,6/1/2018,6,0,0.36,0.3833333,0.033862467,
San Pablo Bay,dissNitrateNitrite,7/1/2018,6,0,0.39,0.4016667,0.047504386,
San Pablo Bay,dissNitrateNitrite,8/1/2018,6,0,0.376,0.3733333,0.017235622,
San Pablo Bay,dissNitrateNitrite,9/1/2018,6,0,0.35,0.35,0.017888544,
San Pablo Bay,dissNitrateNitrite,10/1/2018,6,0,0.31,0.3091667,0.028002976,
San Pablo Bay,dissNitrateNitrite,11/1/2018,3,0,0.359,0.3646667,0.044769782,
San Pablo Bay,dissNitrateNitrite,12/1/2018,6,0,0.38,0.375,0.041646128,
San Pablo Bay,dissNitrateNitrite,1/1/2019,6,0,0.54,0.5251667,0.050558547,
San Pablo Bay,dissNitrateNitrite,2/1/2019,6,0,0.46,0.47,0.027568098,
San Pablo Bay,dissNitrateNitrite,3/1/2019,6,0,0.29,0.2958333,0.014918668,
San Pablo Bay,dissNitrateNitrite,4/1/2019,6,0,0.19,0.1923333,0.006377042,
San Pablo Bay,dissNitrateNitrite,5/1/2019,6,0,0.14,0.1433333,0.025819889,
San Pablo Bay,dissNitrateNitrite,6/1/2019,6,0,0.23,0.2273333,0.023406552,
San Pablo Bay,dissNitrateNitrite,7/1/2019,6,0,0.256,0.2575,0.011878552,
San Pablo Bay,dissNitrateNitrite,8/1/2019,6,0,0.206,0.2088333,0.009474527,
San Pablo Bay,dissNitrateNitrite,9/1/2019,6,0,0.248,0.2508333,0.023447104,
San Pablo Bay,dissNitrateNitrite,10/1/2019,6,6,NA,0,0,15
San Pablo Bay,dissNitrateNitrite,11/1/2019,6,6,NA,0,0,15
San Pablo Bay,dissNitrateNitrite,12/1/2019,6,6,NA,0,0,15
Southern Interior Delta,dissNitrateNitrite,1/1/2018,4,0,0.65,0.9475,0.570343464,
Southern Interior Delta,dissNitrateNitrite,2/1/2018,4,0,0.94,1.305,0.689806736,
Southern Interior Delta,dissNitrateNitrite,3/1/2018,4,0,0.79,1.17,0.612535713,
Southern Interior Delta,dissNitrateNitrite,4/1/2018,4,0,0.43,0.45,0.17185265,
Southern Interior Delta,dissNitrateNitrite,5/1/2018,4,0,0.31,0.3125,0.179884222,
Southern Interior Delta,dissNitrateNitrite,6/1/2018,4,0,0.24,0.4875,0.373753484,
Southern Interior Delta,dissNitrateNitrite,7/1/2018,4,0,0.14,0.595,0.537556199,
Southern Interior Delta,dissNitrateNitrite,8/1/2018,4,1,0.11,0.5525,0.599147832,0.01
Southern Interior Delta,dissNitrateNitrite,9/1/2018,4,0,0.12,0.7025,0.72195914,
