Analyte,Station,Year,Median,Max,Min,RL_Min,Region
Chla,C10A,2020,9.510000000000002,32.5,2.35,FALSE,Southern Interior Delta
Chla,C10A,2021,1.76,25.51,1.06,FALSE,Southern Interior Delta
Chla,C3A,2020,1.01,2.55,0.53,FALSE,Northern Interior Delta
Chla,C3A,2021,0.6599999999999999,1.21,0.5,TRUE,Northern Interior Delta
Chla,C9,2020,2.3,9.9,0.5,TRUE,Southern Interior Delta
Chla,C9,2021,1.755,7.96,0.5,TRUE,Southern Interior Delta
Chla,D10,2020,2.1,5.14,0.5,TRUE,Confluence
Chla,D10,2021,3.49,6.66,0.66,FALSE,Confluence
Chla,D12,2020,2.445,5.27,1.19,FALSE,Confluence
Chla,D12,2021,2.145,7.36,0.79,FALSE,Confluence
Chla,D16,2020,2.0149999999999997,8.5,1.01,FALSE,Central Delta
Chla,D16,2021,1.97,9.03,0.5,TRUE,Central Delta
Chla,D19,2020,1.955,5.32,1.45,FALSE,Central Delta
Chla,D19,2021,2.08,15.3,1.01,FALSE,Central Delta
Chla,D22,2020,3.05,4.1,0.95,FALSE,Confluence
Chla,D22,2021,1.76,12.07,0.6,FALSE,Confluence
Chla,D26,2020,1.88,3.98,1.15,FALSE,Central Delta
Chla,D26,2021,2.235,13.9,0.5,TRUE,Central Delta
Chla,D28A,2020,2.515,5.04,1.05,FALSE,Central Delta
Chla,D28A,2021,2.145,15.5,0.5,TRUE,Central Delta
Chla,D4,2020,1.83,4.14,1.13,FALSE,Confluence
Chla,D4,2021,2.5949999999999998,7.38,0.53,FALSE,Confluence
Chla,D41,2020,1.91,4.58,1.49,FALSE,San Pablo Bay
Chla,D41,2021,3.625,7.2,0.73,FALSE,San Pablo Bay
Chla,D41A,2020,1.97,8.93,0.75,FALSE,San Pablo Bay
Chla,D41A,2021,4.8,13,0.99,FALSE,San Pablo Bay
Chla,D6,2020,1.57,2.27,0.5,TRUE,San Pablo Bay
Chla,D6,2021,2.935,5.32,1.2,FALSE,San Pablo Bay
Chla,D7,2020,1.74,2.79,0.5,TRUE,Suisun & Grizzly Bays
Chla,D7,2021,3.115,6.76,1.17,FALSE,Suisun & Grizzly Bays
