Stations,Analyte,Pvalue,Result
D6_NZ002,Chla,0.4342457288834355,Same
D6_NZ002,Depth,1.7733895177719668e-19,Different
D6_NZ002,DissAmmonia,0.9578797280118594,Same
D6_NZ002,DissBromide,0.06719694661586788,Same
D6_NZ002,DissCalcium,1.9204814971608939e-10,Different
D6_NZ002,DissChloride,5.701185822246194e-10,Different
D6_NZ002,DissNitrateNitrite,0.9219797073360154,Same
D6_NZ002,DissOrthophos,7.904668804815035e-4,Different
D6_NZ002,DissSilica,1.7086212961401307e-8,Different
D6_NZ002,DOBottom,3.5604071412672253e-8,Different
D6_NZ002,DOC,4.479443044187506e-6,Different
D6_NZ002,DON,0.3213183837648679,Same
D6_NZ002,DOpercentBottom,0.6969800110121259,Same
D6_NZ002,DOpercentSurface,0.8094100813976524,Same
D6_NZ002,DOSurface,3.2182266516700664e-10,Different
D6_NZ002,Microcystis,0.16028657480362954,Same
D6_NZ002,pHBottom,3.579025416755814e-5,Different
D6_NZ002,Pheophytin,0.20088292167042848,Same
D6_NZ002,pHSurface,1.0246173140557295e-7,Different
D6_NZ002,Secchi,0.0068508729279562345,Different
D6_NZ002,SpCndBottom,1.3480157150974747e-13,Different
D6_NZ002,SpCndSurface,6.1706108071344305e-12,Different
D6_NZ002,TDS,4.963049086485741e-10,Different
D6_NZ002,TKN,0.37918628545255195,Same
D6_NZ002,TOC,5.53120785343462e-8,Different
D6_NZ002,TotAlkalinity,0.012254723173754253,Different
D6_NZ002,TotPhos,0.13259812473347646,Same
D6_NZ002,TSS,1.4831983722131734e-4,Different
D6_NZ002,TurbidityBottom,0.07844407971539301,Same
D6_NZ002,TurbiditySurface,3.9439751150805255e-4,Different
D6_NZ002,VSS,1.2190977826426757e-4,Different
D6_NZ002,WTBottom,0.1886328244334319,Same
D6_NZ002,WTSurface,0.7748573613543842,Same
D6_NZ004,Chla,0.019198118473428356,Different
D6_NZ004,Depth,5.338621341732572e-11,Different
D6_NZ004,DissAmmonia,0.15618405982236375,Same
D6_NZ004,DissBromide,0.26188723811104736,Same
