Observation ID,Location ID,Observed Property ID,Observed DateTime,Analyzed DateTime,Depth,Depth Unit,Data Classification,Result Value,Result Unit,Source of Rounded Value,Rounded Value,Rounding Specification,Result Status,Result Grade,Medium,Activity ID,Activity Name,Collection Method,Field: Device ID,Field: Device Type,Field: Comment,Lab: Specimen Name,Lab: Analysis Method,Lab: Detection Condition,Lab: Limit Type,Lab: MDL,Lab: MRL,Lab: Quality Flag,Lab: Received DateTime,Lab: Prepared DateTime,Lab: Sample Fraction,Lab: From Laboratory,Lab: Sample ID,Lab: Dilution Factor,Lab: Comment,QC: Type,QC: Source Sample ID,Standards Violations,Specimen: Taxonomy Element,CAS Number,Latitude,Longitude,Elevation,Elevation Unit,Country,State,County,Location Type,Field Visit Start Date,Validation Warnings,Location Group,EA_Current Name,EA_Field Quality Flag,EA_Filter Container ID,EA_Modified Method,EA_Parent Sample ID,EA_Profile Type,EA_Project Type,EA_Reports To,EA_Sampling Depth
00122410-6dc9-44e8-8573-b9ddc17f64fb,D8,(Bottom) Turbidity,2024-07-16 13:00:00.000[PST],1950-01-01 12:00:00.000[PST],44.6,ft,FIELD,19,FNU,,,,Preliminary,Unknown,Water,57555eea-02a4-4985-8672-ce66b67084ae,E0725B0754,,EMP-3,YSI EXO2 Sonde,Microcystis not visible at surface but seen in zoop tow.,Field Data,EPA 180.1;Turbidity by Turbidimeter;EPA Methods,,,,,,,,,,,,,,,,,,38.059971,-121.992062,,,,,,Bay,7/16/2024,,Suisun & Grizzly Bay,,,,FALSE,,Discrete,Routine Monitoring,MRL,41.6
001bbf11-2ece-4c0a-832b-779e7419f466,NZ032,Dissolved Silica,2024-11-13 14:05:00.000[PST],2024-12-04 10:55:00.000[PST],26.9,ft,LAB,11.2,mg/L,,,,Preliminary,Unknown,Water,9690fa4c-9930-44da-91dc-468b67a6170c,E1124B2550,,,,,Lab Data,EPA 200.7;Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry;EPA Methods,,,,1,,2024-11-14 12:35:00.000[PST],,,Bryte,,10,,,,,,,38.171063,-122.020467,,,,,,Slough,11/13/2024,,Suisun Marsh,,,,FALSE,,,Routine Monitoring,MRL,3
0027815f-ebcd-4723-a351-9fa11306e4db,D12,Secchi Depth,2024-10-08 09:15:00.000[PST],1950-01-01 12:00:00.000[PST],37.4,ft,FIELD,84,cm,,,,Preliminary,Unknown,Water,745c53e1-124e-44bd-80fe-dc195bc6688b,E1025B1232,,,Secchi Disk,No Zoop tow conducted because tow sled snapped and was lost.,Field Data,,,,,,,,,,,,,,,,,,,38.021427,-121.806965,,,,,,River,10/8/2024,,Confluence,,,,FALSE,,,Routine Monitoring,MRL,
002df085-c348-45f0-8a49-917bb667bf62,D28A,Chlorophyll Fluorescence ug/L,2024-10-08 11:50:00.000[PST],1950-01-01 12:00:00.000[PST],19,ft,FIELD,1.6,ug/L,,,,Preliminary,Unknown,Water,74482694-6f2e-43ea-ae8f-058245f8660e,E1025B1234,,EMP-6,YSI EXO2 Sonde,No tow due to loss of zoop tow sled at D12.,Field Data,,,,,,,,,,,,,,,,,,,37.969697,-121.573145,,,,,,River,10/8/2024,,Central Delta,,,,FALSE,,Discrete,Routine Monitoring,MRL,3
002e715a-76ff-4551-8c09-1d0fc6678b69,Equipment Blank,Dissolved Silica,2024-12-10 16:35:00.000[PST],2025-01-08 10:45:00.000[PST],,,LAB,,mg/L,,,,Preliminary,Unknown,Water,50057f42-c75a-4584-9f80-7328fd4260b2,E1224B2624,,,,,Lab Data,EPA 200.7;Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry;EPA Methods,NOT_DETECTED,,,0.1,,2024-12-11 11:35:00.000[PST],,,Bryte,,1,,BLANK,,,,,,,,,,,,,12/10/2024,,,,,,FALSE,,,Routine Monitoring,MRL,3
0037ef8d-1140-4435-ab49-e53a5afcf3d8,D10,Chlorophyll Fluorescence RFU,2024-10-11 12:25:00.000[PST],1950-01-01 12:00:00.000[PST],40,ft,FIELD,0.57,RFU,,,,Preliminary,Unknown,Water,6e3aa63a-42ef-4532-9172-e7f85f53d9f5,E1025B1336,,EMP-6,YSI EXO2 Sonde,,Field Data,,,,,,,,,,,,,,,,,,,38.048364,-121.918587,,,,,,River,10/11/2024,,Confluence,,,,FALSE,,Discrete,Routine Monitoring,MRL,3
004c2f7d-b356-49b8-97f4-01bf63e991ca,D41,Total Alkalinity,2024-09-16 12:55:00.000[PST],2024-09-24 14:40:00.000[PST],42,ft,LAB,105,mg/L,,,,Preliminary,Unknown,Water,e465824e-1687-4579-a5f1-dac35b2f804a,E0925B1218,,,,,Lab Data,Std Method 2320 B;Alkalinity by Titration;Standard Methods,,,,20,,2024-09-17 14:45:00.000[PST],,,Bryte,,1,,,,,,,38.030135,-122.372771,,,,,,Bay,9/16/2024,,San Pablo Bay,,,,FALSE,,,Routine Monitoring,MRL,3
00518532-1233-4e36-a5ea-5e09aec38678,D12,Dissolved Silica,2024-10-08 09:15:00.000[PST],2024-10-25 09:10:00.000[PST],37.4,ft,LAB,14.4,mg/L,,,,Preliminary,Unknown,Water,745c53e1-124e-44bd-80fe-dc195bc6688b,E1025B1232,,,,,Lab Data,EPA 200.7;Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry;EPA Methods,,,,0.1,,2024-10-09 14:35:00.000[PST],,,Bryte,,1,,,,,,,38.021427,-121.806965,,,,,,River,10/8/2024,,Confluence,,,,FALSE,,,Routine Monitoring,MRL,3
0058aca3-9f62-4c83-a797-b0b240c5d9aa,D8,Dissolved Nitrate + Nitrite,2024-09-13 13:15:00.000[PST],2024-09-18 13:10:00.000[PST],44.9,ft,LAB,0.173,mg/L,,,,Preliminary,Unknown,Water,c42253b6-a9b8-49ae-a581-58517a753628,E0925B1134,,,,,Lab Data,"Std Method 4500-NO3-, F;Nitrate by Automated Cadmium Reduction Method;Standard Methods",,,,0.05,,2024-09-16 11:10:00.000[PST],,,Bryte,,1,,,,,,,38.059971,-121.992062,,,,,,Bay,9/13/2024,,Suisun & Grizzly Bay,,,,FALSE,,,Routine Monitoring,MRL,3
006242b6-602a-467c-8ebe-106521ff14ac,C10A,Chlorophyll a,2024-11-19 12:45:00.000[PST],2024-12-03 10:55:00.000[PST],3.4,ft,LAB,2.7,ug/L,,,,Preliminary,Unknown,Water,d7e852a9-e952-42f7-aa10-6e14d4a60e68,E1124B2513,,,,,Lab Data,Std Method 10200 H;Spectrophotometric Determination of Chlorophyll;Standard Methods,,,,0.5,,2024-11-20 11:00:00.000[PST],,,Bryte,,1,,REPLICATE,90159038-e3ee-47cf-9df7-3aa2e3fa0fbc,,,,37.679343,-121.264857,,,,,,River,11/19/2024,,South Delta,,,,FALSE,E1124B2512,,Routine Monitoring,MRL,3
0073d24b-46b4-4f85-945f-e735ea0e03c6,D7,Dissolved Bromide,2024-09-12 11:05:00.000[PST],2024-09-24 01:45:00.000[PST],5.6,ft,LAB,14.1,mg/L,,,,Preliminary,Unknown,Water,0264fcf7-69dc-4b4f-9bd5-93ff10d19e13,E0925B1172,,,,,Lab Data,EPA 300.0;Determination of Inorganic Anions by Ion Chromatography;EPA Methods,,,,1,,2024-09-13 08:30:00.000[PST],,,Bryte,,10,,,,,,,38.116854,-122.039512,,,,,,Bay,9/12/2024,,Suisun & Grizzly Bay,,,,FALSE,,,Routine Monitoring,MRL,3
007764a3-b33c-4e7d-8a9e-786754dc669d,C3A,Dissolved Chloride,2024-12-06 10:45:00.000[PST],2024-12-12 03:45:00.000[PST],14.7,ft,LAB,7.77,mg/L,,,,Preliminary,Unknown,Water,2fa44332-f2d0-45da-80f7-e0a1887220a9,E1224B2597,,,,,Lab Data,EPA 300.0;Determination of Inorganic Anions by Ion Chromatography;EPA Methods,,,,1,,2024-12-09 10:20:00.000[PST],,,Bryte,,1,,,,,,,38.367655,-121.520475,,,,,,River,12/6/2024,,North Delta,,,,FALSE,,,Routine Monitoring,MRL,3
00829946-2e37-43dd-82a2-da7f63f327fa,D19,(Bottom) Chlorophyll Fluorescence ug/L,2024-09-09 10:55:00.000[PST],1950-01-01 12:00:00.000[PST],5.5,ft,FIELD,1.27,ug/L,,,,Preliminary,Unknown,Water,356f6530-6b3a-4d41-86fe-0cb74402d3a6,E0925B1053,,EMP-1,YSI EXO2 Sonde,,Field Data,,,,,,,,,,,,,,,,,,,38.047662,-121.622335,,,,,,Bay,9/9/2024,,Central Delta,,,,FALSE,,Discrete,Routine Monitoring,MRL,2.5
00837b0a-1023-46a2-bc6b-0f691c220b7d,D10,Dissolved Chloride,2024-08-16 15:10:00.000[PST],2024-08-27 19:40:00.000[PST],38.1,ft,LAB,1790,mg/L,,,,Preliminary,Unknown,Water,3218ffa3-d111-41cd-81e9-7c6b8fa90b90,E0825B0983,,,,,Lab Data,EPA 300.0;Determination of Inorganic Anions by Ion Chromatography;EPA Methods,,,,50,,2024-08-19 10:55:00.000[PST],,,Bryte,,50,,,,,,,38.048364,-121.918587,,,,,,River,8/16/2024,,Confluence,,,,FALSE,,,Routine Monitoring,MRL,3
0084a54d-1c29-473f-b082-b7fd72dad532,D26,(Bottom) Turbidity,2024-09-10 10:30:00.000[PST],1950-01-01 12:00:00.000[PST],37.4,ft,FIELD,5.3,FNU,,,,Preliminary,Unknown,Water,5ab5512f-907b-4cdd-a9de-60380740cea6,E0925B1073,,EMP-1,YSI EXO2 Sonde,,Field Data,EPA 180.1;Turbidity by Turbidimeter;EPA Methods,,,,,,,,,,,,,,,,,,38.083861,-121.573184,,,,,,River,9/10/2024,,Central Delta,,,,FALSE,,Discrete,Routine Monitoring,MRL,34.4
0094ecd3-d671-4b78-8d9e-5949f33f051a,MD10A,Dissolved Calcium,2024-11-07 12:45:00.000[PST],2024-11-20 10:10:00.000[PST],16.1,ft,LAB,11.5,mg/L,,,,Preliminary,Unknown,Water,1bcbc416-648d-4d48-a82a-e1e78e2d9c8e,E1124B2432,,,,,Lab Data,EPA 200.7;Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry;EPA Methods,,,,1,,2024-11-08 10:00:00.000[PST],,,Bryte,,1,,REPLICATE,8a6a8cd6-bce0-4299-aed6-40d7c6c30f26,,,,38.04208,-121.422196,,,,,,Slough,11/7/2024,,Central Delta,,,,FALSE,E1124B2430,,Routine Monitoring,MRL,3
00a35264-f22e-47d8-a0d1-9a858e009f16,NZ068,Dissolved Organic Carbon,2024-11-08 13:50:00.000[PST],2024-11-27 05:20:00.000[PST],18.4,ft,LAB,2.1,mg/L,,,,Preliminary,Unknown,Water,115f22f1-2c8c-495b-98c0-ee5182513102,E1124B2455,,,,,Lab Data,Std Method 5310 C (D);Total Organic Carbon by Persulfate-UV or Heated-Persulfate Oxidation Method;Standard Methods,,,,0.5,,2024-11-12 12:05:00.000[PST],,,Bryte,,1,,REPLICATE,0617b194-4a9f-4e5b-85f6-3d3d1b2e9632,,,,38.142716,-121.68948,,,,,,River,11/8/2024,,North Delta,,,,FALSE,E1124B2454,,Routine Monitoring,MRL,3
00a3957e-5900-4f7a-b7be-6f87fda4887d,MD10A,Turbidity,2024-07-12 09:50:00.000[PST],1950-01-01 12:00:00.000[PST],17.1,ft,FIELD,4.4,FNU,,,,Preliminary,Unknown,Water,89dfd9a9-9ddc-48a8-9f6a-d53ea8c6e604,E0725B0688,,EMP-3,YSI EXO2 Sonde,,Field Data,EPA 180.1;Turbidity by Turbidimeter;EPA Methods,,,,,,,,,,,,,,,,,,38.04208,-121.422196,,,,,,Slough,7/12/2024,,Central Delta,,,,FALSE,,Discrete,Routine Monitoring,MRL,3
