WDL,EDI
(Bottom) Chlorophyll Fluorescence RFU Fluorescence,ChlaSondeRFUBottom
(Bottom) Chlorophyll Fluorescence ug/L of Chl Fluorescence,ChlaSondeuglBottom
(Field) (Bottom) Dissolved Oxygen % Saturation,DOpercentBottom
(Field) (Bottom) Dissolved Oxygen mg/L,DOBottom
(Field) (Bottom) Specific Conductance uS/cm@25 °C,SpCndBottom
(Field) (Bottom) Turbidity F.N.U.,TurbidityBottom
(Field) (Bottom) Water Temperature °C,WTBottom
"Air Temperature °F Temperature, Air",AirTemp
Chlorophyll a ug/L,Chla
Chlorophyll Fluorescence RFU Fluorescence,ChlaSondeRFUSurface
Chlorophyll Fluorescence ug/L of Chl Fluorescence,ChlaSondeuglSurface
Chlorophyll Volume mL Chlorophyll Volume Filtered,ChlaVol
Dissolved Ammonia mg/L as N,DissAmmonia
Dissolved Bromide mg/L,DissBromide
Dissolved Calcium mg/L,DissCalcium
Dissolved Chloride mg/L,DissChloride
Dissolved Nitrate + Nitrite mg/L as N,DissNitrateNitrite
Dissolved Organic Carbon mg/L as C,DOC
Dissolved Organic Nitrogen mg/L as N,DON
Dissolved ortho-Phosphate mg/L as P,DissOrthophos
(Field) Dissolved Oxygen % Saturation,DOpercentSurface
(Field) Dissolved Oxygen mg/L,DOSurface
Dissolved Silica (SiO2) mg/L ,DissSilica
(Field) Field Notes Notes,FieldNotes
Flag,Flag
FlagDescription,FlagDescription
Microcystis aeruginosa Field Observations (Water),Microcystis
North Latitude Decimal Degrees GPS Location,NorthLat
Parent Sample Code,REMOVE_4
pH pH Units,pHSurfaceLab
(Field) pH pH Units,pHSurface
(Field) (Bottom) pH pH Units,pHBottom
Pheophytin a ug/L,Pheophytin
Sample Code,REMOVE_2
Sample Date,DateTime
Sample Depth,SampleDepth
Sample Description,SampleDescription
Sample Type,REMOVE_3
Secchi Depth Centimeters Secchi Depth,Secchi
(Field) Specific Conductance uS/cm@25 °C,SpCndSurface
Specific Conductance uS/cm@25 °C,SpCndSurfaceLab
Station Name,Station
Station Number,REMOVE_1
Total Alkalinity mg/L as CaCO3,TotAlkalinity
Total Dissolved Solids mg/L,TDS
Total Kjeldahl Nitrogen mg/L as N,TKN
Total Organic Carbon mg/L as C,TOC
Total Phosphorus mg/L as P,TotPhos
Total Suspended Solids mg/L,TSS
(Field) Turbidity F.N.U.,TurbiditySurface
Volatile Suspended Solids mg/L,VSS
Water Depth at Station Feet Depth of Water Column,Depth
(Field) Water Temperature °C,WTSurface
Weather Observations Weather Observations,Weather
West Longitude Decimal Degrees GPS Location,WestLong
Wind Direction,WindDirection
Wind Velocity Miles/hr Wind Velocity,WindVelocity
