col,type
TotAlkalinity,lab
DissAmmonia,lab
DissBromide,lab
DissCalcium,lab
DissChloride,lab
Chla,lab
DissNitrateNitrite,lab
DOC,lab
TOC,lab
DON,lab
Pheophytin,lab
TotPhos,lab
DissSilica,lab
TDS,lab
TSS,lab
VSS,lab
TKN,lab
DissOrthophos,lab
ChlaSondeRFU-Bot,field
ChlaSondeugl-Bot,field
ChlaSondeRFU-Top,field
ChlaSondeugl-Top,field
ChlaVol,field
SpCndBottom,field
SpCndSurface,field
FieldNotes,field
Microcystis,field
DOpercentBottom,field
DOBottom,field
DOpercentSurface,field
DOSurface,field
Secchi,field
WTBottom,field
AirTemp,field
WTSurface,field
TurbidityBottom-FNU,field
TurbiditySurface-FNU,field
Depth,field
Weather,field
WindVelocity,field
pHBottom,field
pHSurface,field
