WDL,EDI
C10A - San Joaquin River near Vernalis @ SJR Club,C10A
C9 - West Canal @ Clifton Court Intake,C9
D10 - Sacramento River @ Chipps Island,D10
D16 - San Joaquin River @ Twitchell Island,D16
D19 - Frank's Tract near Russo's Landing,D19
D22 - Sacramento River @ Emmaton,D22
D26 - San Joaquin River @ Potato Point,D26
D12 - San Joaquin River @ Antioch Ship Channel,D12
D28A - Old River @ Rancho Del Rio,D28A
D4 - Sacramento River above Point Sacramento,D4
D41 - San Pablo Bay near Pinole Point,D41
D41A - San Pablo Bay near Mouth of Petaluma River,D41A
D6 - Suisun Bay @ Bulls Head nr. Martinez,D6
D7 - Grizzly Bay @ Dolphin nr. Suisun Slough,D7
D8 - Suisun Bay off Middle Point nr. Nichols,D8
MD10A - Disappointment Slough @ Bishop Cut,MD10A
NZ002 - Carquinez Strait near Glencove Harbor,NZ002
NZ004 - Carquinez Strait near Ozol Pier,NZ004
NZ032 - Montezuma Slough nr Grizzly Island Club,NZ032
NZ068 in Sacramento River,NZ068
NZ325 - San Pablo Bay near Rock Wall and Light 15,NZ325
NZS42 - Suisun Slough @ Volanti Slough,NZS42
P8 - San Joaquin River @ Buckley Cove,P8
SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC,EZ2
SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC,EZ6
SF Estuarine Entrapment Zone-2000 µS/cm bottom EC,EZ2-SJR
SF Estuarine Entrapment Zone-6000 µS/cm bottom EC,EZ6-SJR
Sacramento River @ Hood - C3A,C3A
D42 - San Pablo Bay near Mare Island,D42
P10 - Middle River @ Victoria Canal,P10
S42 - Suisun Slough 300' south of Volanti Slough,S42
D41 - San Pablo Bay near Pinole Point,D41
Middle River @ Union Point - P10A,P10A
MD7A - Little Potato Slough @ Terminous,MD7A
MD10A - Disappointment Slough @ Bishop Cut,MD10A
Blank; Equipment,REMOVE
