Station Name,Station Number,Sample Date,Sample Code,Sample Depth,Sample Description,Flag,FlagDescription,Sample Type,Parent Sample Code,Total Alkalinity mg/L as CaCO3 Std Method 2320 B 916 [1]*,Dissolved Ammonia mg/L as N EPA 350.1 (D) 925 [1]*,Dissolved Bromide mg/L EPA 300.0 356 [1]*,Dissolved Calcium mg/L EPA 200.7 (D) 130 [1]*,Dissolved Chloride mg/L EPA 300.0 356 [1]*,Chlorophyll a ug/L Std Method 10200 H 274 [1]*,Dissolved Nitrate + Nitrite mg/L as N Std Method 4500-NO3-F 923 [1]*,Dissolved Organic Carbon mg/L as C EPA 415.3 (D) 915 [1]*,Dissolved Organic Carbon mg/L as C Std Method 5310C (D) 920 [1]*,Total Organic Carbon mg/L as C EPA 415.3 (T) 914 [1]*,Total Organic Carbon mg/L as C Std Method 5310C (T) 919 [1]*,Dissolved Organic Nitrogen mg/L as N EPA 351.2/EPA 350.1 (D) 929 [1]*,Pheophytin a ug/L Std Method 10200 H 274 [1]*,Total Phosphorus mg/L as P EPA 365.4 928 [1]*,Dissolved Silica (SiO2) mg/L EPA 200.7 (D) 130 [1]*,Total Dissolved Solids mg/L Std Method 2540 C 203 [1]*,Total Suspended Solids mg/L EPA 160.2 64 [1]*,Total Suspended Solids mg/L Std Method 2540 D 918 [1]*,Volatile Suspended Solids mg/L EPA 160.4 72 [1]*,Volatile Suspended Solids mg/L Std Method 2540 E 317 [1]*,Total Kjeldahl Nitrogen mg/L as N EPA 351.2 927 [1]*,Dissolved ortho-Phosphate mg/L as P EPA 365.1 924 [1]*,"(Bottom) Chlorophyll Fluorescence RFU Fluorescence, Sonde - [1]*","(Bottom) Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde - [1]*","Chlorophyll Fluorescence RFU Fluorescence, Sonde - [1]*","Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde - [1]*",Chlorophyll Volume mL Chlorophyll Volume Filtered - [1]*,(Bottom) Specific Conductance uS/cm@25 °C EPA 120.1 (Field) - [1]*,Specific Conductance uS/cm@25 °C EPA 120.1 (Field) - [1]*,Field Notes Notes (Field) - [1]*,North Latitude Decimal Degrees GPS Location - [1]*,West Longitude Decimal Degrees GPS Location - [1]*,Microcystis aeruginosa Field Observations (Water) - [1]*,(Bottom) Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) - [1]*,(Bottom) Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) - [1]*,Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) - [1]*,Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) - [1]*,Secchi Depth Centimeters Secchi Depth - [1]*,(Bottom) Water Temperature °C EPA 170.1 (Field) - [1]*,"Air Temperature °F Temperature, Air - [1]*",Water Temperature °C EPA 170.1 (Field) - [1]*,(Bottom) Turbidity F.N.U. EPA 180.1 (Field) - [1]*,Turbidity F.N.U. EPA 180.1 (Field) - [1]*,Water Depth at Station Feet Depth of Water Column - [1]*,Weather Observations Weather Observations - [1]*,Wind Velocity Miles/hr Wind Velocity - [1]*,(Bottom) pH pH Units EPA 150.1 (Field) - [1]*,pH pH Units EPA 150.1 (Field) - [1]*
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,1/5/2022 11:45,E0122B0004,3 Feet,,1-DissCalcium 1-DissSilica,,Normal Sample,0,95.9,0.183,N/A,25.9,53,1.39,1.69,7.6,N/A,7.2,N/A,0.54,1.45,0.165,16.4,"297,301**","6.2,6.4**",N/A,"<2.5,<2.5**",N/A,0.854,0.141,N/A,N/A,0.67,2.77,N/A,N/A,515,Station too shallow to obtain bottom readings. Water samples collected with Van Dorne.,N/A,N/A,1,N/A,N/A,84.6,9.63,N/A,N/A,57,9.59,N/A,7.3,4.07,"partly cloudy; no waves, flat; no rain",3,N/A,7.53
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,2/7/2022 14:00,E0222B0305,3 Feet,,,,Normal Sample,0,67.8,<0.05,N/A,16.5,34.4,4.79,0.509,2.7,N/A,2.7,N/A,0.31,3.01,0.058,11.8,194,10.5,N/A,<2.5,N/A,0.396,<0.05,0.47,1.93,0.47,1.92,N/A,344,344,Water samples collected with a Van Dorn,N/A,N/A,1,100,10.99,99.9,10.99,N/A,11.1,66,11.06,6.7,5.9,5.1,"Sunny, no waves/flat, no rain",2,7.65,7.67
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,3/9/2022 14:15,E0322B0462,3 Feet,,,,Normal Sample,0,79.1,<0.05,N/A,21.8,47,3.79,0.587,3.1,N/A,3.2,N/A,0.25,2.14,0.067,11.1,248,10.8,N/A,<2.5,N/A,0.364,<0.05,N/A,N/A,0.69,2.81,N/A,N/A,435,Station too shallow to obtain bottom readings. Water samples collected with Van Dorn.,N/A,N/A,1,N/A,N/A,101.3,10.29,N/A,N/A,71,14.57,N/A,6.1,3.5,"sunny; ripples to small waves, no white caps; no rain",12,N/A,7.77
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,4/6/2022 12:15,E0422B0669,3 Feet,"VSS sample collected, but missed at the lab - no analysis performed",5-VSS,,Normal Sample,0,110,<0.05,N/A,30,76.1,1.92,0.874,3.6,N/A,3.6,N/A,0.32,1.49,0.099,13,364,7.1,N/A,N/A,N/A,0.473,0.094,N/A,N/A,0.61,2.49,N/A,N/A,643,Station too shallow to obtain bottom readings. Water samples collected with a Van Dorn.,N/A,N/A,1,N/A,N/A,95.3,8.83,N/A,N/A,73,18.95,N/A,5.5,3.4,"Sunny; Ripples to small waves, no white caps; No rain",10,N/A,7.74
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,5/19/2022 10:45,E0522B0935,3 Feet,,,,Normal Sample,0,51.4,"<0.05,<0.05**",N/A,13.3,23,1.31,"0.377,0.379**",2.3,N/A,2.3,N/A,0.14,0.7,0.042,11,117,3.1,N/A,<2.5,N/A,0.212,"<0.05,<0.05**",N/A,N/A,0.38,1.45,500,N/A,210,Station too shallow to obtain bottom measurements. Samples collected with a Van Dorn.,N/A,N/A,1,N/A,N/A,101.4,8.88,N/A,N/A,86,21.9,N/A,3.1,2.2,"Sunny, no waves/flat, no rain",14,N/A,7.51
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,6/20/2022 13:15,E0622B1196,3 Feet,,,,Normal Sample,0,40.2,<0.05,N/A,"10.4,10.5**",11.7,1.63,0.131,N/A,2.5,N/A,2.4,0.11,0.77,0.027,"10.4,10.6**",78,N/A,4.6,N/A,<2.5,0.141,<0.05,N/A,N/A,0.29,1.04,500,N/A,136,Station too shallow to obtain bottom readings. Samples collected with a Van Dorn.,N/A,N/A,1,N/A,N/A,104.3,9.21,N/A,N/A,89,21.42,N/A,3,3.1,"Sunny, no waves/flat, no rain",11,N/A,7.56
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,7/18/2022 12:00,E0722B1402,3 Feet,,,,Normal Sample,0,60.3,<0.05,N/A,14.6,23.5,4.03,0.273,N/A,2.7,N/A,3.1,0.12,1.34,0.046,12.7,132,N/A,3.9,N/A,<2.5,0.158,<0.05,N/A,N/A,0.46,1.86,500,N/A,229,Samples were collected with a Van Dorn. Station too shallow to collect bottom readings.,N/A,N/A,1,N/A,N/A,122.9,9.7,N/A,N/A,89,27.41,N/A,2.1,1.9,"Sunny, ripples to small waves/no white caps, no rain",3,N/A,8.17
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,8/15/2022 11:30,E0822B1726,3 Feet,,,,Normal Sample,0,71.5,<0.05,N/A,17.9,30,7.78,0.379,N/A,2.1,N/A,2.3,0.12,1.45,0.045,13.8,168,N/A,5.4,N/A,<2.5,0.183,<0.05,N/A,N/A,0.29,1.18,500,N/A,299,station too shallow for bottom readings. samples collected with peristalitic pump from the shore,N/A,N/A,1,N/A,N/A,103.2,8.51,N/A,N/A,93,25.02,N/A,2,1.9,"sunny; no waves, flat; no rain",4,N/A,7.66
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,9/13/2022 11:30,E0922B2029,3 Feet,,,,Normal Sample,0,50.4,<0.05,N/A,"12.6,12.9**",21.2,2.01,0.126,N/A,2.3,N/A,2.3,<0.1,0.93,0.037,"11.7,11.8**",108,N/A,"5.8,6**",N/A,"2.9,3.1**",0.121,<0.05,N/A,N/A,0.3,1.25,500,N/A,196,Station too shallow to obtain bottom readings. Samples collected with Van Dorn.,N/A,N/A,1,N/A,N/A,85.9,7.51,N/A,N/A,78,22,N/A,2.8,2.6,"sunny; no waves, flat; no rain",16,N/A,7.29
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,10/12/2022 11:15,E1022B2278,3 Feet,,,,Normal Sample,0,61.8,<0.05,N/A,16.1,25,1.07,0.468,N/A,2.5,N/A,2.7,0.13,0.75,0.044,13.1,141,N/A,"3.3,3.3**",N/A,"<2.5,<2.5**",0.194,<0.05,N/A,N/A,0.16,0.66,500,N/A,244,station too shallow to obtain bottom readings. samples collected with a van dorn,N/A,N/A,1,N/A,N/A,88,7.99,N/A,N/A,77,20.06,N/A,1.6,2.3,"sunny; no waves, flat; no rain",9,N/A,7.66
