Station Name,Station Number,Sample Date,Sample Code,Sample Depth,Sample Description,Sample Type,Parent Sample Code,Total Alkalinity mg/L as CaCO3 Std Method 2320 B 916 [1]*,Dissolved Ammonia mg/L as N EPA 350.1 (D) 925 [1]*,Dissolved Bromide mg/L EPA 300.0 356 [1]*,Dissolved Calcium mg/L EPA 200.7 (D) 130 [1]*,Dissolved Chloride mg/L EPA 300.0 356 [1]*,Chlorophyll a ug/L Std Method 10200 H 274 [1]*,Specific Conductance µmhos/cm@25°C Std Method 2510-B 917 [1]*,Dissolved Nitrate + Nitrite mg/L as N Std Method 4500-NO3-F 923 [1]*,Dissolved Organic Carbon mg/L as C Std Method 5310C (D) 920 [1]*,Total Organic Carbon mg/L as C Std Method 5310C (T) 919 [1]*,Dissolved Organic Nitrogen mg/L as N EPA 351.2/EPA 350.1 (D) 929 [1]*,Pheophytin a ug/L Std Method 10200 H 274 [1]*,Total Phosphorus mg/L as P EPA 365.4 928 [1]*,Dissolved Silica (SiO2) mg/L EPA 200.7 (D) 130 [1]*,Total Dissolved Solids mg/L Std Method 2540 C 203 [1]*,Total Suspended Solids mg/L Std Method 2540 D 918 [1]*,Volatile Suspended Solids mg/L Std Method 2540 E 317 [1]*,Total Kjeldahl Nitrogen mg/L as N EPA 351.2 927 [1]*,Dissolved ortho-Phosphate mg/L as P EPA 365.1 924 [1]*,pH pH Units Std Method 2320 B 916 [1]*,"(Bottom) Chlorophyll Fluorescence RFU Fluorescence, Sonde 916 [1]*","(Bottom) Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde 916 [1]*","Chlorophyll Fluorescence RFU Fluorescence, Sonde 916 [1]*","Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde 916 [1]*",Chlorophyll Volume mL Chlorophyll Volume Filtered 916 [1]*,(Bottom) Specific Conductance µmhos/cm@25°C EPA 120.1 (Field) 916 [1]*,Specific Conductance µmhos/cm@25°C EPA 120.1 (Field) 916 [1]*,Field Notes Notes (Field) 916 [1]*,North Latitude Decimal Degrees GPS Location 916 [1]*,West Longitude Decimal Degrees GPS Location 916 [1]*,Microcystis aeruginosa Field Observations (Water) 916 [1]*,(Bottom) Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) 916 [1]*,(Bottom) Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) 916 [1]*,Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) 916 [1]*,Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) 916 [1]*,Secchi Depth Centimeters Secchi Depth 916 [1]*,(Bottom) Water Temperature °C EPA 170.1 (Field) 916 [1]*,"Air Temperature °F Temperature, Air 916 [1]*",Water Temperature °C EPA 170.1 (Field) 916 [1]*,(Bottom) Turbidity F.N.U. EPA 180.1 (Field) 916 [1]*,Turbidity F.N.U. EPA 180.1 (Field) 916 [1]*,Water Depth at Station Feet Depth of Water Column 916 [1]*,Weather Observations Weather Observations 916 [1]*,Wind Velocity Miles/hr Wind Velocity 916 [1]*,(Bottom) pH pH Units EPA 150.1 (Field) 916 [1]*,pH pH Units EPA 150.1 (Field) 916 [1]*
Blank; Equipment,Blank; Equipment,1/11/2023 20:30,E0123B0001,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05,N/A,N/A,N/A,N/A,N/A,500,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blank; Equipment,Blank; Equipment,1/12/2023 12:10,E0123B0006,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05,N/A,N/A,N/A,N/A,N/A,500,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blank; Equipment,Blank; Equipment,1/13/2023 14:20,E0123B0028,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05,N/A,N/A,N/A,N/A,N/A,500,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blank; Equipment,Blank; Equipment,1/17/2023 15:00,E0123B0050,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<5,<0.05,<0.5,<0.5,<0.1,<0.5,"<0.01,<0.01**",<0.1,<2.5,<2.5,<2.5,"<0.1,<0.1**",<0.05,N/A,N/A,N/A,N/A,N/A,500,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blank; Equipment,Blank; Equipment,1/18/2023 15:00,E0123B0104,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05,N/A,N/A,N/A,N/A,N/A,500,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blank; Equipment,Blank; Equipment,1/19/2023 14:45,E0123B0140,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05,N/A,N/A,N/A,N/A,N/A,500,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blank; Equipment,Blank; Equipment,1/20/2023 15:25,E0123B0182,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05,N/A,N/A,N/A,N/A,N/A,500,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,1/11/2023 14:45,E0123B0004,3 Feet,,Normal Sample,0,63,0.3,N/A,15.3,23.8,4.35,278,0.941,8.8,9.1,1.09,4.25,0.498,15.5,167,144,19.4,1.55,0.296,N/A,1.26,4.96,1.24,4.94,250,272,272,samples collected with a van dorn,,,1,72.2,7.81,72.6,7.86,N/A,11.8,52,11.8,106.3,105.9,11.6,Overcast; ripples to small waves with no white caps; moderate rain,16,7.13,7.19
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,1/11/2023 14:45,E0123B0005,3 Feet,,"Duplicate, Specific Analyte(s)",E0123B0004,62.8,0.299,N/A,15.8,23.8,4.31,277,0.935,8.9,8.8,1.17,4.32,0.493,15.8,165,131,17.8,1.55,0.295,N/A,N/A,N/A,N/A,N/A,250,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C9 - West Canal @ Clifton Court Intake,B9C74981333,1/11/2023 12:45,E0123B0003,3 Feet,,Normal Sample,0,63.7,0.232,N/A,"26.1,26.6**",70.6,1.57,548,2.9,7.8,8.2,0.87,1.59,0.273,"14.3,14.5**",309,"54.9,55.4**","9.7,10.3**",1.15,0.17,N/A,1.09,4.23,1.02,4.27,250,544,550,samples taken 35 minutes off tide,,,1,81.4,9.01,82.4,9.12,N/A,10.79,54,10.81,54.9,53.8,15.9,"overcast; ripples to small waves, no white caps; light rain",15,7.38,7.64
