Station,Date,Time,SampleDescription,FieldNotes,Weather,AirTemp,WindVelocity,WindDirection,NorthLat,WestLong,Chla,Pheophytin,TotAlkalinity,TotAmmonia,DissAmmonia,DissBromide,DissCalcium,TotChloride,DissChloride,DissNitrateNitrite,DOC,TOC,DON,TON,DissOrthophos,TotPhos,DissSilica,TDS,TSS,VSS,TKN,Depth,Secchi,Microcystis,LightExtinction,SpCndSurface,DOSurface,DOpercentSurface,WTSurface,TurbiditySurface,pHSurface,SpCndBottom,DOBottom,DOpercentBottom,WTBottom,TurbidityBottom,pHBottom
C10,1/21/1975,16:00,,,,53.6,,,,,6.48,3.47,,0.12,,,,106,,,,,0.4,0.5,0.09,0.17,15,,,,0.6,,74,,,645,9.8,,10,8,7.5,,,,,,
C10,2/3/1975,15:00,,,,55.4,6,,,,16.98,5.25,,0.14,,,,95,,,,,0.7,0.9,0.08,0.19,11.8,,,,1,,43,,1.21,633,9.9,,11,16,,,,,,,
C10,3/18/1975,11:00,,,,64.4,,,,,9.26,5.79,,0.05,,,,49,,0.72,,,0.4,0.5,0.09,0.15,14,,,,0.5,,38,,1.48,408,9.7,,13,22,7.6,,,,,,
C10,4/1/1975,13:00,,,,66.2,12,,,,14.51,5.87,,0.03,,,,50,,0.71,,,0.5,0.6,0.05,0.14,14,,,,0.6,,33,,1.35,398,9.7,,13,25,7.6,,,,,,
C10,4/18/1975,14:00,,,,71.6,8,,,,21.61,9.07,,0.02,,,,80,,1,,,0.3,0.7,0.1,0.18,17,,,,0.7,,36,,1.02,633,9.4,,15,26,7.4,,,,,,
C10,5/1/1975,14:00,,,,77,4,,,,36.28,15.82,,0.1,,,,121,,1.02,,,0.7,0.9,0.13,0.22,16,,,,1,,30,,0.92,702,8.9,,19,32,7.8,,,,,,
C10,5/15/1975,12:00,,,,71.6,7,,,,41.68,16.21,,,,,,54,,0.47,,,0.4,0.5,0.08,0.15,16,,,,0.5,,36,,1.28,405,9.5,,18,19,7.8,,,,,,
C10,6/3/1975,17:00,,,,91.4,8,,,,23.93,5.6,,,,,,23,,0.94,,,0.4,0.5,0.06,0.15,10,,,,0.5,,28,,0.85,198,8.9,,19,18,7.3,,,,,,
C10,6/17/1975,16:00,,,,75.2,14,,,,11.27,3.9,,,,,,15,,0.32,,,0.3,0.3,0.05,0.1,10,,,,0.3,,36,,,140,8.7,,19,17,7.6,,,,,,
C10,7/1/1975,16:00,,,,78.8,6,,,,74.87,25.28,,,,,,120,,1.22,,,0.5,1,0.09,0.27,16,,,,1,,25,,0.66,736,9.8,,21,32,8.2,,,,,,
C10,7/15/1975,15:00,,,,71.6,8,,,,95.71,31.65,,,,,,59,,1.11,,,0.2,1.2,0.09,0.29,17,,,,1.2,,23,,0.46,778,8.7,,22,50,8.2,,,,,,
C10,8/12/1975,16:00,,,,87.8,,,,,77.19,17.75,,0.03,,,,106,,1.33,,,0.8,1,0.12,0.12,18,,,,1,,,,0.56,733,9.4,,26,48,7.2,,,,,,
C10,8/26/1975,12:00,,,,73.4,2,,,,54.8,20.45,,0.01,,,,104,,1.22,,,0.6,1,0.07,0.24,21,,,,1,,20,,0.75,685,7.3,,25,31,7.7,,,,,,
C10,9/11/1975,14:00,,,,86,6,,,,23.93,8.49,,,,,,71,,0.92,,,0.6,0.7,0.06,0.13,16,,,,0.7,,38,,1.12,471,7.9,,22,19,7.8,,,,,,
C10,9/25/1975,14:00,,,,93.2,3,,,,24.7,8.88,,,,,,49,,0.7,,,0.4,0.4,0.06,0.26,14,,,,0.4,,38,,1.48,379,7.4,,23,19,7.8,,,,,,
C10,10/10/1975,14:00,,,,62.6,,,,,9.11,7.56,,0.03,,,,38,,0.45,,,0.5,0.5,0.05,0.22,15,,,,0.5,,51,,,298,8,,16,11,8,,,,,,
C10,10/23/1975,13:00,,,,66.2,10,,,,9.57,5.48,,,,,,40,,0.42,,,0.4,0.6,0.02,0.18,12,,,,0.6,,74,,1.48,321,8.7,,14,11,7.5,,,,,,
C10,11/25/1975,15:00,,,,69.8,5,,,,5.13,3.77,,0.09,,,,69,,0.74,,,,0.3,0.06,0.09,13,,,,0.4,,66,,1.87,454,9.9,,11,9,7.7,,,,,,
