Station,Date,Time,SampleDescription,Flag,FlagDescription,FieldNotes,Weather,AirTemp,WindVelocity,WindDirection,NorthLat,WestLong,Chla_Sign,Chla,Pheophytin_Sign,Pheophytin,TotAlkalinity_Sign,TotAlkalinity,TotAmmonia_Sign,TotAmmonia,DissAmmonia_Sign,DissAmmonia,DissBromide_Sign,DissBromide,DissCalcium_Sign,DissCalcium,TotChloride_Sign,TotChloride,DissChloride_Sign,DissChloride,DissNitrateNitrite_Sign,DissNitrateNitrite,DOC_Sign,DOC,TOC_Sign,TOC,DON_Sign,DON,TON_Sign,TON,DissOrthophos_Sign,DissOrthophos,TotPhos_Sign,TotPhos,DissSilica_Sign,DissSilica,TDS_Sign,TDS,TSS_Sign,TSS,VSS_Sign,VSS,TKN_Sign,TKN,Depth,Secchi,Microcystis,LightExtinction,SpCndSurface,DOSurface,DOpercentSurface,WTSurface,TurbiditySurface_FNU,TurbiditySurface_NTU,pHSurface,SpCndBottom,DOBottom,DOpercentBottom,WTBottom,TurbidityBottom_FNU,TurbidityBottom_NTU,pHBottom
D10,1975-01-08,13:00:00,NA,NA,NA,NA,NA,53.6,10,NA,NA,NA,=,1.17,=,1.56,=,NA,=,0.09,=,NA,=,NA,=,NA,=,708,=,NA,=,NA,=,NA,=,NA,=,0.3,=,0.37,=,0.07,=,0.11,=,17.6,=,1350,=,59,=,4,=,0.5,NA,33,NA,1.57,2500,11.2,NA,8,NA,3,7.8,NA,NA,NA,NA,NA,3,NA
D10,1975-01-08,13:00:00,NA,NA,NA,NA,NA,53.6,10,NA,NA,NA,=,1.17,=,1.56,=,NA,=,0.09,=,NA,=,NA,=,NA,=,708,=,NA,=,NA,=,NA,=,NA,=,0.3,=,0.37,=,0.07,=,0.11,=,17.6,=,1350,=,40,=,5,=,0.5,NA,33,NA,1.57,2500,11.2,NA,8,NA,3,7.8,NA,NA,NA,NA,NA,3,NA
D10,1975-01-08,13:00:00,NA,NA,NA,NA,NA,53.6,10,NA,NA,NA,=,1.17,=,1.56,=,NA,=,0.09,=,NA,=,NA,=,NA,=,708,=,NA,=,NA,=,NA,=,NA,=,0.3,=,0.37,=,0.07,=,0.11,=,17.6,=,1350,=,40,=,4,=,0.5,NA,33,NA,1.57,2500,11.2,NA,8,NA,3,7.8,NA,NA,NA,NA,NA,3,NA
D10,1975-02-06,13:00:00,NA,NA,NA,NA,NA,48.2,10,NA,NA,NA,=,2.1,=,1.65,=,NA,=,0.08,=,NA,=,NA,=,NA,=,85,=,NA,=,NA,=,NA,=,NA,=,0.3,=,0.4,=,0.07,=,0.12,=,18,=,240,=,30,=,8,=,0.5,NA,38,NA,1.41,433,10.8,NA,8,NA,3.1,7.8,NA,NA,NA,NA,NA,3.9,NA
D10,1975-02-06,13:00:00,NA,NA,NA,NA,NA,48.2,10,NA,NA,NA,=,2.1,=,1.65,=,NA,=,0.08,=,NA,=,NA,=,NA,=,85,=,NA,=,NA,=,NA,=,NA,=,0.3,=,0.4,=,0.07,=,0.12,=,18,=,240,=,54,=,6,=,0.5,NA,38,NA,1.41,433,10.8,NA,8,NA,3.1,7.8,NA,NA,NA,NA,NA,3.9,NA
D10,1975-02-06,13:00:00,NA,NA,NA,NA,NA,48.2,10,NA,NA,NA,=,2.1,=,1.65,=,NA,=,0.08,=,NA,=,NA,=,NA,=,85,=,NA,=,NA,=,NA,=,NA,=,0.3,=,0.4,=,0.07,=,0.12,=,18,=,240,=,54,=,8,=,0.5,NA,38,NA,1.41,433,10.8,NA,8,NA,3.1,7.8,NA,NA,NA,NA,NA,3.9,NA
D10,1975-03-20,10:00:00,NA,NA,NA,NA,NA,50,6,NA,NA,NA,=,1.48,=,0.93,=,NA,=,0.02,=,NA,=,NA,=,NA,=,14,=,NA,=,0.28,=,NA,=,NA,=,0.1,=,0.1,=,0.06,=,0.12,=,18.2,=,118,=,70,=,8,=,0.1,NA,20,NA,0.95,199,9.9,NA,11,NA,4.2,7.7,NA,NA,NA,NA,NA,6.2,NA
D10,1975-03-20,10:00:00,NA,NA,NA,NA,NA,50,6,NA,NA,NA,=,1.48,=,0.93,=,NA,=,0.02,=,NA,=,NA,=,NA,=,14,=,NA,=,0.28,=,NA,=,NA,=,0.1,=,0.1,=,0.06,=,0.12,=,18.2,=,118,=,66,=,6,=,0.1,NA,20,NA,0.95,199,9.9,NA,11,NA,4.2,7.7,NA,NA,NA,NA,NA,6.2,NA
D10,1975-03-20,10:00:00,NA,NA,NA,NA,NA,50,6,NA,NA,NA,=,1.48,=,0.93,=,NA,=,0.02,=,NA,=,NA,=,NA,=,14,=,NA,=,0.28,=,NA,=,NA,=,0.1,=,0.1,=,0.06,=,0.12,=,18.2,=,118,=,66,=,8,=,0.1,NA,20,NA,0.95,199,9.9,NA,11,NA,4.2,7.7,NA,NA,NA,NA,NA,6.2,NA
D10,1975-04-03,11:00:00,NA,NA,NA,NA,NA,53.6,8,NA,NA,NA,=,1.79,=,0.94,=,NA,=,NA,=,NA,=,NA,=,NA,=,12,=,NA,=,0.24,=,NA,=,NA,=,0.2,=,0.3,=,0.04,=,0.13,=,17,=,111,=,110,=,8,=,0.3,NA,18,NA,0.69,181,10.1,NA,12,NA,4.5,7.8,NA,NA,NA,NA,NA,4.1,NA
