Station,Date,ResultPrefix_Organic Nitrogen (Total),ResultPrefix_TSS,ResultPrefix_VSS,ResultPrefix_Organic Nitrogen (Dissolved),ResultPrefix_TDS,ResultPrefix_Kjeldahl Nitrogen (Total),ResultPrefix_Pheophytin a,ResultPrefix_Ortho-phosphate (Dissolved),ResultPrefix_Chloride (Total),ResultPrefix_Silica (SiO2) (Dissolved),ResultPrefix_Chlorophyll a,ResultPrefix_Ammonia (Total),ResultPrefix_Nitrite + Nitrate (Dissolved),ResultPrefix_Ammonia (Dissolved),ResultPrefix_Chloride (Dissolved),Result_Organic Nitrogen (Total),Result_TDS,Result_TSS,Result_VSS,Result_Organic Nitrogen (Dissolved),Result_Kjeldahl Nitrogen (Total),Result_Pheophytin a,Result_Ortho-phosphate (Dissolved),Result_Chloride (Total),Result_Silica (SiO2) (Dissolved),Result_Chlorophyll a,Result_Ammonia (Total),Result_Nitrite + Nitrate (Dissolved),Result_Ammonia (Dissolved),Result_Chloride (Dissolved),ReportingLimit_Organic Nitrogen (Total),ReportingLimit_TSS,ReportingLimit_VSS,ReportingLimit_Organic Nitrogen (Dissolved),ReportingLimit_TDS,ReportingLimit_Kjeldahl Nitrogen (Total),ReportingLimit_Pheophytin a,ReportingLimit_Ortho-phosphate (Dissolved),ReportingLimit_Chloride (Total),ReportingLimit_Silica (SiO2) (Dissolved),ReportingLimit_Chlorophyll a,ReportingLimit_Ammonia (Total),ReportingLimit_Nitrite + Nitrate (Dissolved),ReportingLimit_Ammonia (Dissolved),ReportingLimit_Chloride (Dissolved),UnitName_Organic Nitrogen (Total),UnitName_TSS,UnitName_VSS,UnitName_Organic Nitrogen (Dissolved),UnitName_TDS,UnitName_Kjeldahl Nitrogen (Total),UnitName_Pheophytin a,UnitName_Ortho-phosphate (Dissolved),UnitName_Chloride (Total),UnitName_Silica (SiO2) (Dissolved),UnitName_Chlorophyll a,UnitName_Ammonia (Total),UnitName_Nitrite + Nitrate (Dissolved),UnitName_Ammonia (Dissolved),UnitName_Chloride (Dissolved),
D19,1/7/1975,=,=,=,=,NA,=,=,=,=,=,=,=,NA,NA,NA,0.25,NA,17,1,0.2,0.3,0.77,0.06,17,17.8,1.17,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D16,1/7/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.23,122,21,2,0.2,0.3,0.6,0.07,12,17.6,1.11,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D15,1/7/1975,=,=,=,=,=,=,=,NA,=,=,=,=,NA,NA,NA,0.24,136,18,3,0.2,0.3,0.93,NA,22,18,1.11,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,NA,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D11,1/7/1975,=,=,=,=,NA,=,=,=,=,=,=,=,NA,NA,NA,0.27,NA,19,1,0.2,0.3,0.94,0.07,25,18.4,1.24,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D22,1/7/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.36,115,21,4,0.3,0.4,0.76,0.06,13,17.4,0.86,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D24,1/7/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.12,109,16,2,0.1,0.2,0.57,0.07,9,18.4,1.05,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D4,1/7/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.39,196,28,3,0.3,0.5,1.22,0.07,57,18.4,1.05,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D26,1/7/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.22,121,18,3,0.2,0.3,0.48,0.06,14,18,1.24,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D12,1/8/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.17,156,40,6,0.1,0.2,0.91,0.07,40,18,0.99,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D10,1/8/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.37,1350,40,4,0.3,0.5,1.56,0.07,708,17.6,1.17,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D14A,1/8/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.32,139,38,7,0.2,0.4,1.51,0.07,28,17.6,1.36,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D2,1/8/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.3,7300,34,6,0.2,0.4,1.24,0.08,4060,14.2,1.36,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D9,1/8/1975,=,=,=,=,NA,=,=,=,=,=,=,=,NA,NA,NA,0.27,NA,40,3,0.2,0.4,1.84,0.07,505,18,1.17,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D7,1/8/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.34,4720,47,6,0.3,0.5,2.19,0.08,2640,15.8,1.24,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D6,1/8/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.1,12300,29,4,0.1,0.2,1.08,0.09,6040,11,0.86,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D8,1/8/1975,=,=,=,=,NA,=,=,=,=,=,=,=,NA,NA,NA,0.34,NA,44,4,0.3,0.5,2.21,0.08,2080,16.2,1.17,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
C7,1/21/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.38,338,16,4,0.2,0.5,3.32,0.08,99,13,6.18,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
C10,1/21/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.5,376,32,12,0.4,0.6,3.47,0.09,106,15,6.48,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
MD10,1/21/1975,=,=,=,=,NA,=,=,=,=,=,=,=,NA,NA,NA,0.78,NA,29,6,0.7,0.9,2.73,0.17,45,22.8,3.15,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
P2,1/21/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.23,65,19,4,0.2,0.2,0.8,0.01,5,15,0.86,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
C3,1/22/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.46,120,28,2,0.4,0.6,0.88,0.08,12,19,2.22,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
C9,1/22/1975,=,=,=,=,=,=,=,=,=,NA,=,=,NA,NA,NA,0.79,247,30,4,0.7,0.9,2.38,0.08,61,NA,1.61,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,NA,µg/L,mg/L as N,NA,NA,NA,
P12,1/22/1975,=,=,=,=,NA,=,=,=,=,=,=,=,NA,NA,NA,0.6,NA,16,1,0.5,0.8,3.84,0.12,99,13.2,5,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
C10,2/3/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.9,376,40,5,0.7,1,5.25,0.08,95,11.8,16.98,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
C7,2/3/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.66,317,28,8,0.5,0.7,5.87,0.07,85,13.8,13.59,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
MD10,2/3/1975,=,=,=,=,NA,=,=,=,=,=,=,=,NA,NA,NA,0.75,NA,32,4,0.6,1,3.32,0.15,55,17.4,7.1,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
P8,2/3/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.76,298,14,8,0.6,0.9,8.8,0.13,75,12.2,20.38,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
D28A,2/3/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.67,142,19,2,0.6,0.8,1.48,0.06,24,18.4,1.85,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
P2,2/3/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,1.43,98,170,18,1.1,1.5,4.82,0.03,7,10.6,3.71,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
C3,2/4/1975,=,=,=,NA,=,=,=,=,=,=,=,=,NA,NA,NA,1.39,62,149,22,NA,1.5,2.66,0.07,6,12.2,3.46,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,NA,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
C9,2/4/1975,=,=,=,=,=,=,=,=,=,=,=,=,NA,NA,NA,0.81,206,32,3,0.1,0.9,1.88,0.07,40,17.8,2.28,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,mg/L,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
MD7,2/4/1975,=,=,=,=,NA,=,=,=,=,=,=,=,NA,NA,NA,0.42,NA,18,1,0.4,0.6,1.05,0.07,9,18,1.91,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/L as N,mg/L,mg/L,mg/L as N,NA,mg/L as N,µg/L,mg/L as P,mg/L,mg/L,µg/L,mg/L as N,NA,NA,NA,
