"","overall","join-sac","join-sjr","sac-sjr"
"Secchi",6.29057624955286e-06,0.0219970087111414,3.13759786163548e-06,0.00419189346909932
"DissNitrateNitrite",0.520234678122941,0.549282872854134,0.989845871492063,0.644942427090642
"TurbiditySurface",7.72766715005525e-05,0.0211742962948943,4.10969046580334e-05,0.0274890348784806
"TurbidityBottom",0.000305642497211305,0.0787076557322604,0.000175102877028377,0.0371253000045724
"pHSurface",0.577003826014149,0.546436237925959,0.836907379899628,0.893399455551166
"pHBottom",0.0467604473238722,0.124914752979897,0.0641940378618399,0.925575203003036
"Chla",0.66198463955025,0.635108159920867,0.890903038078651,0.905873208052738
"Depth",5.05641751351066e-10,7.41526062775222e-10,0.150086466498929,1.52470161596252e-06
"DissAmmonia",0.309118270052264,0.990432286723564,0.350901794533191,0.371056394766693
"DissSilica",0.0580894898427134,0.618956346760795,0.310399701065448,0.0459013761785996
"DissOrthophos",0.00300790753632884,0.0103393459888271,0.00524259227141977,0.907389636400877
