"","Station","Date","Time","SampleDescription","WindDirection","TotAlkalinity","DissAmmonia","DissBromide","DissCalcium","DissChloride","Chla","DissNitrateNitrite","DOC","TOC","DON","Pheophytin","TotPhos","DissSilica","TDS","TSS","VSS","TKN","DissOrthophos","TotAmmonia","TotChloride","TON","SpCndBottom","SpCndSurface","FieldNotes","north_lat","west_long","Microcystis","DOpercentBottom","DOBottom","DOpercentSurface","DOSurface","Secchi","WTBottom","AirTemp","WTSurface","TurbidityBottom","TurbiditySurface","Depth","Weather","WindVelocity","pHBottom","pHSurface","LightExtinction","river_km","location","loc_num"
"1","EZ2",2014-06-06,"10:50","",NA,NA,0.07,NA,23,419,2.55,0.51,3.9,2.8,0.3,1.4,0.12,16.2,934,20,2,0.5,0.07,NA,NA,NA,NA,1692,"*microcystis present. added lat/long",38.1125,-121.7081,NA,NA,NA,NA,8,44,NA,NA,21.6,NA,15.5,28.1,"mostly sunny and clear, cool with med. Wind",12,NA,7.9,NA,86.8441925,"sac",2
"2","EZ2",2014-07-07,"13:15","",NA,NA,0.03,NA,18,325,2.9,0.42,2,2.2,0.2,0.98,0.12,16.5,710,21,3,0.4,0.08,NA,NA,NA,NA,1344,"microcystis. added lat/long",38.1012,-121.726,NA,NA,NA,NA,7.85,64,NA,NA,23.8,NA,19.9,30.5,"overcast, cool,light wind (3-4 mph)",NA,NA,7.9,NA,84.78090668,"sac",2
"3","EZ2",2014-08-19,"13:30","",NA,NA,0.02,NA,22,478,2.9,0.31,1.7,1.8,0.2,1.72,0.11,15,1059,22,3,0.3,0.07,NA,NA,NA,NA,1921,"microcystis (2). added lat/long",38.1082,-121.7164,NA,NA,NA,NA,8.05,40,NA,NA,22.3,NA,15.4,33.7,"mostly sunny and warm with strong winds (18-20 mph)",NA,NA,8.1,NA,85.91680908,"sac",2
"4","EZ2",2014-09-18,"14:00","",NA,NA,0.04,NA,21,375,4.88,0.39,2.3,2.3,0.1,1.65,0.11,17.8,825,16,3,0.3,0.09,NA,NA,NA,NA,1719,NA,38.1231,-121.6987,NA,NA,NA,NA,7.75,60,NA,NA,22.5,NA,13.7,32,"overcast, hot, and humid with light winds (9-10 mph)",NA,NA,7.8,NA,88.09857178,"sac",2
"5","EZ2",2014-10-03,"13:20","",NA,NA,0.1,NA,19,317,4.33,0.39,2.1,2.1,0.2,0.8,0.1,18.4,729,10,1,0.3,0.09,NA,NA,NA,NA,1664,"EZ2 tow ended @ RVRS station near Rio Vista. added lat/long",38.1341,-121.6943,NA,NA,NA,NA,7.7,76,NA,NA,21.7,NA,8.8,32.2,"mostly sunny and warm with light breeze ",3,NA,7.8,NA,89.45168304,"sac",2
"6","EZ2",2014-11-14,"12:05","",NA,NA,0.1,NA,19,357,2.49,0.6,1.9,1.9,0.1,0.64,0.1,18,765,12,1,0.3,0.08,NA,NA,NA,NA,1460,NA,38.1311,-121.6951,NA,NA,NA,NA,8.3,60,NA,NA,17,NA,10.6,33.8,"Partly cloudy and cool with light winds, MC=2",7,NA,7.6,NA,89.02214813,"sac",2
"7","EZ2",2014-12-17,"12:10","",NA,NA,0.16,NA,18,309,1.28,0.62,5.4,6,0.5,1.2,0.14,18.6,672,68,8,0.9,0.07,NA,NA,NA,NA,1276,NA,38.0556,-121.8762,NA,NA,NA,NA,8,16,NA,NA,12.7,NA,80.8,58.3,"Overcast and cool with light winds (6-7 mph)",NA,NA,7.4,NA,70.10858917,"joined",3
"8","EZ2",2015-01-16,"14:10","",NA,NA,0.21,NA,24,315,0.56,0.66,3.7,3.8,0.4,1.39,0.13,21.3,750,24,3,0.8,0.09,NA,NA,NA,NA,1464,NA,38.0845,-121.7391,NA,NA,NA,NA,9.6,35,NA,NA,9.8,NA,31.2,29.8,"overcast and cool",NA,NA,7.6,NA,82.83917236,"sac",2
"9","EZ2",2015-02-13,"10:55","",NA,NA,0.25,NA,24,273,1.6,0.58,3.4,3.9,0.3,1.27,0.13,20.7,707,31,3,0.8,0.07,NA,NA,NA,NA,1142,NA,38.0625,-121.8565,NA,NA,NA,NA,8.6,28,NA,NA,13.7,NA,36.3,60.6,"mostly sunny and clear, light wind (6-7 mph)",NA,NA,7.6,NA,71.8960495,"joined",3
"10","EZ2",2015-03-13,"10:00","",NA,NA,0.13,NA,26,393,9.22,0.46,3.2,3.6,0.3,0.5,0.15,18.2,892,30,4,0.7,0.07,NA,NA,NA,NA,1551,"Corrected lat/long to station D22/NZ064.",38.0845,-121.7391,NA,NA,NA,NA,9,32,NA,60,15.7,NA,26,30.5,"Sunny and calm with light winds",NA,NA,7.8,NA,82.83917236,"sac",2
