Station,RL_count,Chla_Sign,Pheophytin_Sign,TotAlkalinity_Sign,TotAmmonia_Sign,DissAmmonia_Sign,DissBromide_Sign,DissCalcium_Sign,TotChloride_Sign,DissChloride_Sign,DissNitrateNitrite_Sign,DOC_Sign,TOC_Sign,DON_Sign,TON_Sign,DissOrthophos_Sign,TotPhos_Sign,DissSilica_Sign,TDS_Sign,TSS_Sign,VSS_Sign,TKN_Sign
NZS42,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D4,4,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
D7,5,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
D10,6,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NZ004,6,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
D22,7,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
D41A,7,0,2,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
NZ002,7,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
NZ032,7,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D6,8,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
D8,8,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
NZ325,8,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
D12,9,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0
D41,10,0,3,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0
D26,16,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
NZ068,16,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
P8,16,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0
C9,18,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
D16,18,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
D19,19,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,1,9,0
D28A,19,1,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9,0
C10A,26,0,0,0,0,10,0,0,0,0,0,0,0,1,0,7,0,0,0,0,8,0
MD10A,27,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,5,10,0
C3A,39,3,5,0,0,7,4,0,0,0,0,0,0,3,0,3,0,0,0,4,10,0
