Location ID,Date
D24-L,2008-02-06
D41A-C,2008-11-12
D41-C,2008-11-12
D6-R,2008-11-12
D7-C,2008-11-12
D4-L,2008-11-12
D24-L,2008-11-12
D16-L,2008-11-13
D28A-L,2008-11-13
C9-L,2008-11-13
P8-R,2008-11-13
P8-R,2008-05-27
C3-L,1977-10-18
P8-L,1975-06-02
D7-C,1995-12-28
D4-R,1985-07-14
D14A-R,1979-09-17
P8-R,1975-10-10
D7-L,1979-05-30
D11-C,1988-04-28
D7-C,1996-06-24
C3-R,1979-09-18
D19-L,1979-06-13
D41A-C,1988-01-12
D28A-R,1989-04-15
D4-L,1996-06-24
C7-R,1978-10-05
D7-R,1979-05-30
P8-L,1976-10-05
D14A-R,1978-10-05
D6-L,1975-10-08
D19-C,1989-03-15
D41A-C,1987-07-23
D28A-L,1976-03-05
D28A-L,1978-06-08
D41A-C,1988-03-14
D6-R,1996-06-24
C7-L,1975-10-10
MD7-L,1976-06-09
D41A-C,1987-11-10
D28A-L,1975-06-02
D41A-C,1987-09-28
D4-R,1976-02-18
MD7-R,1976-06-09
D19-R,1979-09-18
D8-C,1975-10-08
D19-C,1988-04-28
D11-C,1987-06-09
MD7-L,1975-06-02
D7-C,1989-04-15
D26-R,1975-06-02
P8-L,1976-03-05
MD6-L,1979-09-18
D28A-L,1985-07-14
D9-R,1979-09-17
D28A-L,1989-03-15
C3-L,1979-09-18
D14A-L,1978-10-05
D7-C,1989-03-15
D10-R,1976-02-18
D14A-L,1976-06-10
D7-R,1978-10-04
D14A-L,1978-06-12
D28A-R,1977-03-02
D41A-C,1989-09-08
D14A-L,1977-06-01
D10-R,1975-05-29
D14A-L,1975-05-30
C7-R,1976-06-11
P8-R,1977-03-02
D6-R,1978-06-09
D10-L,1975-10-07
D4-L,1986-12-15
MD6-R,1978-10-03
D19-R,1977-10-12
D7-C,1985-07-14
D16-L,1976-02-17
D28A-R,1986-12-15
D28A-R,1976-03-05
D4-C,1989-04-15
MD6-L,1976-03-02
D26-R,1977-03-03
MD6-R,1977-10-11
MD7-R,1978-10-04
C3-R,1975-10-17
D4-R,1975-05-30
D7-R,1979-09-17
D16-C,1996-06-24
D7-L,1978-10-04
D41A-C,1975-09-01
C3-R,1977-06-03
C3-R,1977-10-18
P8-R,1977-10-11
P8-R,1977-06-02
C3-L,1976-06-11
MD6-L,1978-10-04
D26-R,1976-10-06
D41A-C,1991-04-24
C3-R,1976-03-03
MD6-R,1975-06-02
D4-L,1975-05-30
D4-L,1976-02-18
D4-R,1986-12-15
D41A-C,1988-09-13
D4-L,1988-04-28
D26-L,1975-06-02
D26-L,1977-03-03
D28A-L,1989-04-15
C7-L,1978-06-09
D24-L,1996-06-24
D11-C,1985-07-14
D28A-L,1986-12-15
D26-L,1975-10-10
D41A-C,1991-02-22
D4-C,1988-10-21
P8-L,1977-10-11
D41A-C,1990-10-25
D28A-R,1978-10-03
D28A-R,1978-06-08
D28A-L,1978-10-03
MD6-R,1979-05-30
D41A-C,1989-01-31
D4-R,1976-06-11
D41A-C,1988-11-01
D6-R,1978-10-04
D4-R,1989-03-15
D9-R,1979-05-30
MD6-L,1977-06-02
C7-R,1975-10-10
D11-L,1978-10-05
MD6-R,1976-03-02
D26-R,1975-10-10
MD6-L,1977-10-11
MD7-R,1977-03-02
MD6-R,1975-10-10
D4-L,2006-03-16
D28A-R,1976-06-09
P8-L,1977-03-02
D19-R,1979-06-13
D19-C,1985-07-14
D10-R,1975-10-07
D7-R,1978-06-09
P8-L,1977-06-02
D41A-C,1990-03-22
D6-R,1976-10-07
D41A-C,1991-06-07
D41A-C,1988-05-31
D28A-R,1976-10-05
MD6-L,1975-10-10
D41A-C,1988-07-25
D4-C,1986-12-15
MD6-R,1978-06-08
D41-C,1996-06-24
D11-R,1979-09-17
MD7-L,1978-10-03
D14A-R,1979-06-13
D41A-C,1987-06-08
D4-C,1985-07-14
D4-R,1975-10-07
D14A-R,1978-06-12
D28A-R,1975-06-02
C7-L,1975-06-10
MD7-L,1976-10-05
P8-R,1976-06-09
MD7-R,1975-06-02
D4-C,1989-03-15
D11-C,1989-03-15
D6-L,1975-05-29
MD6-R,1979-09-18
MD6-L,1975-06-02
C3-C,1979-06-02
D4-L,1989-04-15
D10-L,1975-05-29
D6-L,1978-06-09
C3-L,1976-03-03
D7-L,1979-09-17
MD7-L,1975-10-10
P8-L,1976-06-09
C7-R,1975-06-10
D4-C,1988-04-28
D19-L,1977-10-12
D28A-L,1976-10-05
D41A-C,1987-03-12
D4-L,1976-10-07
D11-R,1979-06-13
D41A-C,1986-09-18
D19-C,1987-06-09
D6-C,1977-06-01
MD7-R,1976-10-05
P8-R,1975-06-02
D28A-R,1989-03-15
MD7-R,1976-03-02
C3-R,1976-06-11
D4-L,1985-07-14
D6-R,1975-10-08
D28A-L,1977-03-02
D28A-R,1985-07-14
D6-L,1978-10-04
D19-C,1989-04-15
D6-C,1975-10-08
MD6-R,1977-06-02
C3-L,1975-10-17
D4-L,1976-06-11
D28A-L,1976-06-09
D14A-R,1976-06-10
D11-R,1978-10-05
D41A-C,1989-07-13
D41A-C,1990-08-29
D4-R,1977-03-04
D26-L,1976-10-06
D41A-C,1990-01-19
MD7-R,1975-10-10
C7-L,1976-03-05
D41A-C,1996-06-24
D14A-L,1976-02-17
P8-R,1976-10-05
MD7-L,1977-03-02
MD6-L,1979-05-30
C3-L,1977-06-03
D14A-L,1979-06-13
C7-R,1976-03-05
D16-L,1975-05-30
D41A-C,1976-09-02
D19-L,1979-09-18
D14A-L,1979-09-18
D4-L,1989-03-15
D11-C,1989-04-15
D6-R,1975-05-29
D41A-C,1990-05-31
D41A-C,1989-03-21
D6-R,1977-06-01
D41A-C,1989-11-09
MD6-L,1977-06-08
MD7-L,1976-03-02
D26-R,1976-03-05
D4-R,1989-04-15
C7-L,1978-10-05
D14A-R,1975-05-30
C7-R,1978-06-09
D4-R,1976-10-07
D28A-L,1975-10-10
D10-L,1976-02-18
D41A-C,2009-04-01
D41-C,2009-04-01
D16-L,2009-08-01
D28A-L,2009-08-01
C9-L,2009-08-01
P8-R,2009-08-01
D41A-C,2009-12-01
D41-C,2009-12-01
D6-R,2009-12-01
D7-C,2009-12-01
D4-L,2009-12-01
D24-L,2009-12-01
D16-L,2009-12-01
D28A-L,2009-12-01
C9-L,2009-12-01
P8-R,2009-12-01
D41A-C,2009-02-01
D41-C,2009-02-01
D6-R,2009-02-01
D7-C,2009-02-01
D4-L,2009-02-01
D24-L,2009-02-01
D16-L,2009-02-01
D28A-L,2009-02-01
C9-L,2009-02-01
P8-R,2009-02-01
D41A-C,2009-01-01
D41-C,2009-01-01
D6-R,2009-01-01
D7-C,2009-01-01
C9-L,2009-07-01
P8-R,2009-07-01
D41A-C,2009-06-01
D41-C,2009-06-01
D6-R,2009-06-01
D7-C,2009-06-01
D4-L,2009-06-01
D24-L,2009-06-01
D16-L,2009-06-01
D28A-L,2009-06-01
C9-L,2009-06-01
P8-R,2009-06-01
D41A-C,2009-03-01
D41-C,2009-03-01
D6-R,2009-03-01
D7-C,2009-03-01
D4-L,2009-03-01
D24-L,2009-03-01
D16-L,2009-03-01
D28A-L,2009-03-01
C9-L,2009-03-01
P8-R,2009-03-01
D41A-C,2009-05-01
D41-C,2009-05-01
D6-R,2009-05-01
D7-C,2009-05-01
D4-L,2009-05-01
D24-L,2009-05-01
D16-L,2009-05-01
D28A-L,2009-05-01
C9-L,2009-05-01
P8-R,2009-05-01
D41A-C,2009-11-01
D41-C,2009-11-01
D6-R,2009-11-01
D7-C,2009-11-01
D4-L,2009-11-01
D24-L,2009-11-01
D16-L,2009-11-01
D28A-L,2009-11-01
C9-L,2009-11-01
P8-R,2009-11-01
D4-L,2009-09-01
D24-L,2009-09-01
D16-L,2009-09-01
D28A-L,2009-09-01
C9-L,2009-09-01
P8-R,2009-09-01
D6-R,2009-04-01
D7-C,2009-04-01
D4-L,2009-04-01
D24-L,2009-04-01
D16-L,2009-04-01
D28A-L,2009-04-01
C9-L,2009-04-01
P8-R,2009-04-01
D41A-C,2009-08-01
D41-C,2009-08-01
D6-R,2009-08-01
D7-C,2009-08-01
D4-L,2009-08-01
D24-L,2009-08-01
D4-L,2009-01-01
D24-L,2009-01-01
D16-L,2009-01-01
D28A-L,2009-01-01
C9-L,2009-01-01
P8-R,2009-01-01
D41A-C,2009-07-01
D41-C,2009-07-01
D6-R,2009-07-01
D7-C,2009-07-01
D4-L,2009-07-01
D24-L,2009-07-01
D16-L,2009-07-01
D28A-L,2009-07-01
D41A-C,2009-10-01
D41-C,2009-10-01
D6-R,2009-10-01
D7-C,2009-10-01
D4-L,2009-10-01
D24-L,2009-10-01
D16-L,2009-10-01
D28A-L,2009-10-01
C9-L,2009-10-01
P8-R,2009-10-01
D41A-C,2009-09-01
D41-C,2009-09-01
D6-R,2009-09-01
D7-C,2009-09-01
D41A-C,2010-05-17
D41-C,2010-05-17
D6-R,2010-05-17
D7-C,2010-05-17
D4-L,2010-05-18
D24-L,2010-05-18
D16-L,2010-05-19
D28A-L,2010-05-19
C9-L,2010-05-20
P8-R,2010-05-19
D24-L,2010-07-06
D16-L,2010-11-23
D4-L,2010-10-25
D28A-L,2010-10-26
C9-L,2010-10-26
D41A-C,2010-02-25
D41-C,2010-02-25
D6-R,2010-02-25
D7-C,2010-02-25
D4-L,2010-02-25
D24-L,2010-02-26
D16-L,2010-02-26
D28A-L,2010-02-26
C9-L,2010-02-26
P8-R,2010-02-26
D24-L,2010-09-07
P8-R,2010-10-26
D6-R,2011-08-08
D4-L,2011-08-08
D4-L,2011-05-02
D28A-L,2011-05-03
C9-L,2011-05-03
P8-R,2011-05-03
D16-L,2011-07-12
D41-C,2011-08-08
D41A-C,2011-08-08
D7-C,2011-08-08
D24-L,2011-08-09
D16-L,2011-08-09
D28A-L,2011-08-09
C9-L,2011-08-09
P8-R,2011-08-09
D4-L,2011-09-08
D24-L,2011-10-03
D28A-L,2011-10-04
C9-L,2011-10-04
D28A-L,2011-11-09
C9-L,2011-11-09
P8-R,2011-11-09
D41A-C,2011-12-07
D41-C,2011-12-07
D6-R,2011-12-07
D24-L,2011-12-08
D16-L,2011-12-08
D28A-L,2011-12-08
C9-L,2011-12-08
P8-R,2011-12-08
D24-L,2012-03-07
D4-L,2012-04-06
D24-L,2012-04-06
D16-L,2012-04-06
D28A-L,2012-04-06
C9-L,2012-04-06
P8-R,2012-04-06
D41A-C,2012-05-21
D41-C,2012-05-21
D6-R,2012-05-21
D7-C,2012-05-21
D4-L,2012-05-21
D41-C,2012-08-25
D41A-C,2012-10-22
