station,month,year,species,number,intercept,slope
1,May,2007,Corbicula fluminea,7,-4.45445978796246,2.68472973437218
1,May,2008,Corbicula fluminea,8,-4.09730167578136,2.35762282834543
1,May,2009,Corbicula fluminea,13,-4.90511147563334,3.08505967866773
1,May,2011,Corbicula fluminea,17,-4.18393927356274,2.42909289406856
1,May,2012,Corbicula fluminea,20,-4.14891505436897,2.30756382969093
1,May,2014,Corbicula fluminea,14,-4.78164447691249,2.87304648008182
1,May,2015,Corbicula fluminea,11,-4.18231383812913,2.44170329996936
1,May,2017,Corbicula fluminea,17,-4.33837839454921,2.62960925880191
1,May,2018,Corbicula fluminea,17,-4.2120431108631,2.40504212181289
1,May,2019,Corbicula fluminea,12,-4.16029741160146,2.30223547619107
1,October,2008,Corbicula fluminea,10,-3.38828861358714,1.78520209941543
1,October,2009,Corbicula fluminea,7,-3.98757347891568,2.24512501565024
1,October,2010,Corbicula fluminea,9,-4.0783642921121,2.25088932967953
1,October,2011,Corbicula fluminea,10,-4.04940684284373,2.2444933150345
1,October,2012,Corbicula fluminea,10,-4.33166293541667,2.43878523241107
1,October,2014,Corbicula fluminea,5,-3.54416063298101,1.83841836726185
1,October,2015,Corbicula fluminea,11,-3.91666695572867,2.25870304776977
1,October,2017,Corbicula fluminea,8,-3.80416977475109,2.11187943374901
1,October,2018,Corbicula fluminea,10,-3.98300503495365,2.22705206382822
10,May,2007,Corbicula fluminea,11,-4.2816537754219,2.32939991945799
10,May,2009,Corbicula fluminea,13,-4.19888351390279,2.27607687767841
10,May,2010,Corbicula fluminea,7,-3.94146555351003,2.06404794204364
10,May,2011,Corbicula fluminea,6,-3.73796145761247,1.6097777387445
10,May,2012,Corbicula fluminea,6,-3.96598780564187,2.02665228344834
10,May,2015,Corbicula fluminea,6,-3.82930365177869,1.65198363058692
10,May,2019,Corbicula fluminea,5,-4.55940494040633,2.66364727686483
10,October,2008,Corbicula fluminea,11,-3.9352407553139,2.0209791709092
10,October,2009,Corbicula fluminea,6,-3.98093316920119,2.05795573536074
10,October,2010,Corbicula fluminea,9,-3.81801752178334,1.88075047045397
10,October,2011,Corbicula fluminea,6,-3.74764551941159,1.89364377961846
10,October,2014,Corbicula fluminea,6,-4.02129856994113,2.18407398693349
10,October,2015,Corbicula fluminea,5,-3.85250165450103,1.9087321867636
103,May,2009,Corbicula fluminea,12,-4.1358663455411,2.26510874156997
11,August,2011,Potamocorbula amurensis,7,-4.55058634057271,2.52698179288266
11,May,2007,Potamocorbula amurensis,9,-3.95538576729873,1.73632146114799
11,May,2008,Potamocorbula amurensis,6,-3.66224896135229,1.26953139073152
11,May,2009,Potamocorbula amurensis,10,-4.05375481311547,1.89506923250348
11,May,2010,Potamocorbula amurensis,15,-3.85342798343047,1.75932657915445
11,May,2011,Potamocorbula amurensis,16,-3.99000816504989,1.96688572975146
11,May,2012,Corbicula fluminea,5,-3.76379670550306,1.85942968144342
11,May,2012,Potamocorbula amurensis,16,-4.37921931166966,2.36872750198841
11,May,2014,Corbicula fluminea,5,-4.93148309127184,3.09954723592413
11,May,2014,Potamocorbula amurensis,20,-4.1548283298161,2.02556112782802
11,May,2015,Corbicula fluminea,5,-5.84553174636178,3.85373316041386
11,May,2015,Potamocorbula amurensis,16,-3.94058111948341,1.87903221214837
11,May,2018,Corbicula fluminea,12,-4.65612272225589,2.93825714124198
11,May,2018,Potamocorbula amurensis,17,-4.33704431182507,2.26440043928365
11,May,2019,Corbicula fluminea,10,-5.35186827407671,3.45456031455834
11,May,2019,Potamocorbula amurensis,14,-4.40239241108356,2.33833302635344
11,October,2007,Potamocorbula amurensis,6,-3.78242441447948,1.34420377371049
11,October,2008,Potamocorbula amurensis,15,-3.90827227392211,1.84728183675039
11,October,2009,Potamocorbula amurensis,17,-3.95062697471822,1.83793213465549
11,October,2010,Potamocorbula amurensis,19,-4.07197946735522,2.0365215311855
11,October,2011,Corbicula fluminea,5,-4.75648643177934,2.91621303414482
11,October,2011,Potamocorbula amurensis,16,-3.98485538388483,1.72998428364673
11,October,2012,Corbicula fluminea,5,-4.67265866072181,2.75398135053414
11,October,2012,Potamocorbula amurensis,19,-3.99558585506835,1.96232636414914
11,October,2014,Corbicula fluminea,6,-4.67702333395923,2.74084816039982
11,October,2014,Potamocorbula amurensis,21,-4.23459021020236,2.12205224334868
11,October,2015,Potamocorbula amurensis,17,-4.28112331636571,2.18067446718658
11,October,2017,Corbicula fluminea,9,-4.11089017569098,2.32740161413873
11,October,2017,Potamocorbula amurensis,16,-4.01537557932975,1.94108112987435
11,October,2018,Corbicula fluminea,16,-4.84371170277293,2.92330170990745
11,October,2018,Potamocorbula amurensis,18,-4.02979396503627,1.94955390879663
11,October,2019,Potamocorbula amurensis,11,-3.80440219693705,1.7846855649574
1402,May,2018,Potamocorbula amurensis,7,-4.00528889721959,1.79297789191581
1402,October,2018,Potamocorbula amurensis,10,-4.51995421378329,2.39418600424863
1403,May,2018,Corbicula fluminea,16,-3.98197622703196,2.1255316587393
1403,October,2018,Corbicula fluminea,9,-4.13550162842929,2.41569680319678
1404,May,2018,Corbicula fluminea,17,-4.094973503645,2.31057938535725
1404,October,2018,Corbicula fluminea,21,-4.4431766459919,2.60289534111442
1408,May,2018,Corbicula fluminea,16,-4.02394609490695,2.13877954604127
1408,October,2018,Corbicula fluminea,14,-4.08164328044658,2.19048899016401
1413,May,2018,Potamocorbula amurensis,9,-4.69984384794649,2.54475571794659
1413,October,2018,Potamocorbula amurensis,13,-4.68549256327585,2.57322943349826
1416,May,2018,Corbicula fluminea,21,-4.27285682286222,2.356618391819
1416,October,2018,Corbicula fluminea,18,-4.15084474949698,2.30479309610752
1418,May,2018,Corbicula fluminea,14,-4.75229616924109,3.08795555751667
