station,month,year,species,number,intercept,slope
D4,July,2018,Corbicula fluminea,12,-4.90729415701499,2.93861786288728
D4,July,2019,Corbicula fluminea,13,-5.08699728942299,3.13534501269555
D4,July,2020,Corbicula fluminea,10,-4.92264453966528,2.94812579042682
D4,July,2021,Corbicula fluminea,11,-5.17000549750991,3.24893100186138
D4,September,2018,Corbicula fluminea,16,-4.95229295313904,2.99921139159419
D4,September,2019,Corbicula fluminea,13,-5.083648648668,3.12685139741395
D4,September,2020,Corbicula fluminea,14,-5.3195240393602,3.33460380056408
D4,September,2020,Potamocorbula amurensis,6,-4.93239569392202,2.55358650594206
D4,September,2021,Corbicula fluminea,5,-4.97003641083718,3.16651291069737
D4,September,2021,Potamocorbula amurensis,14,-4.76364162373015,2.47221445935844
D7,July,2018,Potamocorbula amurensis,11,-4.79800801607745,2.58548160834958
D7,July,2019,Potamocorbula amurensis,9,-5.09927394730792,2.9654690728596
D7,July,2020,Potamocorbula amurensis,9,-4.81401703273024,2.64964394227175
D7,July,2021,Potamocorbula amurensis,10,-4.95672332258676,2.77148903123095
D7,September,2018,Potamocorbula amurensis,12,-4.87538183453168,2.69280550012948
D7,September,2019,Potamocorbula amurensis,12,-4.97451309811241,2.85724558368642
D7,September,2020,Potamocorbula amurensis,13,-4.95833700293792,2.75112347818981
D7,September,2021,Potamocorbula amurensis,14,-5.00918803061987,2.90357813736889
