Station,Station_alias,North_decimal_degrees,West_decimal_degrees,Habitat,Habitat_type,Corbicula_AFDM_g_per_m2_mean,Corbicula_density_per_m2_mean,Corbicula_filtration_rate_m3_per_m2_per_day_mean,Corbicula_grazing_rate_m3_per_m2_per_day_mean,Potamocorbula_AFDM_g_per_m2_mean,Potamocorbula_density_per_m2_mean,Potamocorbula_filtration_rate_m3_per_m2_per_day_mean,Potamocorbula_grazing_rate_m3_per_m2_per_day_mean,Total_AFDM_g_per_m2_mean,Total_density_per_m2_mean,Total_filtration_rate_m3_per_m2_per_day_mean,Total_grazing_rate_m3_per_m2_per_day_mean,Corbicula_grazing_turnover_per_day_mean,Potamocorbula_grazing_turnover_per_day_mean,Total_grazing_turnover_per_day_mean,Depth_ft_mean,Depth_m_mean,Percent_Organic_Matter_mean,Percent_Clay_mean,Percent_Silt_mean,Percent_Mica_mean,Percent_Fine_Sand_mean,Percent_Coarse_Sand_mean,Percent_Gravel_mean,Percent_Fines_mean,Water_temperature_C_mean,Specific_conductivity_uS_per_cm_mean,pH_mean,Chlorophyll_a_ug_per_L_mean,Turbidity_NTU_mean,Dissolved_oxygen_mg_per_L_mean
SM01,Benthic D7,38.1171292,-122.0395539,River,River,9.49295259190085e-05,2.40384615384615,1.13553596499016e-05,1.12788721549149e-08,7.19275224826036,6891.82692307692,2.87710089930415,0.00202004596980541,7.19284717778628,6894.23076923077,2.8771122546638,0.00202005724867756,6.60788816724953e-09,0.00120933163359824,0.00120933824148641,5.92857142857143,1.80702857142857,6.25,55,33.75,0,5,0,0,88.75,21.07125,16724.875,7.94125,2.80875,31.125,8.21375
SM03,GRTS 27,38.17014363,-122.0307802,Channel,Marsh,2.77306739300845,28.8461538461538,0.322404376169696,0.000289253284796962,0.566002079661028,1382.21153846154,0.226400831864411,0.000199715860184504,3.33906947266948,1411.05769230769,0.548805208034108,0.000488969144981467,8.33592943959733e-05,5.64595691730846e-05,0.000139818863569058,11.2142857142857,3.41811428571429,8.75,76.875,11.875,0,2.5,0,0,88.75,21.59925,13621.25,7.78125,3.465,31.04,7.94
SM07,GRTS 1434,38.167088,-121.937285867247,Channel,Marsh,8.51935591915227,254.807692307692,1.04154922223115,0.000854488874752649,6.40184072199982,2536.05769230769,2.56073628879993,0.00166862524933757,14.9211966411521,2790.86538461539,3.60228551103107,0.00252311412409021,0.000133091672060144,0.000262388066651608,0.000395479738711752,20.8714285714286,6.36161142857143,3.75,70.625,6.875,0,17.5,1.25,0,77.5,21.58675,10493.75,7.72625,4.665,18.77375,7.65
SM09,Volanti (VOL),38.18045,-122.0476,Channel,Marsh,0,0,0,0,0.102280512097461,766.826923076924,0.0409122048389844,3.74385057068262e-05,0.102280512097461,766.826923076924,0.0409122048389844,3.74385057068262e-05,0,2.11683355511417e-05,2.11683355511417e-05,6.84285714285714,2.08570285714286,6.875,75.625,11.25,0,6.25,0,0,86.875,21.518,13058,7.77375,9.52625,78.63625,7.41375
SM10,Godfather II at Goodyear Slough (GOD),38.1238,-122.0812,Channel,Marsh,0,0,0,0,13.2121735698543,2639.42307692308,5.28486942794173,0.00348242776157828,13.2121735698543,2639.42307692308,5.28486942794173,0.00348242776157828,0,0.000628101035703157,0.000628101035703157,18.7,5.69976,4.375,76.25,19.375,0,0,0,0,95.625,20.896125,15847.25,7.72375,3.78375,42.0075,7.8925
SM11,Blacklock (BLL),38.1801,-121.9069,Slough,Marsh,4.56971518368418,127.403846153846,0.48905474893995,0.000428449119899846,0.00246238285997485,19.2307692307692,0.000984953143989939,9.66302967298962e-07,4.57217756654415,146.634615384615,0.49003970208394,0.000429415422867145,0.000274542509931255,7.27817945285356e-07,0.00027527032787654,4.75714285714286,1.44997714285714,28.75,51.25,18.75,0,1.25,0,0,70,21.512,10168.625,7.72875,8.0625,31.01125,8.045
SM12,Beldon Landing (BDL),38.1869,-121.9708,Channel,Marsh,7.9027052601241,72.1153846153846,0.798505781464668,0.000658144102365634,0.279251029260944,1206.73076923077,0.111700411704378,9.91910076802094e-05,8.18195628938505,1278.84615384615,0.910206193169046,0.000757335110045843,0.000122389874606625,2.06743068391107e-05,0.000143064181445735,15.8714285714286,4.83761142857143,20.625,37.5,27.5,0,4.375,3.75,6.25,65,21.6765,11580.75,7.68875,4.32125,21.42625,7.625
SM13,National Steel (NSL),38.1221,-121.8881,Channel,Marsh,18.2634684364658,387.019230769231,1.93811898216505,0.00156747862813002,0.114898585235616,127.403846153846,0.0459594340942465,4.41855944414645e-05,18.3783670217014,514.423076923077,1.98407841625929,0.00161166422257149,0.000325575196247383,9.23177405866403e-06,0.000334806970306047,15,4.572,0,28.75,6.25,0,35,5,25,35,21.357,8554.5,7.88,4.26375,16.24625,8.3625
SM14,Montezuma Slough at Roaring River (MSL),38.0934,-121.8872,Channel,Marsh,12.0346462488386,430.288461538461,1.25767318816973,0.0010895823132354,0.141194971242007,137.019230769231,0.0564779884968031,5.35789092797177e-05,12.1758412200807,567.307692307693,1.31415117666654,0.00114316122251512,0.00023505191126013,9.91241208410621e-06,0.000244964323344237,15.4,4.69392,7.5,78.125,7.5,0,4.375,1.25,1.25,85.625,21.1355,7654.125,7.8725,4.02875,20.1425,8.44625
SM15,Collinsville at Sacramento River (CSE),38.074,-121.8501,River,Marsh,1.56956058648497,76.923076923077,0.184413314347579,0.000168787710375356,0.369317177553974,913.461538461538,0.14772687102159,0.000137357884763103,1.93887776403895,990.384615384615,0.332140185369169,0.000306145595138458,4.20895995594191e-05,3.3926845817096e-05,7.60164453765151e-05,13.0142857142857,3.96675428571429,5.625,50.625,38.125,0,1.25,0,4.375,88.75,21.239875,5529.625,8,1.95,16.26,8.53
SM17,"S-4, Hill Slough",38.2256237271373,-122.02189634714,Slough,Marsh,2.0081859982918,108.173076923077,0.225067776920266,0.000205277947384352,0.10176712082962,240.384615384615,0.0407068483318478,3.86984815269381e-05,2.10995311912142,348.557692307692,0.265774625252114,0.00024397642891129,0.000121179319349441,2.20186284903174e-05,0.000143197947839759,5.61428571428571,1.71123428571429,61.875,29.375,3.75,0,5,0,0,33.125,20.853375,10450.5,7.79375,7.0575,27.66625,6.8775
