cond((Int)),disp((Int)),cond(chlor2),cond(depth2),cond(DO2),cond(habitat),cond(month),cond(salinity2),cond(sediment),cond(turb2),cond(w_temp2),cond(year),df,logLik,AICc,delta,weight
7.02522453302186,+,0.111217078141645,0.471683884882654,0.36082848088839,,,0.147955466073298,+,-0.191001256455211,,,11,-1375.72247004778,2774.69022311443,0,0.0848683708946674
7.04833822250337,+,,0.462680140370398,0.368543500807816,,,0.144275782415162,+,-0.187009918985784,,,10,-1377.21958828033,2775.47204041042,0.781817295994642,0.0574085260928296
7.01557778695615,+,0.10745474837796,0.503872992595583,0.422676903902018,,,,+,-0.202380793875496,,,10,-1377.30989498729,2775.65265382435,0.962430709916134,0.0524513526344609
7.11125068902943,+,0.102384312392613,0.531703909986038,0.393075987409922,,,0.697723460294981,+,-0.188582751054585,,+,14,-1373.02191543642,2776.05340025084,1.36317713640938,0.0429275113364774
7.20278491767243,+,,0.538600208183049,0.372480489342958,,,0.726995403357977,+,-0.193732117727543,,+,13,-1374.19057297489,2776.11447928312,1.4242561686865,0.0416363421035275
7.02706697066186,+,,0.494111011875649,0.43324160998998,,,,+,-0.204061997939218,,,9,-1378.71716543288,2776.27545236108,1.58522924665112,0.0384164923307127
7.03440279030995,+,0.126775805965988,0.499984723531006,0.381460952240256,,,,+,-0.217753330726373,-0.076208409193143,,11,-1376.78652108541,2776.81832518969,2.12810207526309,0.0292842679228493
7.04570685559674,+,0.104321484537825,0.476741629209788,0.354424066563202,,+,0.153163578696749,+,-0.191560821444405,,,12,-1375.67209349393,2776.82285997364,2.13263685921311,0.0292179442280881
7.02693216841942,+,0.113279652316107,0.472385485170321,0.358579901496067,,,0.142741249570888,+,-0.193001747566252,-0.00890473367368334,,12,-1375.71749390025,2776.91366078628,2.2234376718493,0.0279210990833841
7.29855700282115,+,,0.563373935046443,0.336774560642153,,+,0.777125384303772,+,-0.196873269308751,,+,14,-1373.4878432096,2776.98525579719,2.29503268276585,0.0269392717173756
