cond((Int)),zi((Int)),disp((Int)),cond(chlor2),cond(depth2),cond(DO2),cond(habitat),cond(month),cond(salinity2),cond(sediment),cond(turb2),cond(w_temp2),cond(year),zi(depth2),zi(salinity2),df,logLik,AICc,delta,weight
9.81020199522686,-1.76534318686577,+,,1.63997494232117,,+,+,1.90438420363534,,,,+,-1.42646326720283,-1.05929259243775,14,-1347.44724384869,2724.90405707536,0,0.230671151300843
10.0767030838095,-1.76531135465322,+,,1.64225483711939,-0.180535027630138,+,+,1.88852205194432,,,,+,-1.42642380542286,-1.05927699270583,15,-1346.93075120634,2726.16919472037,1.26513764500533,0.122538379911339
9.82969711830365,-1.76531957993011,+,0.0965567490808987,1.641493962933,,+,+,1.88667212793495,,,,+,-1.4264282798599,-1.05927102864761,15,-1347.30210724164,2726.91190679098,2.00784971561779,0.0845267667949572
9.77868272952511,-1.76531930547372,+,,1.63666670278846,,+,+,1.90031956815592,,,0.0791584369572089,+,-1.42643350182768,-1.05928984709009,15,-1347.36348941354,2727.03467113477,2.13061405940334,0.0794943602676664
9.81022891953605,-1.76531786677456,+,,1.63083940997572,,+,+,1.91671392042806,,-0.0787639408164802,,+,-1.42644477964982,-1.05929115362319,15,-1347.40942954384,2727.12655139537,2.22249432000945,0.0759249952835168
10.1285798057164,-1.76532439905913,+,,1.62220813580616,-0.211402441483887,+,+,1.91588104718132,,-0.179314395210737,,+,-1.42644452639242,-1.05929292376816,16,-1346.74843860591,2728.12489653549,3.22083946012799,0.0460889570881935
10.0707605774108,-1.76533496455169,+,0.0156920175935875,1.64260271482112,-0.174016198210953,+,+,1.88682602855358,,,,+,-1.42644192574303,-1.0592910473438,16,-1346.92792129109,2728.48386190585,3.57980483048823,0.0385166530132752
10.0664785979455,-1.765310576406,+,,1.64160260690294,-0.17701591358578,+,+,1.88792323615628,,,0.0104313665975358,+,-1.42645841433696,-1.05927909261848,16,-1346.92946424973,2728.48694782314,3.58289074777667,0.0384572692356997
9.80442198374413,-1.76534156946711,+,0.098285895680531,1.63923051603123,,+,+,1.88450204904338,,,0.0816618618430839,+,-1.4264467685609,-1.05929025331242,16,-1347.21370068037,2729.05542068442,4.15136360905353,0.0289425058229922
9.83103662888425,-1.76532690881876,+,0.106848187566501,1.6291858603746,,+,+,1.89991173787205,,-0.107049980332131,,+,-1.42644580803596,-1.05930411498593,16,-1347.23557244462,2729.09916421291,4.19510713754744,0.0283163546355022
9.78183383513014,-1.76531625992628,+,,1.62861310684982,,+,+,1.91289002671403,,-0.0737083841911544,0.076897070928523,+,-1.42645074780393,-1.05929803270084,16,-1347.33026937826,2729.28855808019,4.38450100482532,0.0257579316881514
9.05628412963238,-1.7653099177613,+,,1.53110445991756,,+,,1.67062944839016,,,0.2911439005641,+,-1.42643205856647,-1.05930157600261,14,-1349.90519665323,2729.81996268444,4.91590560908253,0.0197477646818319
8.87089013708489,-1.76530343088958,+,,1.46907851739719,,+,,1.56097984673456,,,,+,-1.42643267556678,-1.05927056054492,13,-1351.21776832729,2730.1688699879,5.26481291254186,0.0165864592149164
10.1226954129462,-1.76530001440052,+,0.0138901092080652,1.62250335259601,-0.205534606612456,+,+,1.9140128947853,,-0.179362490856972,,+,-1.42642754890675,-1.05928638137667,17,-1346.74627888285,2730.4634315521,5.55937447673614,0.0143149703951518
10.1381325773431,-1.76532476857163,+,,1.62250787754141,-0.214976891751118,+,+,1.91659333936886,,-0.181518839293962,-0.00958775263809042,+,-1.42645281641792,-1.05929314776563,17,-1346.74735948417,2730.46559275475,5.56153567938463,0.0142995099739665
10.0548966982812,-1.76533017377814,+,0.0193421482228514,1.64175044130062,-0.167412638992329,+,+,1.88567263074262,,,0.0150813681076041,+,-1.42645453737301,-1.05928155456038,17,-1346.92538110157,2730.82163598955,5.91757891418683,0.0119676078209385
9.77446275385822,-1.76532280042087,+,,1.62851920807809,,+,+,1.82481847356799,+,,,+,-1.42644955456987,-1.05929659278383,17,-1347.04828041686,2731.06743462012,6.16337754475944,0.0105835862755454
9.81058509832332,-1.76533801712913,+,0.10768222524131,1.62842630145548,,+,+,1.89875125792535,,-0.101004296386385,0.0785299385651132,+,-1.42645886839736,-1.05930421823363,17,-1347.15402764131,2731.27892906903,6.3748719936716,0.00952154487078105
9.12519229264508,-1.76533862576407,+,0.131924811113795,1.53337107223755,,+,,1.66051052204748,,,0.28637111897736,+,-1.42644887185803,-1.05931785703393,15,-1349.65266811191,2731.6130285315,6.70897145614254,0.00805672688803947
