"","count_(Intercept)","count_chlor","count_depth","count_DO","count_habitat","count_month","count_salinity2","count_sediment","count_turb","count_w_temp","zero_(Intercept)","zero_chlor","zero_depth","zero_DO","zero_habitat","zero_month","zero_salinity2","zero_sediment","zero_turb","zero_w_temp","df","logLik","AICc","delta","weight"
"17443",7.83853921440589,NA,0.257053272352669,NA,NA,NA,0.17511525708566,NA,NA,NA,-0.261916620400829,NA,-0.228481542749164,NA,NA,NA,1.22549813243845,NA,NA,NA,7,-1419.97022587876,2854.45897027604,0,0.143130240986709
"83107",7.73610809618954,NA,0.269970820253223,NA,NA,NA,0.181794284351757,NA,0.00201979490313466,NA,-0.778210779078392,NA,-0.195563825798453,NA,NA,NA,1.2577217314354,NA,0.0123605472892628,NA,9,-1417.91650850503,2854.67413850538,0.215168229333813,0.128531097277745
"19495",7.05434851560669,NA,0.232949183736473,0.113706685830084,NA,NA,0.146917934593456,NA,NA,NA,3.42825393292044,NA,-0.189551279726788,-0.495491593669252,NA,NA,1.21516793271944,NA,NA,NA,9,-1418.18967843657,2855.22047836847,0.761508092429722,0.0978074691372327
"23599",8.0824407428476,NA,0.12935076360029,0.0520276139580037,"+",NA,0.223992903622355,NA,NA,NA,7.43456867513015,NA,-0.282966300790112,-0.789808203462206,"+",NA,1.28748366533706,NA,NA,NA,13,-1414.13997459483,2856.01328252298,1.55431224693939,0.0657986201940507
"85159",6.50240702520894,NA,0.254550602254333,0.157862535823588,NA,NA,0.162435525768114,NA,0.00449406432140619,NA,2.24038612109942,NA,-0.1725214804456,-0.393124544627661,NA,NA,1.25991756098663,NA,0.00977482303124711,NA,11,-1416.69371161089,2856.63270624065,2.17373596460857,0.0482737053430231
"17956",7.81789758155471,0.00205959573879773,0.259472479310887,NA,NA,NA,0.172681364513693,NA,NA,NA,-0.651419799046292,0.0402040503428063,-0.191869800991172,NA,NA,NA,1.20586145948175,NA,NA,NA,9,-1419.1383178401,2857.11775717552,2.65878689948022,0.0378776618847605
"87211",8.6213378980219,NA,0.121517685669002,NA,"+",NA,0.30791748780789,NA,0.00539616368537288,NA,0.624701933898554,NA,-0.312910818914164,NA,"+",NA,1.36940267635069,NA,0.0150160321086633,NA,13,-1414.73233243087,2857.19799819506,2.73902791901901,0.0363880721362432
"89263",7.64236362670032,NA,0.140166085558363,0.0952430338382042,"+",NA,0.267058594196985,NA,0.00647988231042992,NA,6.17082850426458,NA,-0.266490164937172,-0.669554653931743,"+",NA,1.34068729463861,NA,0.0106215201012674,NA,15,-1412.46459489778,2857.23688210325,2.77791182720603,0.0356874497115865
"148771",11.485042257658,NA,0.241578353841206,NA,NA,NA,0.0829196687250217,NA,NA,-0.168284595996295,-2.7161320552128,NA,-0.220833902871358,NA,NA,NA,1.25973532484703,NA,NA,0.114399919338227,9,-1419.4411821961,2857.72348588753,3.2645156114877,0.0279802019297204
"21547",8.71185122654659,NA,0.106444387540428,NA,"+",NA,0.267589669247197,NA,NA,NA,1.06994468293732,NA,-0.363955022497902,NA,"+",NA,1.34695415209445,NA,NA,NA,11,-1417.29979026189,2857.84486354264,3.38589326659803,0.0263326169391594
"214435",11.5207974633345,NA,0.260370843588296,NA,NA,NA,0.0899485943675975,NA,0.00307320906427069,-0.177189771483788,-3.23028198242264,NA,-0.186295613243932,NA,NA,NA,1.29516579882769,NA,0.0125003445641494,0.113829957429961,11,-1417.36014460869,2857.96557223625,3.50660196020226,0.0247903387759497
"83620",7.69547740787998,0.00320046932866809,0.274769396197377,NA,NA,NA,0.180307964955583,NA,0.00214231900850739,NA,-1.05696835172486,0.029622755575208,-0.167021925474927,NA,NA,NA,1.24501595978286,NA,0.0120244888564257,NA,11,-1417.57640714505,2858.39809730897,3.9391270329279,0.019969207765758
"25651",7.82947625119332,NA,0.254626673087989,NA,NA,"+",0.171632397166996,NA,NA,NA,-0.194055976296822,NA,-0.223639960741462,NA,NA,"+",1.22263275447235,NA,NA,NA,9,-1419.87222261164,2858.58556671861,4.12659644256473,0.0181824486810007
