Lab,SampleDate,StationCode,Cells_per_mL
EcoAnalysts,1/14/2008,C3A,0.25
EcoAnalysts,1/14/2008,C3A,3.5
EcoAnalysts,1/14/2008,C3A,3.5
EcoAnalysts,1/14/2008,C3A,5
EcoAnalysts,1/14/2008,C3A,3
EcoAnalysts,1/14/2008,C3A,0.25
EcoAnalysts,1/14/2008,C3A,0.5
EcoAnalysts,1/14/2008,C3A,30.25
EcoAnalysts,1/14/2008,C3A,0.25
EcoAnalysts,1/14/2008,C3A,0.25
EcoAnalysts,1/14/2008,C3A,17
EcoAnalysts,1/14/2008,C3A,1.5
EcoAnalysts,1/14/2008,C3A,5
EcoAnalysts,1/14/2008,C3A,7.5
EcoAnalysts,1/14/2008,C3A,0.75
EcoAnalysts,1/14/2008,C3A,0.25
EcoAnalysts,1/14/2008,C3A,3.5
EcoAnalysts,1/14/2008,C3A,19.25
EcoAnalysts,1/14/2008,C3A,3.5
EcoAnalysts,1/14/2008,C3A,0.5
EcoAnalysts,1/14/2008,C10A,1.5
EcoAnalysts,1/14/2008,C10A,37.5
EcoAnalysts,1/14/2008,C10A,1.5
EcoAnalysts,1/14/2008,C10A,2
EcoAnalysts,1/14/2008,C10A,10
EcoAnalysts,1/14/2008,C10A,3.5
EcoAnalysts,1/14/2008,C10A,7.5
EcoAnalysts,1/14/2008,C10A,0.5
EcoAnalysts,1/14/2008,C10A,1.5
EcoAnalysts,1/14/2008,C10A,0.5
EcoAnalysts,1/14/2008,C10A,5
EcoAnalysts,1/14/2008,C10A,1
EcoAnalysts,1/14/2008,C10A,1.5
EcoAnalysts,1/14/2008,C10A,20.5
EcoAnalysts,1/14/2008,C10A,1.5
EcoAnalysts,1/14/2008,C10A,2
EcoAnalysts,1/14/2008,C10A,14
EcoAnalysts,1/14/2008,C10A,6.5
EcoAnalysts,1/14/2008,C10A,12
EcoAnalysts,1/14/2008,C10A,30
EcoAnalysts,1/14/2008,C10A,690
EcoAnalysts,1/14/2008,C10A,1
EcoAnalysts,1/14/2008,C10A,0.5
EcoAnalysts,1/14/2008,C10A,0.5
EcoAnalysts,1/14/2008,C10A,16.5
EcoAnalysts,1/14/2008,C10A,3
EcoAnalysts,1/14/2008,C10A,1
EcoAnalysts,1/14/2008,C10A,0.5
EcoAnalysts,1/16/2008,D4,0.91
EcoAnalysts,1/16/2008,D4,8
EcoAnalysts,1/16/2008,D4,3.6
EcoAnalysts,1/16/2008,D4,0.91
EcoAnalysts,1/16/2008,D4,1.45
EcoAnalysts,1/16/2008,D4,1.09
EcoAnalysts,1/16/2008,D4,1.09
EcoAnalysts,1/16/2008,D4,0.36
EcoAnalysts,1/16/2008,D4,19.45
EcoAnalysts,1/16/2008,D4,0.36
EcoAnalysts,1/16/2008,D4,0.18
EcoAnalysts,1/16/2008,D4,0.91
EcoAnalysts,1/16/2008,D4,7.64
EcoAnalysts,1/16/2008,D4,1.09
EcoAnalysts,1/16/2008,D4,0.73
EcoAnalysts,1/16/2008,D4,5.64
EcoAnalysts,1/16/2008,D4,98.25
EcoAnalysts,1/16/2008,D4,0.91
EcoAnalysts,1/16/2008,D4,0.73
EcoAnalysts,1/16/2008,D4,1.64
EcoAnalysts,1/16/2008,D4,12.91
EcoAnalysts,1/16/2008,D4,0.55
EcoAnalysts,1/16/2008,D4,0.73
EcoAnalysts,1/18/2008,D6,0.2
EcoAnalysts,1/18/2008,D6,1
EcoAnalysts,1/18/2008,D6,0.2
EcoAnalysts,1/18/2008,D6,0.2
EcoAnalysts,1/18/2008,D6,0.4
