SampleID,Genus,Units.per.mL,,SampleDate,StationCode,Month,Year,Region,RegionAbbv,Season
C10A.Jan.2022,Cyclotella,451.77,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Winter
C10A.Jan.2022,Eucapsis,15606.6,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Winter
C10A.Jan.2022,Navicula,205.35,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Winter
C10A.Jan.2022,Nitzschia,164.28,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Winter
C10A.Jan.2022,Plagioselmis,164.28,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Winter
C10A.Jan.2022,Planktolyngbya,41.07,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Winter
C10A.Jan.2022,Sellaphora,41.07,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Winter
C3A.Jan.2022,Achnanthidium,88.46,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Winter
C3A.Jan.2022,Cocconeis,88.46,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Winter
C3A.Jan.2022,Cyclotella,88.46,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Winter
C3A.Jan.2022,Eucapsis,34587.86,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Winter
C3A.Jan.2022,Monoraphidium,88.46,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Winter
C3A.Jan.2022,Navicula,88.46,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Winter
C3A.Jan.2022,Nitzschia,176.92,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Winter
C3A.Jan.2022,Plagioselmis,176.92,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Winter
C3A.Jan.2022,Ulnaria,88.46,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Winter
C9.Jan.2022,Cocconeis,121.04,,1/5/2022,C9,Jan,2022,Southern Interior Delta,SID,Winter
C9.Jan.2022,Encyonema,60.52,,1/5/2022,C9,Jan,2022,Southern Interior Delta,SID,Winter
C9.Jan.2022,Eucapsis,25236.84,,1/5/2022,C9,Jan,2022,Southern Interior Delta,SID,Winter
C9.Jan.2022,Plagioselmis,302.6,,1/5/2022,C9,Jan,2022,Southern Interior Delta,SID,Winter
D16.Jan.2022,Achnanthidium,51.11,,1/6/2022,D16,Jan,2022,Central Delta,CED,Winter
D16.Jan.2022,Cocconeis,204.44,,1/6/2022,D16,Jan,2022,Central Delta,CED,Winter
D16.Jan.2022,Cryptomonas,153.33,,1/6/2022,D16,Jan,2022,Central Delta,CED,Winter
D16.Jan.2022,Cyclotella,204.44,,1/6/2022,D16,Jan,2022,Central Delta,CED,Winter
D16.Jan.2022,Eucapsis,20648.44,,1/6/2022,D16,Jan,2022,Central Delta,CED,Winter
D16.Jan.2022,Gomphonema,51.11,,1/6/2022,D16,Jan,2022,Central Delta,CED,Winter
D16.Jan.2022,Nitzschia,51.11,,1/6/2022,D16,Jan,2022,Central Delta,CED,Winter
D16.Jan.2022,Planktolyngbya,102.22,,1/6/2022,D16,Jan,2022,Central Delta,CED,Winter
D19.Jan.2022,Eucapsis,19403.55,,1/6/2022,D19,Jan,2022,Central Delta,CED,Winter
D19.Jan.2022,Microcystis,47.91,,1/6/2022,D19,Jan,2022,Central Delta,CED,Winter
D19.Jan.2022,Monoraphidium,47.91,,1/6/2022,D19,Jan,2022,Central Delta,CED,Winter
D19.Jan.2022,Navicula,47.91,,1/6/2022,D19,Jan,2022,Central Delta,CED,Winter
D19.Jan.2022,Nitzschia,47.91,,1/6/2022,D19,Jan,2022,Central Delta,CED,Winter
D19.Jan.2022,Plagioselmis,239.55,,1/6/2022,D19,Jan,2022,Central Delta,CED,Winter
D19.Jan.2022,Planothidium,47.91,,1/6/2022,D19,Jan,2022,Central Delta,CED,Winter
D28A.Jan.2022,Achnanthidium,57.5,,1/6/2022,D28A,Jan,2022,Central Delta,CED,Winter
D28A.Jan.2022,Cocconeis,28.75,,1/6/2022,D28A,Jan,2022,Central Delta,CED,Winter
D28A.Jan.2022,Cyclotella,28.75,,1/6/2022,D28A,Jan,2022,Central Delta,CED,Winter
D28A.Jan.2022,Eucapsis,11356.25,,1/6/2022,D28A,Jan,2022,Central Delta,CED,Winter
D28A.Jan.2022,Navicula,28.75,,1/6/2022,D28A,Jan,2022,Central Delta,CED,Winter
D28A.Jan.2022,Nitzschia,28.75,,1/6/2022,D28A,Jan,2022,Central Delta,CED,Winter
D28A.Jan.2022,Plagioselmis,86.25,,1/6/2022,D28A,Jan,2022,Central Delta,CED,Winter
D26.Jan.2022,Cocconeis,71.87,,1/7/2022,D26,Jan,2022,Central Delta,CED,Winter
D26.Jan.2022,Cyclotella,71.87,,1/7/2022,D26,Jan,2022,Central Delta,CED,Winter
D26.Jan.2022,Eucapsis,29826.05,,1/7/2022,D26,Jan,2022,Central Delta,CED,Winter
D26.Jan.2022,Navicula,71.87,,1/7/2022,D26,Jan,2022,Central Delta,CED,Winter
D26.Jan.2022,Nitzschia,143.74,,1/7/2022,D26,Jan,2022,Central Delta,CED,Winter
D26.Jan.2022,Plagioselmis,143.74,,1/7/2022,D26,Jan,2022,Central Delta,CED,Winter
MD10A.Jan.2022,Cocconeis,60.12,,1/7/2022,MD10A,Jan,2022,Southern Interior Delta,SID,Winter
MD10A.Jan.2022,Eucapsis,11933.82,,1/7/2022,MD10A,Jan,2022,Southern Interior Delta,SID,Winter
MD10A.Jan.2022,Ochromonas,30.06,,1/7/2022,MD10A,Jan,2022,Southern Interior Delta,SID,Winter
P8.Jan.2022,Cocconeis,82.14,,1/7/2022,P8,Jan,2022,Southern Interior Delta,SID,Winter
P8.Jan.2022,Eucapsis,32773.86,,1/7/2022,P8,Jan,2022,Southern Interior Delta,SID,Winter
P8.Jan.2022,Nitzschia,82.14,,1/7/2022,P8,Jan,2022,Southern Interior Delta,SID,Winter
P8.Jan.2022,Staurosira,82.14,,1/7/2022,P8,Jan,2022,Southern Interior Delta,SID,Winter
D22.Jan.2022,Achnanthidium,131.43,,1/10/2022,D22,Jan,2022,Confluence,CON,Winter
D22.Jan.2022,Aulacoseira,87.62,,1/10/2022,D22,Jan,2022,Confluence,CON,Winter
D22.Jan.2022,Cocconeis,43.81,,1/10/2022,D22,Jan,2022,Confluence,CON,Winter
D22.Jan.2022,Cryptomonas,43.81,,1/10/2022,D22,Jan,2022,Confluence,CON,Winter
D22.Jan.2022,Cyclotella,131.43,,1/10/2022,D22,Jan,2022,Confluence,CON,Winter
D22.Jan.2022,Eucapsis,17173.52,,1/10/2022,D22,Jan,2022,Confluence,CON,Winter
