SampleID,AlgalType,BV.um3.per.mL,,SampleDate,StationCode,Month,Year,Region,RegionAbbv,Season
C10A.Jan.2022,Centric Diatom,69947.5491,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Winter
C10A.Jan.2022,Cryptophyte,50958.0132,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Winter
C10A.Jan.2022,Cyanobacterium,6521.0946,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Winter
C10A.Jan.2022,Pennate Diatom,80884.9008,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Winter
C3A.Jan.2022,Centric Diatom,22232.6518,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Winter
C3A.Jan.2022,Cryptophyte,69393.3316,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Winter
C3A.Jan.2022,Cyanobacterium,12610.8576,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Winter
C3A.Jan.2022,Green Alga,1979.7348,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Winter
C3A.Jan.2022,Pennate Diatom,342924.9206,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Winter
C9.Jan.2022,Cryptophyte,46325.034,,1/5/2022,C9,Jan,2022,Southern Interior Delta,SID,Winter
C9.Jan.2022,Cyanobacterium,7995.9024,,1/5/2022,C9,Jan,2022,Southern Interior Delta,SID,Winter
C9.Jan.2022,Pennate Diatom,136682.6044,,1/5/2022,C9,Jan,2022,Southern Interior Delta,SID,Winter
D16.Jan.2022,Centric Diatom,27538.068,,1/6/2022,D16,Jan,2022,Central Delta,CED,Winter
D16.Jan.2022,Cryptophyte,69878.6142,,1/6/2022,D16,Jan,2022,Central Delta,CED,Winter
D16.Jan.2022,Cyanobacterium,10001.2048,,1/6/2022,D16,Jan,2022,Central Delta,CED,Winter
D16.Jan.2022,Pennate Diatom,283721.832,,1/6/2022,D16,Jan,2022,Central Delta,CED,Winter
D19.Jan.2022,Cryptophyte,92749.4481,,1/6/2022,D19,Jan,2022,Central Delta,CED,Winter
D19.Jan.2022,Cyanobacterium,11556.8502,,1/6/2022,D19,Jan,2022,Central Delta,CED,Winter
D19.Jan.2022,Green Alga,948.1389,,1/6/2022,D19,Jan,2022,Central Delta,CED,Winter
D19.Jan.2022,Pennate Diatom,29057.8941,,1/6/2022,D19,Jan,2022,Central Delta,CED,Winter
D28A.Jan.2022,Centric Diatom,6182.4,,1/6/2022,D28A,Jan,2022,Central Delta,CED,Winter
D28A.Jan.2022,Cryptophyte,6585.1875,,1/6/2022,D28A,Jan,2022,Central Delta,CED,Winter
D28A.Jan.2022,Cyanobacterium,4088.25,,1/6/2022,D28A,Jan,2022,Central Delta,CED,Winter
D28A.Jan.2022,Pennate Diatom,22211.9625,,1/6/2022,D28A,Jan,2022,Central Delta,CED,Winter
D26.Jan.2022,Centric Diatom,11063.6678,,1/7/2022,D26,Jan,2022,Central Delta,CED,Winter
D26.Jan.2022,Cryptophyte,56379.1402,,1/7/2022,D26,Jan,2022,Central Delta,CED,Winter
D26.Jan.2022,Cyanobacterium,10737.378,,1/7/2022,D26,Jan,2022,Central Delta,CED,Winter
D26.Jan.2022,Pennate Diatom,107414.7459,,1/7/2022,D26,Jan,2022,Central Delta,CED,Winter
MD10A.Jan.2022,Chrysophyte,3018.024,,1/7/2022,MD10A,Jan,2022,Southern Interior Delta,SID,Winter
MD10A.Jan.2022,Cyanobacterium,4296.1752,,1/7/2022,MD10A,Jan,2022,Southern Interior Delta,SID,Winter
MD10A.Jan.2022,Pennate Diatom,18116.5608,,1/7/2022,MD10A,Jan,2022,Southern Interior Delta,SID,Winter
P8.Jan.2022,Cyanobacterium,11798.5896,,1/7/2022,P8,Jan,2022,Southern Interior Delta,SID,Winter
P8.Jan.2022,Pennate Diatom,43981.863,,1/7/2022,P8,Jan,2022,Southern Interior Delta,SID,Winter
D22.Jan.2022,Centric Diatom,320306.3006,,1/10/2022,D22,Jan,2022,Confluence,CON,Winter
D22.Jan.2022,Cryptophyte,59786.1927,,1/10/2022,D22,Jan,2022,Confluence,CON,Winter
D22.Jan.2022,Cyanobacterium,6182.4672,,1/10/2022,D22,Jan,2022,Confluence,CON,Winter
D22.Jan.2022,Pennate Diatom,67830.1468,,1/10/2022,D22,Jan,2022,Confluence,CON,Winter
D4.Jan.2022,Cryptophyte,25057.0876,,1/10/2022,D4,Jan,2022,Confluence,CON,Winter
D4.Jan.2022,Cyanobacterium,22850.8128,,1/10/2022,D4,Jan,2022,Confluence,CON,Winter
