MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,5/20/2022,11:35,E0522B0941,D28A,3,61,6,9.84%,0.0683,314.159,1.2977,19,40.35,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,8,8,22.2,,,i,BSA.05-01,CB,High sediment.,elliptic prism,446.42,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/20/2022,11:35,E0522B0941,D28A,3,61,6,9.84%,0.0683,314.159,1.2977,19,40.35,464,Gomphonema sp.,Diatom,Gomphonema,sp.,,1,1,10.2,,,i,BSA.05-01,CB,High sediment.,gomphonemoid,43.2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/20/2022,11:35,E0522B0941,D28A,3,61,6,9.84%,0.0683,314.159,1.2977,19,40.35,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,14.8,,,i,BSA.05-01,CB,High sediment.,elliptic prism,81.72,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/20/2022,11:35,E0522B0941,D28A,3,61,6,9.84%,0.0683,314.159,1.2977,19,40.35,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,38.9,,,i,BSA.05-01,CB,High sediment.,prism on parallelogram,494.96,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/20/2022,11:35,E0522B0941,D28A,3,61,6,9.84%,0.0683,314.159,1.2977,19,40.35,1138,Monoraphidium sp.,Soft Body,Monoraphidium,sp.,,1,1,9.3,,,i,BSA.05-01,CB,High sediment.,2 cones,7.01,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/20/2022,11:35,E0522B0941,D28A,3,61,6,9.84%,0.0683,314.159,1.2977,19,40.35,1235,Scenedesmus sp.,Soft Body,Scenedesmus,sp.,,1,2,7.4,,,c,BSA.05-01,CB,High sediment.,prolate spheroid,13.99,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/20/2022,11:35,E0522B0941,D28A,3,61,6,9.84%,0.0683,314.159,1.2977,19,40.35,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,8,8,14.8,,,i,BSA.05-01,CB,High sediment.,prolate spheroid,426.87,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/20/2022,11:35,E0522B0941,D28A,3,61,6,9.84%,0.0683,314.159,1.2977,19,40.35,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,6,6,11.1,,,i,BSA.05-01,CB,High sediment.,cone + half sphere,284.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/20/2022,11:35,E0522B0941,D28A,3,61,6,9.84%,0.0683,314.159,1.2977,19,40.35,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,383,766,0.8,0.8,0.8,c,BSA.05-01,CB,High sediment.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,5/20/2022,11:35,E0522B0941,D28A,3,61,6,9.84%,0.0683,314.159,1.2977,19,40.35,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,1,8,2,,,f,BSA.05-01,CB,High sediment.,cylinder,1.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/19/2022,9:30,E0522B0934,C9,3,61,3,4.92%,0.0683,314.159,1.4343,21,73.01,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,5,5,9.3,,,i,BSA.05-02,CB,,cylinder,159.13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/19/2022,9:30,E0522B0934,C9,3,61,3,4.92%,0.0683,314.159,1.4343,21,73.01,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,27.8,,,i,BSA.05-02,CB,,prism on parallelogram,144.39,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/19/2022,9:30,E0522B0934,C9,3,61,3,4.92%,0.0683,314.159,1.4343,21,73.01,1138,Monoraphidium sp.,Soft Body,Monoraphidium,sp.,,2,2,9.3,,,i,BSA.05-02,CB,,2 cones,12.71,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/19/2022,9:30,E0522B0934,C9,3,61,3,4.92%,0.0683,314.159,1.4343,21,73.01,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,3,3,7.4,,,i,BSA.05-02,CB,,cone + half sphere,159.13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/19/2022,9:30,E0522B0934,C9,3,61,3,4.92%,0.0683,314.159,1.4343,21,73.01,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,397,794,0.8,0.8,0.8,c,BSA.05-02,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,5/19/2022,9:30,E0522B0934,C9,3,61,3,4.92%,0.0683,314.159,1.4343,21,73.01,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,2,8,2,,,f,BSA.05-02,CB,,cylinder,1.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/23/2022,9:05,E0522B0951,D26,3,61,3,4.92%,0.0683,314.159,1.366,20,76.66,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,8,8,31.7,,,i,BSA.05-03,AB,Low detritus.,cylinder,2051.46,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/23/2022,9:05,E0522B0951,D26,3,61,3,4.92%,0.0683,314.159,1.366,20,76.66,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,12,12,6.3,,,i,BSA.05-03,AB,Low detritus.,cylinder,87.91,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/23/2022,9:05,E0522B0951,D26,3,61,3,4.92%,0.0683,314.159,1.366,20,76.66,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,6,,,i,BSA.05-03,AB,Low detritus.,sphere,98.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/23/2022,9:05,E0522B0951,D26,3,61,3,4.92%,0.0683,314.159,1.366,20,76.66,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,8,8,2.6,,,i,BSA.05-03,AB,Low detritus.,sphere,7.24,,,,,,,,,
Phyto,5/23/2022,9:05,E0522B0951,D26,3,61,3,4.92%,0.0683,314.159,1.366,20,76.66,1138,Monoraphidium sp.,Soft Body,Monoraphidium,sp.,,2,2,16.7,,,i,BSA.05-03,AB,Low detritus.,2 cones,10.25,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/23/2022,9:05,E0522B0951,D26,3,61,3,4.92%,0.0683,314.159,1.366,20,76.66,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,9,,,i,BSA.05-03,AB,Low detritus.,cone + half sphere,309.6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/23/2022,9:05,E0522B0951,D26,3,61,3,4.92%,0.0683,314.159,1.366,20,76.66,1368,Rhodomonas sp.,Soft Body,Rhodomonas,sp.,,1,1,11.1,,,i,BSA.05-03,AB,Low detritus.,cone + half sphere,551.58,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/23/2022,9:05,E0522B0951,D26,3,61,3,4.92%,0.0683,314.159,1.366,20,76.66,1733,Teleaulax amphioxeia,Soft Body,Teleaulax,amphioxeia,Plagioselmis prolonga,9,9,5.6,,,i,BSA.05-03,AB,Low detritus.,cone + half sphere,50.29,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/23/2022,9:05,E0522B0951,D26,3,61,3,4.92%,0.0683,314.159,1.366,20,76.66,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,371,742,0.8,0.8,0.8,c,BSA.05-03,AB,Low detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,5/20/2022,10:45,E0522B0940,D19,3,59,9,15.25%,0.0683,314.159,0.9562,14,36.51,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,1,1,14.8,,,i,BSA.05-04,CB,High sediment.,cylinder,636.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/20/2022,10:45,E0522B0940,D19,3,59,9,15.25%,0.0683,314.159,0.9562,14,36.51,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,24.1,,,i,BSA.05-04,CB,High sediment.,elliptic prism,1232.6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,5/20/2022,10:45,E0522B0940,D19,3,59,9,15.25%,0.0683,314.159,0.9562,14,36.51,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,7.4,,,i,BSA.05-04,CB,High sediment.,cylinder,159.13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
