MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,8/17/2022,7:00,E0822B1769,D16,3,63,3,4.76%,0.0683,314.159,1.2294,18,85.18,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,8,8,7.4,,,i,BSA.08-01,CB,,cylinder,116.35,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/17/2022,7:00,E0822B1769,D16,3,63,3,4.76%,0.0683,314.159,1.2294,18,85.18,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,14.8,,,i,BSA.08-01,CB,,prism on parallelogram,29.6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/17/2022,7:00,E0822B1769,D16,3,63,3,4.76%,0.0683,314.159,1.2294,18,85.18,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,11.1,,,i,BSA.08-01,CB,,cone + half sphere,596.74,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/17/2022,7:00,E0822B1769,D16,3,63,3,4.76%,0.0683,314.159,1.2294,18,85.18,1766,Dolichospermum sp.,Soft Body,Dolichospermum,sp.,,1,30,7.4,,,f,BSA.08-01,CB,,sphere,114.83,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/17/2022,7:00,E0822B1769,D16,3,63,3,4.76%,0.0683,314.159,1.2294,18,85.18,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,394,788,0.8,0.8,0.8,c,BSA.08-01,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
