MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,10/17/2022,12:05,E1022B2336,EZ6,3,55,5,9.09%,0.0683,314.159,1.4343,21,43.81,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,5,5,9.3,,,i,BSA.10-01,ACS,High sediment and moderate detritus. Many broken diatoms.,cylinder,201.06,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/17/2022,12:05,E1022B2336,EZ6,3,55,5,9.09%,0.0683,314.159,1.4343,21,43.81,397,Fragilaria sp.,Diatom,Fragilaria,sp.,,1,1,61.1,,,i,BSA.10-01,ACS,High sediment and moderate detritus. Many broken diatoms.,elliptic prism,656.95,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/17/2022,12:05,E1022B2336,EZ6,3,55,5,9.09%,0.0683,314.159,1.4343,21,43.81,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,35.2,,,i,BSA.10-01,ACS,High sediment and moderate detritus. Many broken diatoms.,prism on parallelogram,200.72,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/17/2022,12:05,E1022B2336,EZ6,3,55,5,9.09%,0.0683,314.159,1.4343,21,43.81,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,11,11,16.7,,,i,BSA.10-01,ACS,High sediment and moderate detritus. Many broken diatoms.,prolate spheroid,414.12,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/17/2022,12:05,E1022B2336,EZ6,3,55,5,9.09%,0.0683,314.159,1.4343,21,43.81,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,3,3,11.1,,,i,BSA.10-01,ACS,High sediment and moderate detritus. Many broken diatoms.,cone + half sphere,499.34,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/17/2022,12:05,E1022B2336,EZ6,3,55,5,9.09%,0.0683,314.159,1.4343,21,43.81,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,400,804,0.8,0.8,0.8,c,BSA.10-01,ACS,High sediment and moderate detritus. Many broken diatoms.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,10/17/2022,13:00,E1022B2337,EZ2,3,61,6,9.84%,0.0683,314.159,1.2294,18,42.59,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,22.2,,,i,BSA.10-02,ACS,High sediment and low detritus. Many broken diatoms.,elliptic prism,541.91,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
