MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,7/20/2022,8:20,E0722B1645,D16,3,62,8,12.90%,0.0683,314.159,1.0245,15,38.33,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,1,1,14.8,i,BSA.07-01,CB,High sediment.,cylinder,1005.35,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/20/2022,8:20,E0722B1645,D16,3,62,8,12.90%,0.0683,314.159,1.0245,15,38.33,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,24.1,i,BSA.07-01,CB,High sediment.,elliptic prism,1232.60,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/20/2022,8:20,E0722B1645,D16,3,62,8,12.90%,0.0683,314.159,1.0245,15,38.33,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,7,7,9.3,i,BSA.07-01,CB,High sediment.,cylinder,380.40,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/20/2022,8:20,E0722B1645,D16,3,62,8,12.90%,0.0683,314.159,1.0245,15,38.33,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,16.7,i,BSA.07-01,CB,High sediment.,prism on parallelogram,33.18,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/20/2022,8:20,E0722B1645,D16,3,62,8,12.90%,0.0683,314.159,1.0245,15,38.33,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,1,1,14.9,i,BSA.07-01,CB,High sediment.,prolate spheroid,427.22,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/20/2022,8:20,E0722B1645,D16,3,62,8,12.90%,0.0683,314.159,1.0245,15,38.33,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,3,3,9.3,i,BSA.07-01,CB,High sediment.,cone + half sphere,206.09,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/20/2022,8:20,E0722B1645,D16,3,62,8,12.90%,0.0683,314.159,1.0245,15,38.33,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,376,752,0.8,c,BSA.07-01,CB,High sediment.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,7/20/2022,8:20,E0722B1645,D16,3,62,8,12.90%,0.0683,314.159,1.0245,15,38.33,1477,cf. Microcystis sp.,Soft Body,Microcystis,sp.,,20,20,5.6,i,BSA.07-01,CB,High sediment.,sphere,54.36,,,,,,,,,
Phyto,7/21/2022,12:20,E0722B1475,NZ068,3,62,7,11.29%,0.0683,314.159,1.1611,17,38.65,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,12,12,14.8,i,BSA.07-02,CB,High sediment.,cylinder,347.43,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
