Station,Location,Latitude,Longitude
C10A,San Joaquin River near Vernalis @ SJR Club,37.67934,-121.2647
C3A,Sacramento River @ Hood,38.36771,-121.5205
C9,West Canal @ Clifton Court Intake,37.83095,-121.554
D10,Sacramento River @ Chipps Island,38.04631,-121.9183
D12,San Joaquin River @ Antioch Ship Channel,38.02161,-121.8063
D16,San Joaquin River @ Twitchell Island,38.0969,-121.6691
D19,Frank's Tract near Russo's Landing,38.04376,-121.6148
D22,Sacramento River @ Emmaton,38.08453,-121.7391
D24,Sacramento River below Rio Vista Bridge,38.15778,-121.6847
D26,San Joaquin River @ Potato Slough,38.07664,-121.5669
D28A,Old River @ Rancho Del Rio,37.97048,-121.573
D4,Sacramento River above Point Sacramento,38.06248,-121.8205
D41 ,San Pablo Bay near Pinole Point,38.03022,-122.3729
D41A,San Pablo Bay near Mouth of Petaluma River,38.08472,-122.3907
D6,Suisun Bay @ Bulls Head nr. Martinez,38.04436,-122.1177
D7,Grizzly Bay @ Dolphin nr. Suisun Slough,38.11714,-122.0397
D8,Suisun Bay off Middle Point nr. Nichols,38.05992,-121.99
MD10A,Disapointment Slough @ Bishop Cut,38.04226,-121.4199
NZ002,Carquinez Strait near Glencove Harbor,38.06529,-122.2152
NZ004,Carquinez Strait near Ozol Pier,38.03576,-122.1616
NZ032,Montezuma Slough; 2nd bend from mouth,38.16991,-122.0211
NZ068,Sacramento River below Rio Vista Bridge near United States Coast Guard station,38.14272,-121.6895
NZ325,San Pablo Bay near Rock Wall and Light 15,38.05798,-122.2919
NZS42,Suisun Slough @ Volanti Slough,38.18045,-122.0476
P8,San Joaquin River @ Buckley Cove,37.97817,-121.3823
TB,San Joaquin River @ Stockton Turning Basin,37.9523,-121.3173
