Kingdom,Phylum,Class,Genus,Taxon,AlgalGroup,Authority,Authority Source,Current Name,Synonym Authority,Synonym Authority Source,Taxonomic Classification Source,Growth Habit,Habitat Type,Salinity Range
Chromista,Ochrophyta,Coscinodiscophyceae,Acanthoceras,Acanthoceras sp.,Centric Diatoms,Honigmann,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes brevipes,Pennate Diatoms,Agardh,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,brackish to marine
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes cf. crenulata,Pennate Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes delicatula,Pennate Diatoms,Kützing,www.algaebase.org,Planothidium delicatulum, (Kützing) Round & L. Bukhtiyarova,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,benthic,brackish to marine
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes exigua,Pennate Diatoms,Grunow,www.algaebase.org,Lemnicola exigua,"(Grunow) Kulikovskiy, Witkowski and Plinski",www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes gibberula,Pennate Diatoms,Grunow,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes lanceolata,Pennate Diatoms,(Brébisson ex Kützing) Grunow,www.algaebase.org,Planothidium lanceolatum,(Brébisson ex Kützing) Lange-Bertalot,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Planothidium,Planothidium lanceolatum,Pennate Diatoms,(Brébisson ex Kützing) Grunow,www.algaebase.org,None,(Brébisson ex Kützing) Lange-Bertalot,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes linearis,Pennate Diatoms,(W. Smith) Grunow,www.algaebase.org,Achnanthidium lineare,W. Smith,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes minutissima,Pennate Diatoms,Kützing,www.algaebase.org,Achnanthidium minutissimum,(Kützing) Czarnecki,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes sp.,Pennate Diatoms,Bory de St.-Vincent,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes temperei,Pennate Diatoms,M. Peragallo,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Achnanthidium,Achnanthidium exiguum,Pennate Diatoms,(Grunow) D.B. Czarnecki,www.algaebase.org,Lemnicola exigua,"(Grunow) Kulikovskiy, Witkowski and Plinski",www.algaebase.org,Cavalier-Smith 1998,solitary,planktonic or benthic,freshwater
Chromista,Ochrophyta,Fragilariophyceae,Achnanthidium,Achnanthidium gracillimum,Pennate Diatoms,(F. Meister) Lange-Bertalot,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Achnanthidium,Achnanthidium minutissimum,Pennate Diatoms,(Kutzing) Czarnecki,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic or benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Achnanthidium,Achnanthidium sp.,Pennate Diatoms,Kützing,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic or benthic,freshwater to marine
Plantae,Chlorophyta,Chlorophyceae,Actinastrum,Actinastrum gracillimum,Green Algae,Smith,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Actinastrum,Actinastrum hantzschii,Green Algae,Lagerheim,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Actinastrum,Actinastrum sp.,Green Algae,Lagerheim,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,colonial,planktonic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Actinella,Actinella sp.,Pennate Diatoms,Lewis,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
Chromista,Ochrophyta,Coscinodiscophyceae,Actinocyclus,Actinocyclus cf. normanii,Centric Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Ochrophyta,Coscinodiscophyceae,Actinocyclus,Actinocyclus normanii,Centric Diatoms,(W. Gregory ex Greville) Hustedt,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Ochrophyta,Coscinodiscophyceae,Actinocyclus,Actinocyclus sp.,Centric Diatoms,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater to marine
Chromista,Ochrophyta,Coscinodiscophyceae,Actinoptychus,Actinoptychus senarius,Centric Diatoms,(Ehrenberg) Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Ochrophyta,Coscinodiscophyceae,Actinoptychus,Actinoptychus sp.,Centric Diatoms,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Ochrophyta,Bacillariophyceae,Adlafia,Adlafia sp.,Pennate Diatoms,"Gerd Moser, Lange-Bertalot, and Metzeltin",www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Adlafia,Adlafia suchlandtii,Pennate Diatoms,(Hustedt) Monnier & Ector,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic or benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Agmenellum,Agmenellum elegans,Cyanobacteria,Brébisson,www.itis.gov,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Agmenellum,Agmenellum sp.,Cyanobacteria,Brébisson,www.algaebase.org,Merismopedia sp.,F.J.F. Meyen,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Agmenellum,Agmenellum tenuissima,Cyanobacteria,Unknown,Unknown,Unknown,Unknown,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Protozoa,Dinozoa,Dinophyceae,Akashiwo,Akashiwo sanguinea,Dinoflagellates,(K. Hirasaka) G. Hansen and Ø. Moestrup,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Protozoa,Dinozoa,Dinophyceae,Alexandrium,Alexandrium catenella,Dinoflagellates,(Whedon and Kofoid) Balech,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Protozoa,Dinozoa,Dinophyceae,Alexandrium,Alexandrium sp.,Dinoflagellates,Halim,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Protozoa,Dinozoa,Dinophyceae,Alexandrium,Alexandrium sp. 2,Dinoflagellates,Halim,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Protozoa,Dinozoa,Dinophyceae,Alexandrium,Alexandrium tamarense,Dinoflagellates,(LeBour) E. Balech,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Ochrophyta,Bacillariophyceae,Amphicampa,Amphicampa mirabilis,Pennate Diatoms,Ehrenberg ex Ralfs,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Amphicampa,Amphicampa sp.,Pennate Diatoms,(Ehrenberg) Ralfs in Pritchard,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
Protozoa,Dinozoa,Dinophyceae,Amphidinium,Amphidinium sp.,Dinoflagellates,Claparède et Lachmann,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Amphipleura,Amphipleura pellucida,Pennate Diatoms,(Kützing) Kützing,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Amphipleura,Amphipleura sp.,Pennate Diatoms,Kützing,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
Chromista,Ochrophyta,Bacillariophyceae,Amphiprora,Amphiprora ornata,Pennate Diatoms,Bailey,www.algaebase.org,Entomoneis ornata,(Bailey) Reimer,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Amphiprora,Amphiprora paludosa,Pennate Diatoms,Smith,www.algaebase.org,Entomoneis paludosa,(W. Smith) Reimer,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,marine
Chromista,Ochrophyta,Bacillariophyceae,Amphiprora,Amphiprora sp.,Pennate Diatoms,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,freshwater to marine
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora cf. libyca,Pennate Diatoms,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,brackish
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora delicatissima,Pennate Diatoms,Krasske,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora holsatica,Pennate Diatoms,Hustedt,www.algaebase.org,Halamphora holsatica,(Hustedt) Levkov,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,brackish
