Kingdom,Phylum,Class,Genus,Name,AlgalGroup,CurrentName
Chromista,Ochrophyta,Coscinodiscophyceae,Acanthoceras,Acanthoceras sp.,Centric Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes brevipes,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes delicatula,Pennate Diatoms,Planothidium delicatulum
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes exigua,Pennate Diatoms,Lemnicola exigua
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes gibberula,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes lanceolata,Pennate Diatoms,Planothidium lanceolatum
Chromista,Ochrophyta,Bacillariophyceae,Planothidium,Planothidium lanceolatum,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes linearis,Pennate Diatoms,Achnanthidium lineare
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes minutissima,Pennate Diatoms,Achnanthidium minutissimum
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes temperei,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Achnanthidium,Achnanthidium exiguum,Pennate Diatoms,Lemnicola exigua
Chromista,Ochrophyta,Fragilariophyceae,Achnanthidium,Achnanthidium gracillimum,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Achnanthidium,Achnanthidium minutissimum,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Achnanthidium,Achnanthidium sp.,Pennate Diatoms,None
Plantae,Chlorophyta,Chlorophyceae,Actinastrum,Actinastrum gracillimum,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Actinastrum,Actinastrum hantzschii,Green Algae,None
Plantae,Chlorophyta,Chlorophyceae,Actinastrum,Actinastrum sp.,Green Algae,None
Chromista,Ochrophyta,Bacillariophyceae,Actinella,Actinella sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Actinocyclus,Actinocyclus normanii,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Actinocyclus,Actinocyclus sp.,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Actinoptychus,Actinoptychus senarius,Centric Diatoms,None
Chromista,Ochrophyta,Coscinodiscophyceae,Actinoptychus,Actinoptychus sp.,Centric Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Adlafia,Adlafia sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Adlafia,Adlafia suchlandtii,Pennate Diatoms,None
Bacteria,Cyanobacteria,Cyanophyceae,Agmenellum,Agmenellum elegans,Cyanobacteria,None
Bacteria,Cyanobacteria,Cyanophyceae,Agmenellum,Agmenellum sp.,Cyanobacteria,Merismopedia sp.
Bacteria,Cyanobacteria,Cyanophyceae,Agmenellum,Agmenellum tenuissima,Cyanobacteria,Unknown
Protozoa,Dinozoa,Dinophyceae,Akashiwo,Akashiwo sanguinea,Dinoflagellates,None
Protozoa,Dinozoa,Dinophyceae,Alexandrium,Alexandrium catenella,Dinoflagellates,None
Protozoa,Dinozoa,Dinophyceae,Alexandrium,Alexandrium sp.,Dinoflagellates,None
Protozoa,Dinozoa,Dinophyceae,Alexandrium,Alexandrium sp. 2,Dinoflagellates,None
Protozoa,Dinozoa,Dinophyceae,Alexandrium,Alexandrium tamarense,Dinoflagellates,None
Chromista,Ochrophyta,Bacillariophyceae,Amphicampa,Amphicampa mirabilis,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Amphicampa,Amphicampa sp.,Pennate Diatoms,None
Protozoa,Dinozoa,Dinophyceae,Amphidinium,Amphidinium sp.,Dinoflagellates,None
Chromista,Ochrophyta,Bacillariophyceae,Amphipleura,Amphipleura pellucida,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Amphipleura,Amphipleura sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Amphiprora,Amphiprora ornata,Pennate Diatoms,Entomoneis ornata
Chromista,Ochrophyta,Bacillariophyceae,Amphiprora,Amphiprora paludosa,Pennate Diatoms,Entomoneis paludosa
Chromista,Ochrophyta,Bacillariophyceae,Amphiprora,Amphiprora sp.,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora delicatissima,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora holsatica,Pennate Diatoms,Halamphora holsatica
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora libyca,Pennate Diatoms,None
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora normanii,Pennate Diatoms,Halamphora normanii
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora ovalis,Pennate Diatoms,None
