Lab,Organisms_per_mL,Cells_per_Unit,UnitAbundance,Factor,Cells_per_mL
EcoAnalysts,0.25,1,1,NA,0.25
EcoAnalysts,3.5,1,14,NA,3.5
EcoAnalysts,3.5,1,14,NA,3.5
EcoAnalysts,0.25,20,1,NA,5
EcoAnalysts,3,1,12,NA,3
EcoAnalysts,0.25,1,1,NA,0.25
EcoAnalysts,0.5,1,2,NA,0.5
EcoAnalysts,30.25,1,121,NA,30.25
EcoAnalysts,0.25,1,1,NA,0.25
EcoAnalysts,0.25,1,1,NA,0.25
EcoAnalysts,17,1,68,NA,17
EcoAnalysts,1.5,1,6,NA,1.5
EcoAnalysts,5,1,20,NA,5
EcoAnalysts,7.5,1,30,NA,7.5
EcoAnalysts,0.75,1,3,NA,0.75
EcoAnalysts,0.25,1,1,NA,0.25
EcoAnalysts,3.5,1,14,NA,3.5
EcoAnalysts,19.25,1,77,NA,19.25
EcoAnalysts,3.5,1,14,NA,3.5
EcoAnalysts,0.5,1,2,NA,0.5
EcoAnalysts,1.5,1,3,NA,1.5
EcoAnalysts,37.5,1,75,NA,37.5
EcoAnalysts,1.5,1,3,NA,1.5
EcoAnalysts,2,1,4,NA,2
EcoAnalysts,0.5,20,1,NA,10
EcoAnalysts,3.5,1,7,NA,3.5
EcoAnalysts,7.5,1,15,NA,7.5
EcoAnalysts,0.5,1,1,NA,0.5
EcoAnalysts,1.5,1,3,NA,1.5
EcoAnalysts,0.5,1,1,NA,0.5
EcoAnalysts,5,1,10,NA,5
EcoAnalysts,1,1,2,NA,1
EcoAnalysts,1.5,1,3,NA,1.5
EcoAnalysts,20.5,1,41,NA,20.5
EcoAnalysts,1.5,1,3,NA,1.5
EcoAnalysts,2,1,4,NA,2
EcoAnalysts,14,1,28,NA,14
EcoAnalysts,6.5,1,13,NA,6.5
EcoAnalysts,3,4,6,NA,12
EcoAnalysts,2,15,4,NA,30
EcoAnalysts,69,10,138,NA,690
EcoAnalysts,1,1,2,NA,1
EcoAnalysts,0.5,1,1,NA,0.5
EcoAnalysts,0.5,1,1,NA,0.5
EcoAnalysts,16.5,1,33,NA,16.5
EcoAnalysts,3,1,6,NA,3
EcoAnalysts,1,1,2,NA,1
EcoAnalysts,0.5,1,1,NA,0.5
EcoAnalysts,0.91,1,5,NA,0.91
EcoAnalysts,8,1,44,NA,8
EcoAnalysts,0.18,20,1,NA,3.5999999999999996
EcoAnalysts,0.91,1,5,NA,0.91
EcoAnalysts,1.45,1,8,NA,1.45
EcoAnalysts,1.09,1,6,NA,1.09
EcoAnalysts,1.09,1,6,NA,1.09
EcoAnalysts,0.36,1,2,NA,0.36
EcoAnalysts,19.45,1,107,NA,19.45
EcoAnalysts,0.36,1,2,NA,0.36
EcoAnalysts,0.18,1,1,NA,0.18
EcoAnalysts,0.91,1,5,NA,0.91
