Name,Genus,Species,Synonym/Current Name,,,Algal Group
Achnanthes cf. crenulata,Achnanthes,crenulata,None,,,
cf. Actinocyclus sp.,Actinocyclus,sp.,None,,,
Amphora cf. libyca,Amphora,libyca,None,,,
cf. Aneumastus sp.,Aneumastus,sp.,None,,,
Aphanizomenon cf. yezoense,Aphanizomenon,yezoense,None,,,
Aphanocapsa cf. delicatissima,Aphanocapsa,delicatissima,None,,,
cf. Astartiella sp.,Astartiella,sp.,None,,,
cf. Caloneis bacillum,Caloneis,bacillum,None,,,
Capartogramma sp.,Capartogramma,sp.,None,,,
cf. Chlamydomonas debaryana,Chlamydomonas,debaryana,None,,,
cf. Chlamydonephris sp.,Chlamydonephris,sp.,None,,,
cf. Chroococcus distans,Chroococcus,distans,None,,,
Chroomonas cf. coerulea,Chroomonas,coerulea,None,,,
cf. Coenochloris fottii,Coenochloris,fottii,None,,,
cf. Coenococcus sp.,Coenococcus,sp.,None,,,
Craticula cf. ambigua,Craticula,ambigua,None,,,
cf. Cyanophanon sp.,Cyanophanon,sp.,None,,,
Cyclotella cf. distinguenda,Cyclotella,distinguenda,None,,,
Cyclotella distinguenda,Cyclotella,distinguenda,None,,,
Cymbella tumida,Cymbella,tumida,None,,,
Desmodesmus opoliensis,Desmodesmus,opoliensis,None,,,
cf. Dictyochloris sp.,Dictyochloris,sp.,None,,,
Diploneis cf. parma,Diploneis,parma,None,,,
Encyonema cf. obscurum,Encyonema,obscurum,None,,,
Encyonema cf. neogracile,Encyonema,neogracile,None,,,
cf. Epipyxis sp.,Epipyxis,sp.,None,,,
Euglena cf. agilis,Euglena,agilis,None,,,
Eunotia cf. eruca,Eunotia,eruca,None,,,
cf. Fragilariopsis pseudonana,Fragilariopsis,pseudonana,None,,,
cf. Fragilariopsis sp.,Fragilariopsis,sp.,None,,,
Geissleria cf. punctifera,Geissleria,punctifera,None,,,
Geitlerinema cf. amphibium,Geitlerinema,amphibium,None,,,
cf. Glaucospira sp.,Glaucospira,sp.,None,,,
Gomphoneis herculeana,Gomphoneis,herculeana,None,,,
Gomphonema constricta,Gomphonema,constricta,None,,,
Gomphonema variostriatum,Gomphonema,variostriatum,None,,,
Gomphonema cf. kobayasii,Gomphonema,kobayasii,None,,,
Gomphonema cf. lagenula,Gomphonema,lagenula,None,,,
cf. Gomphosinica sp.,Gomphosinica,sp.,None,,,
Gyrosigma cf. fasciola var. globifera,Gyrosigma,fasciola,None,,,
Gyrosigma cf. obscurum,Gyrosigma,obscurum,None,,,
Gyrosigma cf. spencerii,Gyrosigma,spencerii,None,,,
Halamphora cf. latecostata,Halamphora,latecostata,None,,,
Hemidiscus cuneiforme var. ventricosa,Hemidiscus,cuneiforme,None,,,
cf. Heteroleibleinia sp.,Heteroleibleinia,sp.,None,,,
cf. Heterosigma inlandica,Heterosigma,inlandica,None,,,
Iconella tenera,Iconella,tenera,None,,,
Karlodinium cf. veneficum,Karlodinium,veneficum,None,,,
cf. Komvophoron sp.,Komvophoron,sp.,None,,,
cf. Korshikoviella limnetica,Korshikoviella,limnetica,None,,,
cf. Membraneis sp.,Membraneis,sp.,None,,,
Merismopedia warmigiana,Merismopedia,warmingiana,None,,,
cf. Microcostatus sp.,Microcostatus,sp.,None,,,
cf. Monoraphidium obtusum,Monoraphidium,obtusum,None,,,
cf. Myochloris sp.,Myochloris,sp.,None,,,
cf. Nannochloropsis sp.,Nannochloropsis,sp.,None,,,
cf. Nautococcus sp.,Nautococcus,sp.,None,,,
Navicula cf. subconcentrica,Navicula,subconcentrica,None,,,
Navicula cf. weberi,Navicula,weberi,None,,,
Navicula eidrigiana,Navicula,eidrigiana,None,,,
Navicula oppugnata,Navicula,oppugnata,None,,,
Navicula recens,Navicula,recens,None,,,
Navicula cf. cincta,Navicula,cincta,None,,,
Navicula cf. caterva,Navicula,caterva,None,,,
Navicula cf. eileeniae,Navicula,eileeniae,None,,,
Navicula cf. germainii,Navicula,germainii,None,,,
Navicula cf. gregaria,Navicula,gregaria,None,,,
Navicula cf. lanceolata,Navicula,lanceolata,None,,,
Navicula cf. rhynchotella,Navicula,rhynchotella,None,,,
Navicula cf. salinarum,Navicula,salinarum,None,,,
cf. Nephroselmis pyriformis,Nephroselmis,pyriformis,None,,,
Nitzschia cf. alpina,Nitzschia,alpina,None,,,
Nitzschia exilis,Nitzschia,exilis,None,,,
Nitzschia cf. balcanica,Nitzschia,balcanica,None,,,
Nitzschia cf. kurzeana,Nitzschia,kurzeana,None,,,
Nitzschia cf. minuta,Nitzschia,minuta,None,,,
Nitzschia cf. thermaloides,Nitzschia,thermaloides,None,,,
cf. Nupela sp.,Nupela,sp.,None,,,
cf. Oblea rotunda,Oblea,rotunda,None,,,
Pediastrum angulosum,Pediastrum,angulosum,None,,,
Phacus hamelii,Phacus,hamelii,None,,,
cf. Phalacroma sp.,Phalacroma,sp.,None,,,
cf. Plagioselmis sp.,Plagioselmis,sp.,None,,,
cf. Planothidium delicatulum,Planothidium,delicatulum,None,,,
cf. Psammothidium sp.,Psammothidium,sp.,None,,,
cf. Pseudanabaena sp.,Pseudanabaena,sp.,None,,,
cf. Pseudostaurosira parasitica,Pseudostaurosira,parasitica,None,,,
Pyramimonas cf. orientalis,Pyramimonas,orientalis,None,,,
cf. Rhabdoderma curtum,Rhabdoderma,curtum,None,,,
cf. Rhabdoderma lineare,Rhabdoderma,lineare,None,,,
Rusalka cf. fusiformis,Rusalka,fusiformis,None,,,
cf. Rusalka fusiformis,Rusalka,fusiformis,None,,,
Selenastrum gracile,Selenastrum,gracile,Messastrum gracile,,,
Sphaerospermopsis aphanizomenoides,Sphaerospermopsis,aphanizomenoides,None,,,
cf. Stauroforma sp.,Stauroforma,sp.,None,,,
cf. Staurosirella sp.,Staurosirella,sp.,None,,,
Staurosirella sp.,Staurosirella,sp.,None,,,
cf. Stephanocyclus sp.,Stephanocyclus,sp.,None,,,
Strombomonas acuminatus,Strombomonas,acuminatus,None,,,
Surirella iowensis,Surirella,iowensis,None,,,
cf. Synechococcus aquatilis,Synechococcus,aquatilis,None,,,
cf. Synechococcus nidulans,Synechococcus,nidulans,None,,,
Synedra cf. famelica,Synedra,famelica,None,,,
Thalassiosira decipiens,Thalassiosira,decipiens,None,,,
Thalassiosira bramaputrae,Thalassiosira,bramaputrae,None,,,
Thalassiosira cf. decipiens,Thalassiosira,decipiens,None,,,
cf. Tryblionella coarctata,Tryblionella,coarctata,None,,,
cf. Tryblionella sp.,Tryblionella,sp.,None,,,
Tryblionella cf. apiculata,Tryblionella,apiculata,None,,,
Tryblionella cf. hungarica,Tryblionella,hungarica,None,,,
Ulnaria cf. delicatissima,Ulnaria,delicatissima,None,,,
cf. Woronichinia elorantae,Woronichinia,elorantae,None,,,
cf. Xenococcus sp.,Xenococcus,sp.,None,,,
,,,,,,
Unknown Algae,Unknown,Unknown,None,,,Unknown
Unknown Banana Blue Green,Unknown,Unknown,Unknown cyanobacteria,,,cyanobacteria
Unknown centrales sp.,Unknown,Unknown,Unknown centric diatom,,,centric diatom
Unknown Centric diatom,Unknown,Unknown,Unknown centric diatom,,,centric diatom
Unknown centric sp.,Unknown,Unknown,Unknown centric diatom,,,centric diatom
