Kingdom,Phylum,Class,Genus,Taxon,Algal Type,Species,Authority,Authority Source,Current Name,Synonym Authority,Synonym Authority Source,Taxonomic Classification Source,Growth Habit,Habitat Type,Salinity Range
Chromista,Bacillariophyta,Bacillariophyceae,Capartogramma,Capartogramma sp.,Pennate Diatom,sp.,Kufferath,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyta,Bacillariophyceae,Microcostatus,cf. Microcostatus sp.,Pennate Diatom,sp.,J.R.Johansen & J.C.Sray,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,,,freshwater
Plantae,Chlorophyta,Chlorophyceae,Nautococcus,cf. Nautococcus sp.,Green alga,sp.,Korshikov,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,,,freshwater
Chromista,Bacillariophyta,Bacillariophyceae,Staurosirella,cf. Staurosirella sp.,Pennate Diatom,sp.,D.M.Wiliams & Round,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,Some colonial some solitary,Some benthic some planktonic,freshwater
Chromista,Bacillariophyta,Mediophyceae,Cyclotella,Cyclotella distinguenda,Centric Diatom,distinguenda,Hustedt ,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,,planktonic,freshwater
Chromista,Bacillariophyta,Bacillariophyceae,Cymbella,Cymbella tumida,Pennate Diatom,tumida,Van Heurck,www.algaebase.org,Basionym: Cocconema tumidum,Brébisson,www.algaebase.org,Cavalier-Smith 1998,Colony occasional,,freshwater
Chromista,Bacillariophyta,Bacillariophyceae,Encyonema,Encyonema cf. obscurum,Pennate Diatom,obscurum,D.G.Mann,www.algaebase.org,Basionym: Cymbella obscura,Krasske ,www.algaebase.org,Cavalier-Smith 1998,Colony occasional,benthic,freshwater
Chromista,Bacillariophyta,Bacillariophyceae,Gomphonema,Gomphonema constricta,Pennate Diatom,constricta,Hustedt,www.algaebase.org,Gomphonema lingulatum var. constrictum,Hustedt,www.algaebase.org,Cavalier-Smith 1998,Some colonial some solitary,,freshwater
Chromista,Bacillariophyta,Bacillariophyceae,Gomphonema,Gomphonema variostriatum,Pennate Diatom,variostriatum,K.E.Camburn & D.F.Charles,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,Some colonial some solitary,benthic,freshwater
Chromista,Bacillariophyta,Coscinodiscophyceae,Hemidiscus,Hemidiscus cuneiforme var. ventricosa,Centric Diatom,cuneiforme,Wallich ,www.algaebase.org,Actinocyclus cuneiformis,"F.Gómez, Lu Wang & Senjie Lin",www.algaebase.org,Cavalier-Smith 1998,,,marine
Chromista,Bacillariophyta,Bacillariophyceae,Iconella,Iconella tenera,Pennate Diatom,tenera,Ruck & Nakov,www.algaebase.org,Basionym: Surirella tenera,W.Gregory,www.algaebase.org,Cavalier-Smith 1998,Other Iconella are solitary,Other Iconella spp. are benthic,freshwatermarine
Unknown,Unknown,Unknown,Unknown,LGBs,Unknown,Unknown,Unknown,Unknown,None,N/A,N/A,Cavalier-Smith 1998,solitary,Unknown,Unknown
Eubacteria,Cyanobacteria,Cyanophyceae,Merismopedia,Merismopedia warmigiana,Cyanobacterium,warmingiana,Forti ,www.algaebase.org,Basionym: Merismopedia hyalina subsp. Warmingiana,Lagerheim ,www.algaebase.org,Cavalier-Smith 1998,,,freshwatermarinebrackish
Chromista,Bacillariophyta,Bacillariophyceae,Navicula,Navicula cf. cincta,Pennate Diatom,cincta,Ralfs,www.algaebase.org,Basionym: Pinnularia cincta,Ehrenberg,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyta,Bacillariophyceae,Navicula,Navicula cf. subconcentrica,Pennate Diatom,subconcentrica,Lange-Bertalot,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyta,Bacillariophyceae,Navicula,Navicula cf. weberi,Pennate Diatom,weberi,Bahls,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyta,Bacillariophyceae,Navicula,Navicula eidrigiana,Pennate Diatom,eidrigiana,J.R.Carter,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,Other Navicula are solitary,Other Navicula are benthic,freshwater
