MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,GALD,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,Organisms per mL,Total Cells Counted,Number of cells per unit
Phyto,2013-09-23T00:00:00Z,12:30:00,C3A,60,10,16.67%,0.0697,314.159,0.418478994,6,75.07,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,NA,3,15,NA,i,BSA.09-11,KS,"Moderate sediment and detritus, many diatom fragments.",elliptic prism,161.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.21,3,NA
Phyto,2013-09-23T00:00:00Z,12:30:00,C3A,60,10,16.67%,0.0697,314.159,0.418478994,6,75.07,99,Bacillaria paxillifer,Diatom,Bacillaria,paxillifer,NA,1,9.3,NA,i,BSA.09-11,KS,"Fragment. Moderate sediment and detritus, many diatom fragments.",box,390.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.07,1,NA
Phyto,2013-09-23T00:00:00Z,12:30:00,C3A,60,10,16.67%,0.0697,314.159,0.418478994,6,75.07,145,Cocconeis placentula,Diatom,Cocconeis,placentula,NA,4,13.1,NA,i,BSA.09-11,KS,"Moderate sediment and detritus, many diatom fragments.",elliptic prism,213.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,300.29,4,NA
Phyto,2013-09-23T00:00:00Z,12:30:00,C3A,60,10,16.67%,0.0697,314.159,0.418478994,6,75.07,191,Cyclotella spp.,Diatom,Cyclotella,spp.,NA,3,4.7,NA,i,BSA.09-11,KS,"Moderate sediment and detritus, many diatom fragments.",cylinder,64.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.21,3,NA
Phyto,2013-09-23T00:00:00Z,12:30:00,C3A,60,10,16.67%,0.0697,314.159,0.418478994,6,75.07,750,Nitzschia spp.,Diatom,Nitzschia,spp.,NA,3,13.1,NA,i,BSA.09-11,KS,"Fragment. Moderate sediment and detritus, many diatom fragments.",prism on parallelogram,89.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.21,3,NA
Phyto,2013-09-23T00:00:00Z,12:30:00,C3A,60,10,16.67%,0.0697,314.159,0.418478994,6,75.07,866,Pseudostaurosira brevistriata,Diatom,Pseudostaurosira,brevistriata,NA,1,9.3,NA,i,BSA.09-11,KS,"Moderate sediment and detritus, many diatom fragments.",box,151.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.07,1,NA
Phyto,2013-09-23T00:00:00Z,12:30:00,C3A,60,10,16.67%,0.0697,314.159,0.418478994,6,75.07,921,Staurosira sp.,Diatom,Stauroneis,sp.,NA,1,31.8,NA,i,BSA.09-11,KS,"Moderate sediment and detritus, many diatom fragments.",elliptic prism,1034.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.07,1,NA
Phyto,2013-09-23T00:00:00Z,12:30:00,C3A,60,10,16.67%,0.0697,314.159,0.418478994,6,75.07,976,Synedra ulna,Diatom,Synedra,ulna,NA,28,7.5,NA,i,BSA.09-11,KS,"Fragment. Moderate sediment and detritus, many diatom fragments.",box,122.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,2102.01,28,NA
Phyto,2013-09-23T00:00:00Z,12:30:00,C3A,60,10,16.67%,0.0697,314.159,0.418478994,6,75.07,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,NA,410,0.85,NA,c,BSA.09-11,KS,"Moderate sediment and detritus, many diatom fragments.",sphere,0.27,0.38,0.38,0.27,0.27,0.38,0.27,0.38,0.38,0.27,30779.37,829,NA
Phyto,2013-09-23T00:00:00Z,8:52:00,D19,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,95,Aulacoseira sp.,Diatom,Aulacoseira,sp.,NA,15,18.7,NA,i,BSA.09-15,KS,Moderate sediment.,cylinder,2186,NA,NA,NA,NA,NA,NA,NA,NA,NA,965.21,15,NA
Phyto,2013-09-23T00:00:00Z,8:52:00,D19,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,145,Cocconeis placentula,Diatom,Cocconeis,placentula,NA,2,15,NA,i,BSA.09-15,KS,Moderate sediment.,elliptic prism,326.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.69,2,NA
Phyto,2013-09-23T00:00:00Z,8:52:00,D19,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,190,Cyclotella sp.,Diatom,Cyclotella,sp.,NA,4,9.3,NA,i,BSA.09-15,KS,Moderate sediment.,cylinder,400.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,257.39,4,NA
Phyto,2013-09-23T00:00:00Z,8:52:00,D19,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,730,Nitzschia palea,Diatom,Nitzschia,palea,NA,1,33.6,NA,i,BSA.09-15,KS,Moderate sediment.,prism on parallelogram,292.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.35,1,NA
Phyto,2013-09-23T00:00:00Z,8:52:00,D19,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,1327,Pseudokephyrion pseudospirale,Soft Body,Pseudokephyrion,pseudospirale,NA,1,6.5,NA,i,BSA.09-15,KS,Moderate sediment.,ellipsoid,55.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.35,1,NA
Phyto,2013-09-23T00:00:00Z,8:52:00,D19,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,1341,Chroomonas rosenbergii,Soft Body,Chroomonas,rosenbergii,NA,1,7.5,NA,i,BSA.09-15,KS,Moderate sediment.,cone + half sphere,192.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.35,1,NA
Phyto,2013-09-23T00:00:00Z,8:52:00,D19,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,NA,380,0.85,NA,c,BSA.09-15,KS,Moderate sediment.,sphere,0.27,0.38,0.27,0.38,0.38,0.27,0.38,0.27,0.38,0.27,24451.9,761,NA
Phyto,2013-09-23T00:00:00Z,8:52:00,D19,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,NA,1,1.9,NA,c,BSA.09-15,KS,Moderate sediment.,sphere,3.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.35,4,NA
Phyto,2013-09-23T00:00:00Z,8:52:00,D19,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,1471,Merismopedia tenuissima,Soft Body,Merismopedia,tenuissima,NA,2,1.4,NA,c,BSA.09-15,KS,Moderate sediment.,cube,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.69,32,NA
Phyto,2013-09-23T00:00:00Z,8:52:00,D19,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,1660,cf. Chroococcus distans,Soft Body,Chroococcus,distans,NA,26,5.6,NA,c,BSA.09-15,KS,Moderate sediment.,sphere,91.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,1673.02,43,NA
Phyto,2013-09-23T00:00:00Z,9:56:00,D28A,60,10,16.67%,0.0697,314.159,0.557971992,8,56.3,95,Aulacoseira sp.,Diatom,Aulacoseira,sp.,NA,5,7.5,NA,i,BSA.09-14,KS,"Fragment. Moderate sediment, diatom fragments.",cylinder,331.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,281.52,5,NA
Phyto,2013-09-23T00:00:00Z,9:56:00,D28A,60,10,16.67%,0.0697,314.159,0.557971992,8,56.3,95,Aulacoseira sp.,Diatom,Aulacoseira,sp.,NA,9,17.8,NA,i,BSA.09-14,KS,"Moderate sediment, many diatom fragments.",cylinder,4180.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,506.73,9,NA
Phyto,2013-09-23T00:00:00Z,9:56:00,D28A,60,10,16.67%,0.0697,314.159,0.557971992,8,56.3,99,cf. Bacillaria paxillifer,Diatom,Bacillaria,paxillifer,NA,1,15,NA,i,BSA.09-14,KS,"Fragment. Moderate sediment, diatom fragments.",box,310.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.3,1,NA
