Pennate Diatom,Achnanthes
Centric Diatom,Aulacoseira
Pennate Diatom,Cocconeis
Green Alga,Coelastrum
Centric Diatom,Cyclotella
Pennate Diatom,Cymbella
Pennate Diatom,Diatoma
Pennate Diatom,Fragilaria
Pennate Diatom,Gomphoneis
Cryptophyte,Komma
NA,Unknown
Centric Diatom,Melosira
Pennate Diatom,Navicula
Pennate Diatom,Nitzschia
Cryptophyte,Rhodomonas
Pennate Diatom,Reimeria
Pennate Diatom,Rhoicosphenia
Pennate Diatom,Synedra
Euglenoid,Trachelomonas
Pennate Diatom,Bacillaria
Cryptophyte,Cryptomonas
Pennate Diatom,Cymatopleura
Pennate Diatom,Epithemia
Pennate Diatom,Gomphonema
Synurophyte,Mallomonas
Green Alga,Oocystis
Cyanobacterium,Oscillatoria
Cyanobacterium,Phormidium
Pennate Diatom,Rhopalodia
Green Alga,Schroederia
Pennate Diatom,Surirella
Centric Diatom,Thalassiosira
Pennate Diatom,Diploneis
Green Alga,Closteriopsis
Euglenoid,Euglena
Green Alga,Kirchneriella
Pennate Diatom,Gyrosigma
Green Alga,Ankistrodesmus
Pennate Diatom,Pinnularia
Cyanobacterium,Pseudanabaena
Chrysophyte,Unknown
Pennate Diatom,Hannaea
Pennate Diatom,Tabellaria
Centric Diatom,Biddulphia
Green Alga,Chlorococcum
Green Alga,Gloeocystis
Green Alga,Volvox
Dinoflagellate,Peridinium
Green Alga,Sphaerocystis
Pennate Diatom,Amphora
Green Alga,Chlamydomonas
Synurophyte,Synura
Green Alga,Crucigenia
Green Alga,Tetraedron
Pennate Diatom,Pleurosigma
Green Alga,Stigeoclonium
Euglenoid,Phacus
Green Alga,Pandorina
Green Alga,Scenedesmus
Pennate Diatom,Eunotia
Cyanobacterium,Microcystis
Chrysophyte,Ochromonas
Pennate Diatom,Caloneis
Cyanobacterium,Chroococcus
Cyanobacterium,Anabaena
Cyanobacterium,Aphanocapsa
Cyanobacterium,Eucapsis
Green Alga,Golenkinia
Green Alga,Raphidocelis
Green Alga,Lagerheimia
Green Alga,Selenastrum
Cyanobacterium,Synechococcus
Ciliate,Myrionecta
Centric Diatom,Coscinodiscus
Cyanobacterium,Coelosphaerium
Cyanobacterium,Gomphosphaeria
Dinoflagellate,Ceratium
Cyanobacterium,Merismopedia
Green Alga,Gonium
Green Alga,Rhizoclonium
Green Alga,Actinastrum
Pennate Diatom,Frustulia
Green Alga,Microspora
Dinoflagellate,Gonyaulax
Pennate Diatom,Stenopterobia
Pennate Diatom,Entomoneis
Cyanobacterium,Aphanothece
Cyanobacterium,Gloeocapsa
Green Alga,Nephrocytium
Centric diatom,Leptocylindrus
Green Alga,Cladophora
Green Alga,Closterium
Cyanobacterium,Planktolyngbya
Pennate Diatom,Mastogloia
Pennate Diatom,Neidium
Green Alga,Pediastrum
Green Alga,Tetrastrum
Green Alga,Dictyosphaerium
