SampleDate,SampleTime,Full Code,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Algal Type,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
1/16/2022,8:05,E0122B0013,D12,60,3,5.00%,0.0683,314.159,1.0245,15,102.22,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,11.1,,,i,BSA.01-01,CB,,elliptic prism,17.44,,,,,,,,,
1/16/2022,8:05,E0122B0013,D12,60,3,5.00%,0.0683,314.159,1.0245,15,102.22,145,Cocconeis placentula,Pennate Diatom,Cocconeis,placentula,,4,4,22.2,,,i,BSA.01-01,CB,,elliptic prism,986.68,,,,,,,,,
1/16/2022,8:05,E0122B0013,D12,60,3,5.00%,0.0683,314.159,1.0245,15,102.22,190,cf. Cyclotella sp.,Centric Diatom,Cyclotella,sp.,,2,2,9.3,,,i,BSA.01-01,CB,,cylinder,232.75,,,,,,,,,
1/16/2022,8:05,E0122B0013,D12,60,3,5.00%,0.0683,314.159,1.0245,15,102.22,273,Diatoma sp.,Pennate Diatom,Diatoma,sp.,,1,1,24.1,,,i,BSA.01-01,CB,,elliptic prism,296.79,,,,,,,,,
1/16/2022,8:05,E0122B0013,D12,60,3,5.00%,0.0683,314.159,1.0245,15,102.22,538,Melosira sp.,Centric Diatom,Melosira,sp.,,1,1,20.4,,,i,BSA.01-01,CB,,cylinder,3509.48,,,,,,,,,
1/16/2022,8:05,E0122B0013,D12,60,3,5.00%,0.0683,314.159,1.0245,15,102.22,631,Navicula sp.,Pennate Diatom,Navicula,sp.,,1,1,37,,,i,BSA.01-01,CB,,elliptic prism,795.65,,,,,,,,,
1/16/2022,8:05,E0122B0013,D12,60,3,5.00%,0.0683,314.159,1.0245,15,102.22,749,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,,3,3,37,,,i,BSA.01-01,CB,,prism on parallelogram,152.90,,,,,,,,,
1/16/2022,8:05,E0122B0013,D12,60,3,5.00%,0.0683,314.159,1.0245,15,102.22,1138,Monoraphidium sp.,Green Alga,Monoraphidium,sp.,,1,1,18.5,,,i,BSA.01-01,CB,,2 cones,34.97,,,,,,,,,
1/16/2022,8:05,E0122B0013,D12,60,3,5.00%,0.0683,314.159,1.0245,15,102.22,1419,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,,392,784,0.8,0.8,0.8,c,BSA.01-01,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
1/7/2022,8:15,E0122B0050,D26,57,4,7.02%,0.0683,314.159,1.0928,16,71.87,147,Cocconeis sp.,Pennate Diatom,Cocconeis,sp.,,1,1,24.1,,,i,BSA.01-02,AB,Moderate sediment and low detritus.,elliptic prism,586.77,,,,,,,,,
1/7/2022,8:15,E0122B0050,D26,57,4,7.02%,0.0683,314.159,1.0928,16,71.87,190,Cyclotella sp.,Centric Diatom,Cyclotella,sp.,,1,1,7,,,i,BSA.01-02,AB,Moderate sediment and low detritus.,cylinder,153.94,,,,,,,,,
