StationCode,Region,RegionAbbv
C3A,Northern Interior Delta,NID
D24,Northern Interior Delta,NID
NZ068,Northern Interior Delta,NID
C9,Southern Interior Delta,SID
C10A,Southern Interior Delta,SID
MD10A,Southern Interior Delta,SID
P8,Southern Interior Delta,SID
D16,Central Delta,CED
D19,Central Delta,CED
D26,Central Delta,CED
D28A,Central Delta,CED
D4,Confluence,CON
D10,Confluence,CON
D12,Confluence,CON
D22,Confluence,CON
D7,Grizzly and Suisun Bay,GSB
D8,Grizzly and Suisun Bay,GSB
NZ032,Grizzly and Suisun Bay,GSB
NZS42,Grizzly and Suisun Bay,GSB
D6,San Pablo Bay,SPB
D41,San Pablo Bay,SPB
D41A,San Pablo Bay,SPB
NZ002,San Pablo Bay,SPB
NZ004,San Pablo Bay,SPB
NZ325,San Pablo Bay,SPB
EZ2,Entrapment Zone,EZ
EZ2-SJR,Entrapment Zone,EZ
EZ6,Entrapment Zone,EZ
EZ6-SJR,Entrapment Zone,EZ
