SampleDate,StationCode,Month,Year,Region,RegionAbbv,Genus,Units.per.mL,BV.um3.per.mL
2022-01-05,C10A,Jan,2022,Southern Interior Delta,SID,Cyclotella,451.77,69947.5491
2022-01-05,C10A,Jan,2022,Southern Interior Delta,SID,Eucapsis,15606.6,5618.375999999999
2022-01-05,C10A,Jan,2022,Southern Interior Delta,SID,Navicula,205.35,58060.659
2022-01-05,C10A,Jan,2022,Southern Interior Delta,SID,Nitzschia,164.28,10073.6496
2022-01-05,C10A,Jan,2022,Southern Interior Delta,SID,Plagioselmis,164.28,50958.0132
2022-01-05,C10A,Jan,2022,Southern Interior Delta,SID,Planktolyngbya,41.07,902.7186
2022-01-05,C10A,Jan,2022,Southern Interior Delta,SID,Sellaphora,41.07,12750.5922
2022-01-05,C3A,Jan,2022,Northern Interior Delta,NID,Achnanthidium,88.46,38142.182799999995
2022-01-05,C3A,Jan,2022,Northern Interior Delta,NID,Cocconeis,88.46,14457.0178
2022-01-05,C3A,Jan,2022,Northern Interior Delta,NID,Cyclotella,88.46,22232.6518
2022-01-05,C3A,Jan,2022,Northern Interior Delta,NID,Eucapsis,34587.86,12610.8576
2022-01-05,C3A,Jan,2022,Northern Interior Delta,NID,Monoraphidium,88.46,1979.7347999999997
2022-01-05,C3A,Jan,2022,Northern Interior Delta,NID,Navicula,88.46,9253.800599999999
2022-01-05,C3A,Jan,2022,Northern Interior Delta,NID,Nitzschia,176.92,27400.485
2022-01-05,C3A,Jan,2022,Northern Interior Delta,NID,Plagioselmis,176.92,69393.3316
2022-01-05,C3A,Jan,2022,Northern Interior Delta,NID,Ulnaria,88.46,253671.43439999997
2022-01-05,C9,Jan,2022,Southern Interior Delta,SID,Cocconeis,121.04,134583.1656
2022-01-05,C9,Jan,2022,Southern Interior Delta,SID,Encyonema,60.52,2099.4388
2022-01-05,C9,Jan,2022,Southern Interior Delta,SID,Eucapsis,25236.84,7995.902400000001
2022-01-05,C9,Jan,2022,Southern Interior Delta,SID,Plagioselmis,302.6,46325.03400000001
2022-01-06,D16,Jan,2022,Central Delta,CED,Achnanthidium,51.11,3132.5319
2022-01-06,D16,Jan,2022,Central Delta,CED,Cocconeis,204.44,276255.68319999997
2022-01-06,D16,Jan,2022,Central Delta,CED,Cryptomonas,153.32999999999998,69878.6142
2022-01-06,D16,Jan,2022,Central Delta,CED,Cyclotella,204.44,27538.067999999996
2022-01-06,D16,Jan,2022,Central Delta,CED,Eucapsis,20648.44,7433.4384
2022-01-06,D16,Jan,2022,Central Delta,CED,Gomphonema,51.11,3669.1869
2022-01-06,D16,Jan,2022,Central Delta,CED,Nitzschia,51.11,664.43
2022-01-06,D16,Jan,2022,Central Delta,CED,Planktolyngbya,102.22,2567.7664
2022-01-06,D19,Jan,2022,Central Delta,CED,Eucapsis,19403.55,6985.277999999998
2022-01-06,D19,Jan,2022,Central Delta,CED,Microcystis,47.91,4571.5722
2022-01-06,D19,Jan,2022,Central Delta,CED,Monoraphidium,47.91,948.1388999999999
2022-01-06,D19,Jan,2022,Central Delta,CED,Navicula,47.91,12011.036999999998
2022-01-06,D19,Jan,2022,Central Delta,CED,Nitzschia,47.91,12870.063299999998
2022-01-06,D19,Jan,2022,Central Delta,CED,Plagioselmis,239.54999999999998,92749.44810000001
2022-01-06,D19,Jan,2022,Central Delta,CED,Planothidium,47.91,4176.7938
2022-01-06,D28A,Jan,2022,Central Delta,CED,Achnanthidium,57.5,3603.525
2022-01-06,D28A,Jan,2022,Central Delta,CED,Cocconeis,28.75,9348.0625
2022-01-06,D28A,Jan,2022,Central Delta,CED,Cyclotella,28.75,6182.4
2022-01-06,D28A,Jan,2022,Central Delta,CED,Eucapsis,11356.25,4088.2499999999995
2022-01-06,D28A,Jan,2022,Central Delta,CED,Navicula,28.75,7207.625
2022-01-06,D28A,Jan,2022,Central Delta,CED,Nitzschia,28.75,2052.75
