SampleID,SampleDate,StationCode,Month,Year,Region,RegionAbbv,Genus,Units.per.mL,BV.um3.per.mL
C10A.Jan.2022,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Cyclotella,451.77,69947.5491
C10A.Jan.2022,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Eucapsis,15606.6,5618.376
C10A.Jan.2022,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Navicula,205.35,58060.659
C10A.Jan.2022,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Nitzschia,164.28,10073.6496
C10A.Jan.2022,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Plagioselmis,164.28,50958.0132
C10A.Jan.2022,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Planktolyngbya,41.07,902.7186
C10A.Jan.2022,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Sellaphora,41.07,12750.5922
C3A.Jan.2022,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Achnanthidium,88.46,38142.1828
C3A.Jan.2022,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Cocconeis,88.46,14457.0178
C3A.Jan.2022,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Cyclotella,88.46,22232.6518
C3A.Jan.2022,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Eucapsis,34587.86,12610.8576
C3A.Jan.2022,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Monoraphidium,88.46,1979.7348
C3A.Jan.2022,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Navicula,88.46,9253.8006
C3A.Jan.2022,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Nitzschia,176.92,27400.485
C3A.Jan.2022,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Plagioselmis,176.92,69393.3316
C3A.Jan.2022,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Ulnaria,88.46,253671.4344
C9.Jan.2022,1/5/2022,C9,Jan,2022,Southern Interior Delta,SID,Cocconeis,121.04,134583.1656
C9.Jan.2022,1/5/2022,C9,Jan,2022,Southern Interior Delta,SID,Encyonema,60.52,2099.4388
C9.Jan.2022,1/5/2022,C9,Jan,2022,Southern Interior Delta,SID,Eucapsis,25236.84,7995.9024
C9.Jan.2022,1/5/2022,C9,Jan,2022,Southern Interior Delta,SID,Plagioselmis,302.6,46325.034
D16.Jan.2022,1/6/2022,D16,Jan,2022,Central Delta,CED,Achnanthidium,51.11,3132.5319
D16.Jan.2022,1/6/2022,D16,Jan,2022,Central Delta,CED,Cocconeis,204.44,276255.6832
D16.Jan.2022,1/6/2022,D16,Jan,2022,Central Delta,CED,Cryptomonas,153.33,69878.6142
D16.Jan.2022,1/6/2022,D16,Jan,2022,Central Delta,CED,Cyclotella,204.44,27538.068
D16.Jan.2022,1/6/2022,D16,Jan,2022,Central Delta,CED,Eucapsis,20648.44,7433.4384
D16.Jan.2022,1/6/2022,D16,Jan,2022,Central Delta,CED,Gomphonema,51.11,3669.1869
D16.Jan.2022,1/6/2022,D16,Jan,2022,Central Delta,CED,Nitzschia,51.11,664.43
D16.Jan.2022,1/6/2022,D16,Jan,2022,Central Delta,CED,Planktolyngbya,102.22,2567.7664
D19.Jan.2022,1/6/2022,D19,Jan,2022,Central Delta,CED,Eucapsis,19403.55,6985.278
D19.Jan.2022,1/6/2022,D19,Jan,2022,Central Delta,CED,Microcystis,47.91,4571.5722
D19.Jan.2022,1/6/2022,D19,Jan,2022,Central Delta,CED,Monoraphidium,47.91,948.1389
D19.Jan.2022,1/6/2022,D19,Jan,2022,Central Delta,CED,Navicula,47.91,12011.037
D19.Jan.2022,1/6/2022,D19,Jan,2022,Central Delta,CED,Nitzschia,47.91,12870.0633
D19.Jan.2022,1/6/2022,D19,Jan,2022,Central Delta,CED,Plagioselmis,239.55,92749.4481
D19.Jan.2022,1/6/2022,D19,Jan,2022,Central Delta,CED,Planothidium,47.91,4176.7938
D28A.Jan.2022,1/6/2022,D28A,Jan,2022,Central Delta,CED,Achnanthidium,57.5,3603.525
D28A.Jan.2022,1/6/2022,D28A,Jan,2022,Central Delta,CED,Cocconeis,28.75,9348.0625
D28A.Jan.2022,1/6/2022,D28A,Jan,2022,Central Delta,CED,Cyclotella,28.75,6182.4
D28A.Jan.2022,1/6/2022,D28A,Jan,2022,Central Delta,CED,Eucapsis,11356.25,4088.25
D28A.Jan.2022,1/6/2022,D28A,Jan,2022,Central Delta,CED,Navicula,28.75,7207.625
D28A.Jan.2022,1/6/2022,D28A,Jan,2022,Central Delta,CED,Nitzschia,28.75,2052.75
D28A.Jan.2022,1/6/2022,D28A,Jan,2022,Central Delta,CED,Plagioselmis,86.25,6585.1875
D26.Jan.2022,1/7/2022,D26,Jan,2022,Central Delta,CED,Cocconeis,71.87,42171.1599
D26.Jan.2022,1/7/2022,D26,Jan,2022,Central Delta,CED,Cyclotella,71.87,11063.6678
D26.Jan.2022,1/7/2022,D26,Jan,2022,Central Delta,CED,Eucapsis,29826.05,10737.378
D26.Jan.2022,1/7/2022,D26,Jan,2022,Central Delta,CED,Navicula,71.87,52630.401
D26.Jan.2022,1/7/2022,D26,Jan,2022,Central Delta,CED,Nitzschia,143.74,12613.185
D26.Jan.2022,1/7/2022,D26,Jan,2022,Central Delta,CED,Plagioselmis,143.74,56379.1402
MD10A.Jan.2022,1/7/2022,MD10A,Jan,2022,Southern Interior Delta,SID,Cocconeis,60.12,18116.5608
MD10A.Jan.2022,1/7/2022,MD10A,Jan,2022,Southern Interior Delta,SID,Eucapsis,11933.82,4296.1752
MD10A.Jan.2022,1/7/2022,MD10A,Jan,2022,Southern Interior Delta,SID,Ochromonas,30.06,3018.024
P8.Jan.2022,1/7/2022,P8,Jan,2022,Southern Interior Delta,SID,Cocconeis,82.14,22140.837
P8.Jan.2022,1/7/2022,P8,Jan,2022,Southern Interior Delta,SID,Eucapsis,32773.86,11798.5896
P8.Jan.2022,1/7/2022,P8,Jan,2022,Southern Interior Delta,SID,Nitzschia,82.14,19146.834
P8.Jan.2022,1/7/2022,P8,Jan,2022,Southern Interior Delta,SID,Staurosira,82.14,2694.192
D22.Jan.2022,1/10/2022,D22,Jan,2022,Confluence,CON,Achnanthidium,131.43,7618.9971
D22.Jan.2022,1/10/2022,D22,Jan,2022,Confluence,CON,Aulacoseira,87.62,97601.6704
D22.Jan.2022,1/10/2022,D22,Jan,2022,Confluence,CON,Cocconeis,43.81,26799.4532
D22.Jan.2022,1/10/2022,D22,Jan,2022,Confluence,CON,Cryptomonas,43.81,44044.3835
D22.Jan.2022,1/10/2022,D22,Jan,2022,Confluence,CON,Cyclotella,131.43,41067.9321
D22.Jan.2022,1/10/2022,D22,Jan,2022,Confluence,CON,Eucapsis,17173.52,6182.4672
D22.Jan.2022,1/10/2022,D22,Jan,2022,Confluence,CON,Melosira,43.81,181636.6981
D22.Jan.2022,1/10/2022,D22,Jan,2022,Confluence,CON,Nitzschia,306.67,33411.6965
D22.Jan.2022,1/10/2022,D22,Jan,2022,Confluence,CON,Plagioselmis,87.62,15741.8092
D4.Jan.2022,1/10/2022,D4,Jan,2022,Confluence,CON,Achnanthidium,153.32,10019.462
D4.Jan.2022,1/10/2022,D4,Jan,2022,Confluence,CON,Cocconeis,153.32,103900.3644
D4.Jan.2022,1/10/2022,D4,Jan,2022,Confluence,CON,Eucapsis,63474.48,22850.8128
D4.Jan.2022,1/10/2022,D4,Jan,2022,Confluence,CON,Plagioselmis,153.32,25057.0876
NZ068.Jan.2022,1/10/2022,NZ068,Jan,2022,Northern Interior Delta,NID,Achnanthidium,41.82,3074.1882
NZ068.Jan.2022,1/10/2022,NZ068,Jan,2022,Northern Interior Delta,NID,Aulacoseira,334.56,105466.6944
NZ068.Jan.2022,1/10/2022,NZ068,Jan,2022,Northern Interior Delta,NID,Cocconeis,41.82,12297.171
NZ068.Jan.2022,1/10/2022,NZ068,Jan,2022,Northern Interior Delta,NID,Cyclotella,41.82,34999.9944
NZ068.Jan.2022,1/10/2022,NZ068,Jan,2022,Northern Interior Delta,NID,Eucapsis,16644.36,5991.9696
NZ068.Jan.2022,1/10/2022,NZ068,Jan,2022,Northern Interior Delta,NID,Nitzschia,125.46,11837.151
NZ068.Jan.2022,1/10/2022,NZ068,Jan,2022,Northern Interior Delta,NID,Plagioselmis,83.64,6385.914
NZ068.Jan.2022,1/10/2022,NZ068,Jan,2022,Northern Interior Delta,NID,Ulnaria,41.82,316313.5158
D10.Jan.2022,1/11/2022,D10,Jan,2022,Confluence,CON,Achnanthidium,270.58,3953.1738
D10.Jan.2022,1/11/2022,D10,Jan,2022,Confluence,CON,Cyclotella,541.16,182939.138
D10.Jan.2022,1/11/2022,D10,Jan,2022,Confluence,CON,Eucapsis,53845.42,19384.3512
D10.Jan.2022,1/11/2022,D10,Jan,2022,Confluence,CON,Nitzschia,135.29,4422.6301
D10.Jan.2022,1/11/2022,D10,Jan,2022,Confluence,CON,Plagioselmis,135.29,46562.7593
D6.Jan.2022,1/11/2022,D6,Jan,2022,San Pablo Bay,SPB,Cryptomonas,102.22,38101.4828
D6.Jan.2022,1/11/2022,D6,Jan,2022,San Pablo Bay,SPB,Cyclotella,204.44,130919.2872
D6.Jan.2022,1/11/2022,D6,Jan,2022,San Pablo Bay,SPB,Eucapsis,40376.9,14535.684
D6.Jan.2022,1/11/2022,D6,Jan,2022,San Pablo Bay,SPB,Plagioselmis,204.44,17105.4948
D8.Jan.2022,1/11/2022,D8,Jan,2022,Grizzly and Suisun Bay,GSB,Cocconeis,153.32,17559.7396
D8.Jan.2022,1/11/2022,D8,Jan,2022,Grizzly and Suisun Bay,GSB,Cyclotella,459.96,344385.8508
D8.Jan.2022,1/11/2022,D8,Jan,2022,Grizzly and Suisun Bay,GSB,Eucapsis,62861.2,22630.032
EZ2.Jan.2022,1/11/2022,EZ2,Jan,2022,Entrapment Zone,EZ,Eucapsis,49063.04,17662.6944
EZ2.Jan.2022,1/11/2022,EZ2,Jan,2022,Entrapment Zone,EZ,Nitzschia,117.94,2653.65
EZ2.Jan.2022,1/11/2022,EZ2,Jan,2022,Entrapment Zone,EZ,Pseudanabaena,117.94,4453.4144
EZ6.Jan.2022,1/11/2022,EZ6,Jan,2022,Entrapment Zone,EZ,Aulacoseira,836.28,211077.072
EZ6.Jan.2022,1/11/2022,EZ6,Jan,2022,Entrapment Zone,EZ,Cryptomonas,139.38,2342.9778
EZ6.Jan.2022,1/11/2022,EZ6,Jan,2022,Entrapment Zone,EZ,Eucapsis,60909.06,21927.2616
EZ6.Jan.2022,1/11/2022,EZ6,Jan,2022,Entrapment Zone,EZ,Nitzschia,278.76,15440.5164
EZ6.Jan.2022,1/11/2022,EZ6,Jan,2022,Entrapment Zone,EZ,Planothidium,139.38,10509.252
D7.Jan.2022,1/12/2022,D7,Jan,2022,Grizzly and Suisun Bay,GSB,Cyclotella,191.65,48167.3945
D7.Jan.2022,1/12/2022,D7,Jan,2022,Grizzly and Suisun Bay,GSB,Eucapsis,78576.5,28287.54
D7.Jan.2022,1/12/2022,D7,Jan,2022,Grizzly and Suisun Bay,GSB,Plagioselmis,383.3,29264.955
NZ032.Jan.2022,1/12/2022,NZ032,Jan,2022,Grizzly and Suisun Bay,GSB,Cyclotella,229.98,35403.1212
NZ032.Jan.2022,1/12/2022,NZ032,Jan,2022,Grizzly and Suisun Bay,GSB,Entomoneis,229.98,433068.4386
NZ032.Jan.2022,1/12/2022,NZ032,Jan,2022,Grizzly and Suisun Bay,GSB,Eucapsis,97281.54,35021.3544
NZS42.Jan.2022,1/12/2022,NZS42,Jan,2022,Grizzly and Suisun Bay,GSB,Achnanthidium,143.74,7381.049
NZS42.Jan.2022,1/12/2022,NZS42,Jan,2022,Grizzly and Suisun Bay,GSB,Cyclotella,287.48,89828.8756
