SampleID,Genus,BV.um3.per.mL,,SampleDate,StationCode,Month,Year,Region,RegionAbbv
C10A.Jan.2022,Cyclotella,69947.5491,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID
C10A.Jan.2022,Eucapsis,5618.376,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID
C10A.Jan.2022,Navicula,58060.659,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID
C10A.Jan.2022,Nitzschia,10073.6496,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID
C10A.Jan.2022,Plagioselmis,50958.0132,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID
C10A.Jan.2022,Planktolyngbya,902.7186,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID
C10A.Jan.2022,Sellaphora,12750.5922,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID
C3A.Jan.2022,Achnanthidium,38142.1828,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID
C3A.Jan.2022,Cocconeis,14457.0178,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID
C3A.Jan.2022,Cyclotella,22232.6518,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID
C3A.Jan.2022,Eucapsis,12610.8576,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID
C3A.Jan.2022,Monoraphidium,1979.7348,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID
C3A.Jan.2022,Navicula,9253.8006,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID
C3A.Jan.2022,Nitzschia,27400.485,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID
C3A.Jan.2022,Plagioselmis,69393.3316,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID
C3A.Jan.2022,Ulnaria,253671.4344,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID
C9.Jan.2022,Cocconeis,134583.1656,,1/5/2022,C9,Jan,2022,Southern Interior Delta,SID
C9.Jan.2022,Encyonema,2099.4388,,1/5/2022,C9,Jan,2022,Southern Interior Delta,SID
C9.Jan.2022,Eucapsis,7995.9024,,1/5/2022,C9,Jan,2022,Southern Interior Delta,SID
C9.Jan.2022,Plagioselmis,46325.034,,1/5/2022,C9,Jan,2022,Southern Interior Delta,SID
D16.Jan.2022,Achnanthidium,3132.5319,,1/6/2022,D16,Jan,2022,Central Delta,CED
D16.Jan.2022,Cocconeis,276255.6832,,1/6/2022,D16,Jan,2022,Central Delta,CED
D16.Jan.2022,Cryptomonas,69878.6142,,1/6/2022,D16,Jan,2022,Central Delta,CED
D16.Jan.2022,Cyclotella,27538.068,,1/6/2022,D16,Jan,2022,Central Delta,CED
D16.Jan.2022,Eucapsis,7433.4384,,1/6/2022,D16,Jan,2022,Central Delta,CED
D16.Jan.2022,Gomphonema,3669.1869,,1/6/2022,D16,Jan,2022,Central Delta,CED
D16.Jan.2022,Nitzschia,664.43,,1/6/2022,D16,Jan,2022,Central Delta,CED
D16.Jan.2022,Planktolyngbya,2567.7664,,1/6/2022,D16,Jan,2022,Central Delta,CED
D19.Jan.2022,Eucapsis,6985.278,,1/6/2022,D19,Jan,2022,Central Delta,CED
D19.Jan.2022,Microcystis,4571.5722,,1/6/2022,D19,Jan,2022,Central Delta,CED
D19.Jan.2022,Monoraphidium,948.1389,,1/6/2022,D19,Jan,2022,Central Delta,CED
D19.Jan.2022,Navicula,12011.037,,1/6/2022,D19,Jan,2022,Central Delta,CED
D19.Jan.2022,Nitzschia,12870.0633,,1/6/2022,D19,Jan,2022,Central Delta,CED
D19.Jan.2022,Plagioselmis,92749.4481,,1/6/2022,D19,Jan,2022,Central Delta,CED
D19.Jan.2022,Planothidium,4176.7938,,1/6/2022,D19,Jan,2022,Central Delta,CED
D28A.Jan.2022,Achnanthidium,3603.525,,1/6/2022,D28A,Jan,2022,Central Delta,CED
D28A.Jan.2022,Cocconeis,9348.0625,,1/6/2022,D28A,Jan,2022,Central Delta,CED
D28A.Jan.2022,Cyclotella,6182.4,,1/6/2022,D28A,Jan,2022,Central Delta,CED
D28A.Jan.2022,Eucapsis,4088.25,,1/6/2022,D28A,Jan,2022,Central Delta,CED
D28A.Jan.2022,Navicula,7207.625,,1/6/2022,D28A,Jan,2022,Central Delta,CED
D28A.Jan.2022,Nitzschia,2052.75,,1/6/2022,D28A,Jan,2022,Central Delta,CED
D28A.Jan.2022,Plagioselmis,6585.1875,,1/6/2022,D28A,Jan,2022,Central Delta,CED
D26.Jan.2022,Cocconeis,42171.1599,,1/7/2022,D26,Jan,2022,Central Delta,CED
D26.Jan.2022,Cyclotella,11063.6678,,1/7/2022,D26,Jan,2022,Central Delta,CED
D26.Jan.2022,Eucapsis,10737.378,,1/7/2022,D26,Jan,2022,Central Delta,CED
D26.Jan.2022,Navicula,52630.401,,1/7/2022,D26,Jan,2022,Central Delta,CED
D26.Jan.2022,Nitzschia,12613.185,,1/7/2022,D26,Jan,2022,Central Delta,CED
D26.Jan.2022,Plagioselmis,56379.1402,,1/7/2022,D26,Jan,2022,Central Delta,CED
MD10A.Jan.2022,Cocconeis,18116.5608,,1/7/2022,MD10A,Jan,2022,Southern Interior Delta,SID
MD10A.Jan.2022,Eucapsis,4296.1752,,1/7/2022,MD10A,Jan,2022,Southern Interior Delta,SID
MD10A.Jan.2022,Ochromonas,3018.024,,1/7/2022,MD10A,Jan,2022,Southern Interior Delta,SID
P8.Jan.2022,Cocconeis,22140.837,,1/7/2022,P8,Jan,2022,Southern Interior Delta,SID
P8.Jan.2022,Eucapsis,11798.5896,,1/7/2022,P8,Jan,2022,Southern Interior Delta,SID
P8.Jan.2022,Nitzschia,19146.834,,1/7/2022,P8,Jan,2022,Southern Interior Delta,SID
