SampleDate,StationCode,Month,Year,Region,RegionAbbv,AlgalType,Units.per.mL,BV.um3.per.mL
2022-01-05,C10A,Jan,2022,Southern Interior Delta,SID,Centric Diatom,451.77,69947.5491
2022-01-05,C10A,Jan,2022,Southern Interior Delta,SID,Cryptophyte,164.28,50958.0132
2022-01-05,C10A,Jan,2022,Southern Interior Delta,SID,Cyanobacterium,15647.67,6521.094599999999
2022-01-05,C10A,Jan,2022,Southern Interior Delta,SID,Pennate Diatom,410.7,80884.9008
2022-01-05,C3A,Jan,2022,Northern Interior Delta,NID,Centric Diatom,88.46,22232.6518
2022-01-05,C3A,Jan,2022,Northern Interior Delta,NID,Cryptophyte,176.92,69393.3316
2022-01-05,C3A,Jan,2022,Northern Interior Delta,NID,Cyanobacterium,34587.86,12610.8576
2022-01-05,C3A,Jan,2022,Northern Interior Delta,NID,Green Alga,88.46,1979.7347999999997
2022-01-05,C3A,Jan,2022,Northern Interior Delta,NID,Pennate Diatom,530.76,342924.92059999995
2022-01-05,C9,Jan,2022,Southern Interior Delta,SID,Cryptophyte,302.6,46325.03400000001
2022-01-05,C9,Jan,2022,Southern Interior Delta,SID,Cyanobacterium,25236.84,7995.902400000001
2022-01-05,C9,Jan,2022,Southern Interior Delta,SID,Pennate Diatom,181.56,136682.6044
2022-01-06,D16,Jan,2022,Central Delta,CED,Centric Diatom,204.44,27538.067999999996
2022-01-06,D16,Jan,2022,Central Delta,CED,Cryptophyte,153.32999999999998,69878.6142
2022-01-06,D16,Jan,2022,Central Delta,CED,Cyanobacterium,20750.66,10001.2048
2022-01-06,D16,Jan,2022,Central Delta,CED,Pennate Diatom,357.77,283721.832
2022-01-06,D19,Jan,2022,Central Delta,CED,Cryptophyte,239.54999999999998,92749.44810000001
2022-01-06,D19,Jan,2022,Central Delta,CED,Cyanobacterium,19451.46,11556.850199999997
2022-01-06,D19,Jan,2022,Central Delta,CED,Green Alga,47.91,948.1388999999999
2022-01-06,D19,Jan,2022,Central Delta,CED,Pennate Diatom,143.73,29057.894099999998
2022-01-06,D28A,Jan,2022,Central Delta,CED,Centric Diatom,28.75,6182.4
2022-01-06,D28A,Jan,2022,Central Delta,CED,Cryptophyte,86.25,6585.187499999999
2022-01-06,D28A,Jan,2022,Central Delta,CED,Cyanobacterium,11356.25,4088.2499999999995
2022-01-06,D28A,Jan,2022,Central Delta,CED,Pennate Diatom,143.75,22211.9625
2022-01-07,D26,Jan,2022,Central Delta,CED,Centric Diatom,71.87,11063.667800000001
2022-01-07,D26,Jan,2022,Central Delta,CED,Cryptophyte,143.74,56379.14020000001
2022-01-07,D26,Jan,2022,Central Delta,CED,Cyanobacterium,29826.050000000003,10737.378
2022-01-07,D26,Jan,2022,Central Delta,CED,Pennate Diatom,287.48,107414.7459
2022-01-07,MD10A,Jan,2022,Southern Interior Delta,SID,Chrysophyte,30.06,3018.024
2022-01-07,MD10A,Jan,2022,Southern Interior Delta,SID,Cyanobacterium,11933.82,4296.1752
2022-01-07,MD10A,Jan,2022,Southern Interior Delta,SID,Pennate Diatom,60.12,18116.5608
2022-01-07,P8,Jan,2022,Southern Interior Delta,SID,Cyanobacterium,32773.86,11798.5896
2022-01-07,P8,Jan,2022,Southern Interior Delta,SID,Pennate Diatom,246.42000000000002,43981.863
2022-01-10,D22,Jan,2022,Confluence,CON,Centric Diatom,262.86,320306.3006
2022-01-10,D22,Jan,2022,Confluence,CON,Cryptophyte,131.43,59786.1927
2022-01-10,D22,Jan,2022,Confluence,CON,Cyanobacterium,17173.52,6182.467200000001
2022-01-10,D22,Jan,2022,Confluence,CON,Pennate Diatom,481.91,67830.1468
2022-01-10,D4,Jan,2022,Confluence,CON,Cryptophyte,153.32,25057.0876
2022-01-10,D4,Jan,2022,Confluence,CON,Cyanobacterium,63474.479999999996,22850.812799999996
2022-01-10,D4,Jan,2022,Confluence,CON,Pennate Diatom,306.64,113919.82639999999
2022-01-10,NZ068,Jan,2022,Northern Interior Delta,NID,Centric Diatom,376.38,140466.6888
2022-01-10,NZ068,Jan,2022,Northern Interior Delta,NID,Cryptophyte,83.64,6385.914
2022-01-10,NZ068,Jan,2022,Northern Interior Delta,NID,Cyanobacterium,16644.36,5991.9696
2022-01-10,NZ068,Jan,2022,Northern Interior Delta,NID,Pennate Diatom,250.92000000000002,343522.026
2022-01-11,D10,Jan,2022,Confluence,CON,Centric Diatom,541.16,182939.138
2022-01-11,D10,Jan,2022,Confluence,CON,Cryptophyte,135.29,46562.7593
2022-01-11,D10,Jan,2022,Confluence,CON,Cyanobacterium,53845.42,19384.351199999997
2022-01-11,D10,Jan,2022,Confluence,CON,Pennate Diatom,405.87,8375.803899999999
2022-01-11,D6,Jan,2022,San Pablo Bay,SPB,Centric Diatom,204.44,130919.28719999999
2022-01-11,D6,Jan,2022,San Pablo Bay,SPB,Cryptophyte,306.65999999999997,55206.9776
2022-01-11,D6,Jan,2022,San Pablo Bay,SPB,Cyanobacterium,40376.9,14535.684
2022-01-11,D8,Jan,2022,Grizzly and Suisun Bay,GSB,Centric Diatom,459.96,344385.8508
2022-01-11,D8,Jan,2022,Grizzly and Suisun Bay,GSB,Cyanobacterium,62861.2,22630.032
2022-01-11,D8,Jan,2022,Grizzly and Suisun Bay,GSB,Pennate Diatom,153.32,17559.7396
2022-01-11,EZ2,Jan,2022,Entrapment Zone,EZ,Cyanobacterium,49180.98,22116.1088
2022-01-11,EZ2,Jan,2022,Entrapment Zone,EZ,Pennate Diatom,117.94,2653.65
2022-01-11,EZ6,Jan,2022,Entrapment Zone,EZ,Centric Diatom,836.28,211077.07200000001
2022-01-11,EZ6,Jan,2022,Entrapment Zone,EZ,Cryptophyte,139.38,2342.9777999999997
2022-01-11,EZ6,Jan,2022,Entrapment Zone,EZ,Cyanobacterium,60909.06,21927.261599999998
2022-01-11,EZ6,Jan,2022,Entrapment Zone,EZ,Pennate Diatom,418.14,25949.7684
2022-01-12,D7,Jan,2022,Grizzly and Suisun Bay,GSB,Centric Diatom,191.65,48167.3945
2022-01-12,D7,Jan,2022,Grizzly and Suisun Bay,GSB,Cryptophyte,383.3,29264.954999999998
2022-01-12,D7,Jan,2022,Grizzly and Suisun Bay,GSB,Cyanobacterium,78576.5,28287.54
2022-01-12,NZ032,Jan,2022,Grizzly and Suisun Bay,GSB,Centric Diatom,229.98,35403.1212
2022-01-12,NZ032,Jan,2022,Grizzly and Suisun Bay,GSB,Cyanobacterium,97281.54,35021.3544
2022-01-12,NZ032,Jan,2022,Grizzly and Suisun Bay,GSB,Pennate Diatom,229.98,433068.4386
2022-01-12,NZS42,Jan,2022,Grizzly and Suisun Bay,GSB,Centric Diatom,287.48,89828.87560000001
2022-01-12,NZS42,Jan,2022,Grizzly and Suisun Bay,GSB,Cyanobacterium,58214.700000000004,20957.291999999998
2022-01-12,NZS42,Jan,2022,Grizzly and Suisun Bay,GSB,Green Alga,143.74,835.1294
2022-01-12,NZS42,Jan,2022,Grizzly and Suisun Bay,GSB,Pennate Diatom,287.48,12079.9096
2022-01-13,D41,Jan,2022,San Pablo Bay,SPB,Centric Diatom,363.12,57783.2856
2022-01-13,D41,Jan,2022,San Pablo Bay,SPB,Cryptophyte,242.08,94859.65320000003
2022-01-13,D41,Jan,2022,San Pablo Bay,SPB,Cyanobacterium,23723.84,8540.582400000001
