SampleID,AlgalType,Units.per.mL,,SampleDate,StationCode,Month,Year,Region,RegionAbbv,Season
C10A.Jan.2022,Centric Diatom,451.77,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Winter
C10A.Jan.2022,Cryptophyte,164.28,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Winter
C10A.Jan.2022,Cyanobacterium,15647.67,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Winter
C10A.Jan.2022,Pennate Diatom,410.7,,1/5/2022,C10A,Jan,2022,Southern Interior Delta,SID,Winter
C3A.Jan.2022,Centric Diatom,88.46,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Winter
C3A.Jan.2022,Cryptophyte,176.92,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Winter
C3A.Jan.2022,Cyanobacterium,34587.86,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Winter
C3A.Jan.2022,Green Alga,88.46,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Winter
C3A.Jan.2022,Pennate Diatom,530.76,,1/5/2022,C3A,Jan,2022,Northern Interior Delta,NID,Winter
C9.Jan.2022,Cryptophyte,302.6,,1/5/2022,C9,Jan,2022,Southern Interior Delta,SID,Winter
C9.Jan.2022,Cyanobacterium,25236.84,,1/5/2022,C9,Jan,2022,Southern Interior Delta,SID,Winter
C9.Jan.2022,Pennate Diatom,181.56,,1/5/2022,C9,Jan,2022,Southern Interior Delta,SID,Winter
D16.Jan.2022,Centric Diatom,204.44,,1/6/2022,D16,Jan,2022,Central Delta,CED,Winter
D16.Jan.2022,Cryptophyte,153.33,,1/6/2022,D16,Jan,2022,Central Delta,CED,Winter
D16.Jan.2022,Cyanobacterium,20750.66,,1/6/2022,D16,Jan,2022,Central Delta,CED,Winter
D16.Jan.2022,Pennate Diatom,357.77,,1/6/2022,D16,Jan,2022,Central Delta,CED,Winter
D19.Jan.2022,Cryptophyte,239.55,,1/6/2022,D19,Jan,2022,Central Delta,CED,Winter
D19.Jan.2022,Cyanobacterium,19451.46,,1/6/2022,D19,Jan,2022,Central Delta,CED,Winter
D19.Jan.2022,Green Alga,47.91,,1/6/2022,D19,Jan,2022,Central Delta,CED,Winter
D19.Jan.2022,Pennate Diatom,143.73,,1/6/2022,D19,Jan,2022,Central Delta,CED,Winter
D28A.Jan.2022,Centric Diatom,28.75,,1/6/2022,D28A,Jan,2022,Central Delta,CED,Winter
D28A.Jan.2022,Cryptophyte,86.25,,1/6/2022,D28A,Jan,2022,Central Delta,CED,Winter
D28A.Jan.2022,Cyanobacterium,11356.25,,1/6/2022,D28A,Jan,2022,Central Delta,CED,Winter
D28A.Jan.2022,Pennate Diatom,143.75,,1/6/2022,D28A,Jan,2022,Central Delta,CED,Winter
D26.Jan.2022,Centric Diatom,71.87,,1/7/2022,D26,Jan,2022,Central Delta,CED,Winter
D26.Jan.2022,Cryptophyte,143.74,,1/7/2022,D26,Jan,2022,Central Delta,CED,Winter
D26.Jan.2022,Cyanobacterium,29826.05,,1/7/2022,D26,Jan,2022,Central Delta,CED,Winter
D26.Jan.2022,Pennate Diatom,287.48,,1/7/2022,D26,Jan,2022,Central Delta,CED,Winter
MD10A.Jan.2022,Chrysophyte,30.06,,1/7/2022,MD10A,Jan,2022,Southern Interior Delta,SID,Winter
MD10A.Jan.2022,Cyanobacterium,11933.82,,1/7/2022,MD10A,Jan,2022,Southern Interior Delta,SID,Winter
MD10A.Jan.2022,Pennate Diatom,60.12,,1/7/2022,MD10A,Jan,2022,Southern Interior Delta,SID,Winter
P8.Jan.2022,Cyanobacterium,32773.86,,1/7/2022,P8,Jan,2022,Southern Interior Delta,SID,Winter
P8.Jan.2022,Pennate Diatom,246.42,,1/7/2022,P8,Jan,2022,Southern Interior Delta,SID,Winter
D22.Jan.2022,Centric Diatom,262.86,,1/10/2022,D22,Jan,2022,Confluence,CON,Winter
D22.Jan.2022,Cryptophyte,131.43,,1/10/2022,D22,Jan,2022,Confluence,CON,Winter
D22.Jan.2022,Cyanobacterium,17173.52,,1/10/2022,D22,Jan,2022,Confluence,CON,Winter
D22.Jan.2022,Pennate Diatom,481.91,,1/10/2022,D22,Jan,2022,Confluence,CON,Winter
D4.Jan.2022,Cryptophyte,153.32,,1/10/2022,D4,Jan,2022,Confluence,CON,Winter
D4.Jan.2022,Cyanobacterium,63474.48,,1/10/2022,D4,Jan,2022,Confluence,CON,Winter
D4.Jan.2022,Pennate Diatom,306.64,,1/10/2022,D4,Jan,2022,Confluence,CON,Winter
NZ068.Jan.2022,Centric Diatom,376.38,,1/10/2022,NZ068,Jan,2022,Northern Interior Delta,NID,Winter
NZ068.Jan.2022,Cryptophyte,83.64,,1/10/2022,NZ068,Jan,2022,Northern Interior Delta,NID,Winter
NZ068.Jan.2022,Cyanobacterium,16644.36,,1/10/2022,NZ068,Jan,2022,Northern Interior Delta,NID,Winter
NZ068.Jan.2022,Pennate Diatom,250.92,,1/10/2022,NZ068,Jan,2022,Northern Interior Delta,NID,Winter
D10.Jan.2022,Centric Diatom,541.16,,1/11/2022,D10,Jan,2022,Confluence,CON,Winter
D10.Jan.2022,Cryptophyte,135.29,,1/11/2022,D10,Jan,2022,Confluence,CON,Winter
D10.Jan.2022,Cyanobacterium,53845.42,,1/11/2022,D10,Jan,2022,Confluence,CON,Winter
D10.Jan.2022,Pennate Diatom,405.87,,1/11/2022,D10,Jan,2022,Confluence,CON,Winter
D6.Jan.2022,Centric Diatom,204.44,,1/11/2022,D6,Jan,2022,San Pablo Bay,SPB,Winter
D6.Jan.2022,Cryptophyte,306.66,,1/11/2022,D6,Jan,2022,San Pablo Bay,SPB,Winter
D6.Jan.2022,Cyanobacterium,40376.9,,1/11/2022,D6,Jan,2022,San Pablo Bay,SPB,Winter
D8.Jan.2022,Centric Diatom,459.96,,1/11/2022,D8,Jan,2022,Grizzly and Suisun Bay,GSB,Winter
D8.Jan.2022,Cyanobacterium,62861.2,,1/11/2022,D8,Jan,2022,Grizzly and Suisun Bay,GSB,Winter
D8.Jan.2022,Pennate Diatom,153.32,,1/11/2022,D8,Jan,2022,Grizzly and Suisun Bay,GSB,Winter
