Month,Chla,Pheo,Region
Mar,5.34,1,Confluence
Apr,8.37,2.33,Confluence
May,1.57,1.44,Confluence
Jun,2.89,0.93,Confluence
Jul,3.71,0.95,Confluence
Aug,3.33,1.33,Confluence
Sep,2.18,1.71,Confluence
Oct,1.14,2.09,Confluence
Nov,0.99,2.2,Confluence
Dec,1.22,1.72,Confluence
Mar,4.71,1,GrizzlySuisun Bay
Apr,8.74,4.1,GrizzlySuisun Bay
May,3.91,1.22,GrizzlySuisun Bay
Jun,4.04,0.87,GrizzlySuisun Bay
Jul,5.2,0.92,GrizzlySuisun Bay
Aug,6.46,2.22,GrizzlySuisun Bay
Sep,2.29,1.49,GrizzlySuisun Bay
Oct,2.02,2.24,GrizzlySuisun Bay
Nov,1.61,1.69,GrizzlySuisun Bay
Dec,1.13,2.03,GrizzlySuisun Bay
Mar,3.1,0.88,Northern Interior Delta
Apr,2.86,0.73,Northern Interior Delta
May,3.88,1.54,Northern Interior Delta
Jun,1.57,0.62,Northern Interior Delta
Jul,2.3,0.8,Northern Interior Delta
Aug,2.02,1.25,Northern Interior Delta
Sep,1.58,,Northern Interior Delta
Oct,1.85,1.51,Northern Interior Delta
Nov,0.66,0.79,Northern Interior Delta
Dec,1.55,1.5,Northern Interior Delta
Mar,7.6,0.74,Southern Interior Delta
Apr,5.94,1.5,Southern Interior Delta
May,2.35,1.06,Southern Interior Delta
Jun,2.98,0.92,Southern Interior Delta
Jul,4.46,2.31,Southern Interior Delta
Aug,3.79,1.4,Southern Interior Delta
Sep,2.64,1.29,Southern Interior Delta
Oct,2.04,1.31,Southern Interior Delta
Nov,1.14,1.09,Southern Interior Delta
Dec,1.35,1.46,Southern Interior Delta
Mar,2.83,,San Pablo Bay
Apr,2.94,0.56,San Pablo Bay
May,2.5,0.81,San Pablo Bay
Jun,5.1,1.12,San Pablo Bay
Jul,5.23,2.4,San Pablo Bay
Aug,4.14,1.53,San Pablo Bay
Sep,2.93,1.11,San Pablo Bay
Oct,3.54,1.4,San Pablo Bay
Nov,2.48,0.66,San Pablo Bay
Dec,1.27,2.13,San Pablo Bay
