MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Algal Type,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,4/18/2023,12:10,E0423B0936,D7,3,59,4,6.78%,0.0683,314.159,0.8879,13,88.46,40,Gogorevia exilis,Pennate Diatom,Gogorevia,exilis,,1,1,16.7,,,i,BSA.04-08,CB,High sediment and detritus.,elliptic prism,698.83,,,,,,,,,
Phyto,3/13/2023,10:00,E0323B0462,D19,3,62,3,4.84%,0.0683,314.159,0.9562,14,109.52,44,Achnanthidium minutissimum,Pennate Diatom,Achnanthidium,minutissimum,,1,1,14.8,,,i,BSA.03-05,CB,High sediment.,elliptic prism,172.03,,,,,,,,,
Phyto,4/13/2023,9:20,E0423B0801,D26,3,62,4,6.45%,0.0683,314.159,1.0245,15,76.66,44,Achnanthidium minutissimum,Pennate Diatom,Achnanthidium,minutissimum,,1,1,13.2,,,i,BSA.04-18,CB,High sediment.,elliptic prism,149.6,,,,,,,,,
Phyto,6/13/2023,11:40,E0623B1310,EZ2,3,62,2,3.23%,0.0683,314.159,0.8879,13,176.91,44,Achnanthidium minutissimum,Pennate Diatom,Achnanthidium,minutissimum,,1,1,8.3,,,i,BSA.06-18,ZW,Cannot meet tally in 2 transects.,elliptic prism,36.51,,,,,,,,,
Phyto,7/7/2023,11:15,E0723B1542,C10A,3,60,1,1.67%,5.9,314.159,11.8,2,26.62,44,Achnanthidium minutissimum,Pennate Diatom,Achnanthidium,minutissimum,,1,1,8.3,,,i,BSA.07-03,ZW,Cannot meet tally in 50 fields. Cannot meet tally in 2 transects.,elliptic prism,36.51,,,,,,,,,
Phyto,8/4/2023,10:15,E0823B1755,C10A,3,63,3,4.76%,0.0683,314.159,0.9562,14,109.52,44,Achnanthidium minutissimum,Pennate Diatom,Achnanthidium,minutissimum,,2,2,9.3,,,i,BSA.08-07,CB,Cannot meet tally in 2 transects.,elliptic prism,35.06,,,,,,,,,
Phyto,9/1/2023,9:45,E0923B2124,C10A,3,62,3,4.84%,5.9,314.159,11.8,2,8.87,44,Achnanthidium minutissimum,Pennate Diatom,Achnanthidium,minutissimum,,1,1,13,,,i,BSA.09-07,CB,Cannot meet tally in 2 transects.,elliptic prism,132.22,,,,,,,,,
Phyto,10/4/2023,9:10,E1023B2532,D26,3,63,2,3.17%,5.9,314.159,11.8,2,13.31,44,Achnanthidium minutissimum,Pennate Diatom,Achnanthidium,minutissimum,,1,1,11.1,,,i,BSA.10-07,CB,Cannot meet tally in 2 transects. Moderate sediment.,elliptic prism,129.03,,,,,,,,,
Phyto,1/13/2023,13:00,E0123B0032,P8,3,62,2,3.23%,0.0683,314.159,1.0928,16,143.74,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,9.3,,,i,BSA.01-02,CB,High sediment and detritus.,elliptic prism,91.89,,,,,,,,,
Phyto,1/12/2023,11:15,E0123B0009,D28A,3,62,2,3.23%,0.0697,314.159,0.9061,13,173.36,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,13,,,i,BSA.01-09,BB,High sediment.,elliptic prism,139.78,,,,,,,,,
Phyto,1/11/2023,10:15,E0123B0002,C3A,3,62,1,1.61%,0.0683,314.159,0.4781,7,657.1,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,14.8,,,i,BSA.01-18,AB,Poorly preserved. High sediment and moderate detritus.,elliptic prism,126.12,,,,,,,,,
Phyto,2/13/2023,9:10,E0223B0247,D12,3,62,1,1.61%,0.0697,314.159,0.8364,12,375.61,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,14.8,,,i,BSA.02-02,BB,,elliptic prism,91.13,,,,,,,,,
Phyto,2/16/2023,13:10,E0223B0397,EZ6,3,63,1,1.59%,0.0683,314.159,0.9562,14,328.55,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,7.4,,,i,BSA.02-21,CB,High sediment.,elliptic prism,75.26,,,,,,,,,
Phyto,3/15/2023,9:25,E0323B0528,D26,3,63,1,1.59%,0.0697,314.159,0.7667,11,409.75,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,9.3,,,i,BSA.03-04,BB,,elliptic prism,99.99,,,,,,,,,
Phyto,3/10/2023,7:30,E0323B0450,C3A,3,60,2,3.33%,0.0683,314.159,0.9562,14,164.27,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,3,3,16.7,,,i,BSA.03-10,CB,High sediment and detritus. ,elliptic prism,93.49,,,,,,,,,
Phyto,3/17/2023,12:50,E0323B0693,D10,3,63,3,4.76%,0.0683,314.159,0.8196,12,127.77,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,9.3,,,i,BSA.03-14,CB,High sediment.,elliptic prism,94.59,,,,,,,,,
Phyto,4/19/2023,16:25,E0423B0988,NZ004,3,62,2,3.23%,0.0683,314.159,0.6147,9,255.54,46,cf. Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,12,,,i,BSA.04-04,AB,Moderate sediment.,elliptic prism,67.86,,,,,,,,,
Phyto,4/14/2023,12:15,E0423B0830,NZ068,3,60,4,6.67%,0.0683,314.159,0.9562,14,82.14,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,2,2,13,,,i,BSA.04-20,CB,High sediment.,elliptic prism,153.15,,,,,,,,,
Phyto,4/17/2023,12:25,E0423B0894,D6,3,60,1,1.67%,0.0683,314.159,0.8879,13,353.82,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,13,,,i,BSA.04-21,AB,Moderate detritus.,elliptic prism,79.64,,,,,,,,,
Phyto,5/11/2023,8:30,E0523B1002,D12,3,63,3,4.76%,0.0683,314.159,0.9562,14,109.52,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,13,,,i,BSA.05-03,CB,High sediment.,elliptic prism,132.22,,,,,,,,,
Phyto,5/10/2023,10:15,E0523B0992,C9,3,62,4,6.45%,0.0683,314.159,0.8196,12,95.83,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,13,,,i,BSA.05-06,CB,High sediment.,elliptic prism,132.22,,,,,,,,,
Phyto,5/15/2023,14:00,E0523B1066,NZ068,3,61,4,6.56%,0.0697,314.159,1.1849,17,66.28,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,13,,,i,BSA.05-08,BB,,elliptic prism,105.78,,,,,,,,,
Phyto,5/12/2023,9:30,E0523B0137,D26,3,61,7,11.48%,0.0683,314.159,0.9562,14,46.94,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,2,2,13,,,i,BSA.05-09,CB,High sediment.,elliptic prism,103.74,,,,,,,,,
Phyto,5/16/2023,14:10,E0523B1131,D8,3,62,6,9.68%,0.0683,314.159,0.8196,12,63.88,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,10.4,,,i,BSA.05-12,AB,Moderate sediment and detritus.,elliptic prism,85.77,,,,,,,,,
Phyto,5/15/2023,13:10,E0523B1065,D22,3,60,6,10.00%,0.0683,314.159,0.7513,11,69.69,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,13,,,i,BSA.05-15,AB,Low sediment.,elliptic prism,40.74,,,,,,,,,
Phyto,5/18/2023,15:05,E0523B1223,NZ002,3,61,3,4.92%,0.0683,314.159,0.9562,14,109.52,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,9.3,,,i,BSA.05-17,CB,,elliptic prism,24.98,,,,,,,,,
Phyto,5/18/2023,14:25,E0523B1222,NZ325,3,55,2,3.64%,0.0683,314.159,0.9562,14,164.27,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,2,2,13,,,i,BSA.05-18,CB,High sediment.,elliptic prism,66.5,,,,,,,,,
