MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Count Method,Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Algal Type,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,5.9000,Transect,314.159,11.8,2,2.66,44,Achnanthidium minutissimum,Pennate Diatom,Achnanthidium,minutissimum,,1,1,11.1,,,i,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,elliptic prism,38.10
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,0.0683,Field,314.159,1.2977,19,24.21,46,Achnanthidium sp.,Pennate Diatom,Achnanthidium,sp.,,1,1,7.4,,,i,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,elliptic prism,68.81
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,5.9000,Transect,314.159,11.8,2,2.66,147,Cocconeis sp.,Pennate Diatom,Cocconeis,sp.,,5,5,18.5,,,i,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,elliptic prism,503.90
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,5.9000,Transect,314.159,11.8,2,2.66,169,Cyclostephanos sp.,Centric Diatom,Cyclostephanos,sp.,,1,1,16.7,,,i,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,cylinder,1818.03
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,0.0683,Field,314.159,1.2977,19,24.21,190,Cyclotella sp.,Centric Diatom,Cyclotella,sp.,,1,1,11.1,,,i,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,cylinder,532.23
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,5.9000,Transect,314.159,11.8,2,2.66,273,Diatoma sp.,Pennate Diatom,Diatoma,sp.,,1,1,22.2,,,i,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,elliptic prism,995.93
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,0.0683,Field,314.159,1.2977,19,24.21,310,Encyonema sp.,Pennate Diatom,Encyonema,sp.,,2,2,27.8,,,i,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,cymbelloid,175.26
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,5.9000,Transect,314.159,11.8,2,2.66,397,Fragilaria sp.,Pennate Diatom,Fragilaria,sp.,,1,1,35.2,,,i,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,elliptic prism,317.10
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,5.9000,Transect,314.159,11.8,2,2.66,2104,cf. Humidophila sp.,Pennate Diatom,Humidophila,sp.,,1,1,7.4,,,i,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,elliptic prism,32.02
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,0.0683,Field,314.159,1.2977,19,24.21,631,Navicula sp.,Pennate Diatom,Navicula,sp.,,1,1,22.2,,,i,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,elliptic prism,2999.83
Phyto,1/3/2024,13:30,E0124B0037,D28A,3,60,10,16.67%,0.0683,Field,314.159,1.2977,19,24.21,749,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,,1,1,31.5,,,i,BSA.01-01,CB,Cannot meet tally in 2 transects. Moderate sediment and low detritus.,prism on parallelogram,186.48
