Station Name,DateTime,Chla
C10A,1/11/2024 9:45,2.18
C10A,2/1/2024 13:45,4.14
C10A,3/15/2024 12:30,9.15
C10A,4/12/2024 11:00,3.36
C9,1/11/2024 8:30,0.88
C9,2/1/2024 12:15,1.02
C9,3/15/2024 11:00,1.28
C9,4/12/2024 9:30,1.64
D10,1/8/2024 13:30,1.12
D10,2/6/2024 14:15,0.86
D10,3/22/2024 14:30,4.1
D10,4/19/2024 14:35,3.05
D12,1/3/2024 10:05,1.44
D12,2/1/2024 9:10,0.91
D12,3/18/2024 11:25,2.54
D12,4/15/2024 9:25,1.54
D16,1/4/2024 10:30,1.32
D16,2/2/2024 9:10,0.59
D16,3/18/2024 12:45,2.05
D16,4/16/2024 9:35,1.56
D19,1/3/2024 12:30,3.04
D19,2/1/2024 10:35,1
D19,3/18/2024 13:40,1.85
D19,4/15/2024 10:50,1.58
D22,1/5/2024 12:35,1.16
D22,2/5/2024 12:50,1.5
D22,3/20/2024 13:45,4.17
D22,4/17/2024 11:50,2.07
D26,1/4/2024 11:35,1.17
D26,2/2/2024 10:05,0.62
D26,3/19/2024 12:05,1.46
D26,4/16/2024 10:35,1.35
D28A,1/3/2024 13:30,1.42
D28A,2/1/2024 11:25,0.82
D28A,3/18/2024 14:20,2.43
D28A,4/15/2024 11:40,1.53
D4,1/5/2024 10:55,1.17
D4,2/5/2024 11:45,1.28
D4,3/20/2024 12:50,4.07
D4,4/17/2024 10:55,2.21
D41,1/10/2024 11:30,1.62
D41,2/8/2024 12:10,2.15
D41,3/25/2024 12:50,3.18
D41,4/22/2024 13:20,2.64
D41A,1/10/2024 9:50,1.82
D41A,2/8/2024 10:15,1.29
D41A,3/25/2024 12:05,4.01
D41A,4/22/2024 11:45,3.03
D6,1/8/2024 11:40,2.31
D6,2/6/2024 11:20,1.14
D6,3/22/2024 12:50,2.2
D6,4/19/2024 11:40,2.54
D7,1/9/2024 11:40,1.18
D7,2/7/2024 11:30,0.98
D7,3/21/2024 11:10,3.36
D7,4/18/2024 10:10,3.02
D8,1/8/2024 12:45,1.27
D8,2/6/2024 12:30,0.9
D8,3/22/2024 13:45,3.42
D8,4/19/2024 13:00,2.34
MD10A,1/4/2024 13:20,0.81
MD10A,2/2/2024 11:35,0.74
MD10A,3/19/2024 12:45,0.87
MD10A,4/16/2024 12:10,0.86
NZ002,1/10/2024 12:35,1.79
NZ002,2/8/2024 14:00,1.96
NZ002,3/25/2024 13:55,4.59
NZ002,4/22/2024 14:20,3.62
NZ004,1/10/2024 12:50,1.79
NZ004,2/8/2024 14:55,0.91
NZ004,3/25/2024 14:15,2.05
NZ004,4/22/2024 15:05,2.49
NZ032,1/9/2024 14:15,1.95
NZ032,2/7/2024 14:25,1.28
NZ032,3/21/2024 13:30,3.99
NZ032,4/18/2024 12:55,3.89
NZ068,1/5/2024 13:40,0.76
NZ068,2/5/2024 13:45,1.7
NZ068,3/20/2024 14:40,4.18
NZ068,4/17/2024 12:50,1.58
NZ325,1/10/2024 12:15,1.84
NZ325,2/8/2024 13:05,3.83
NZ325,3/25/2024 13:40,4.98
NZ325,4/22/2024 14:05,4.82
NZS42,1/9/2024 13:05,1.81
NZS42,2/7/2024 13:10,1.47
NZS42,3/21/2024 12:20,3.22
NZS42,4/18/2024 11:45,3.26
P8,1/4/2024 14:55,1.17
P8,2/2/2024 13:20,1.38
P8,3/19/2024 13:30,5.45
P8,4/16/2024 13:50,4.3
EZ2,1/5/2024 10:50,0.95
EZ2,2/6/2024 14:40,0.89
EZ2,4/19/2024 13:50,2.2
EZ6,1/5/2024 10:45,0.74
EZ6,2/6/2024 13:20,0.82
EZ6,4/19/2024 12:50,2.45
EZ2,1/3/2024 11:30,1.23
C3A,1/11/2024 6:30,1.75
C3A,2/1/2024 10:30,1.88
C3A,3/15/2024 9:15,4.08
C3A,4/12/2024 7:45,2.52
