SampleDate,StationCode,Taxon,Algal Type,Genus,Organisms per mL
1/7/2025,D19,Achnanthidium sp.,Pennate Diatom,Achnanthidium,37.27310169
1/7/2025,D19,Cocconeis placentula,Pennate Diatom,Cocconeis,51.10769481
1/7/2025,D19,Cocconeis sp.,Pennate Diatom,Cocconeis,5.324728814
1/7/2025,D19,cf. Cyclotella sp.,Centric Diatom,Cyclotella,51.10769481
1/7/2025,D19,Cyclotella sp.,Centric Diatom,Cyclotella,42.59783051
1/7/2025,D19,Fragilaria spp.,Pennate Diatom,Fragilaria,10.64945763
1/7/2025,D19,Melosira varians,Centric Diatom,Melosira,10.64945763
1/7/2025,D19,Nitzschia sp.,Pennate Diatom,Nitzschia,5.324728814
1/7/2025,D19,Pseudostaurosira sp.,Pennate Diatom,Pseudostaurosira,5.324728814
1/7/2025,D19,Reimeria sp.,Pennate Diatom,Reimeria,10.64945763
1/7/2025,D19,Thalassiosira sp.,Centric Diatom,Thalassiosira,10.64945763
1/7/2025,D19,Chlamydomonas sp.,Green Alga,Chlamydomonas,47.92255932
1/7/2025,D19,Chlorella sp.,Green Alga,Chlorella,1073.261591
1/7/2025,D19,Chloromonas sp.,Green Alga,Chloromonas,51.10769481
1/7/2025,D19,Monoraphidium contortum,Green Alga,Monoraphidium,10.64945763
1/7/2025,D19,Chrysococcus sp.,Chrysophyte,Chrysococcus,133.1182203
1/7/2025,D19,Kephyrion sp.,Chrysophyte,Kephyrion,10.64945763
1/7/2025,D19,Cryptomonas sp.,Cryptophyte,Cryptomonas,31.94837288
1/7/2025,D19,Plagioselmis lacustris,Cryptophyte,Plagioselmis,15.97418644
1/7/2025,D19,Plagioselmis sp.,Cryptophyte,Plagioselmis,459.9692533
1/7/2025,D19,Eucapsis microscopica,Cyanobacterium,Eucapsis,19165.38555
1/7/2025,D19,Pseudanabaena sp.,Cyanobacterium,Pseudanabaena,5.324728814
1/7/2025,D19,Tintinnidium sp.,Ciliate,Tintinnidium,10.64945763
1/7/2025,D28A,Achnanthidium sp.,Pennate Diatom,Achnanthidium,11.41013317
1/7/2025,D28A,Bacillaria paxillifer,Pennate Diatom,Bacillaria,3.803377724
1/7/2025,D28A,Cocconeis placentula,Pennate Diatom,Cocconeis,220.595908
1/7/2025,D28A,cf. Cyclotella sp.,Centric Diatom,Cyclotella,93.87127618
1/7/2025,D28A,Cyclotella sp.,Centric Diatom,Cyclotella,38.03377724
1/7/2025,D28A,Encyonema sp.,Pennate Diatom,Encyonema,7.606755448
1/7/2025,D28A,Epithemia sp.,Pennate Diatom,Epithemia,23.46781905
1/7/2025,D28A,Fragilaria sp.,Pennate Diatom,Fragilaria,46.93563809
1/7/2025,D28A,Gomphonema sp.,Pennate Diatom,Gomphonema,23.46781905
1/7/2025,D28A,Gyrosigma sp.,Pennate Diatom,Gyrosigma,23.46781905
1/7/2025,D28A,Melosira sp.,Centric Diatom,Melosira,3.803377724
1/7/2025,D28A,Navicula sp.,Pennate Diatom,Navicula,22.82026634
1/7/2025,D28A,Nitzschia inconspicua,Pennate Diatom,Nitzschia,46.93563809
1/7/2025,D28A,Nitzschia sp.,Pennate Diatom,Nitzschia,19.01688862
1/7/2025,D28A,Rhoicosphenia sp.,Pennate Diatom,Rhoicosphenia,11.41013317
1/7/2025,D28A,Staurosira sp.,Pennate Diatom,Staurosira,11.41013317
1/7/2025,D28A,Tryblionella sp.,Pennate Diatom,Tryblionella,7.606755448
1/7/2025,D28A,Chlorella sp.,Green Alga,Chlorella,1009.116219
1/7/2025,D28A,Monoraphidium sp.,Green Alga,Monoraphidium,46.93563809
1/7/2025,D28A,Tetraedron minimum,Green Alga,Tetraedron,3.803377724
1/7/2025,D28A,Kephyrion sp.,Chrysophyte,Kephyrion,46.93563809
1/7/2025,D28A,Cryptomonas sp.,Cryptophyte,Cryptomonas,23.46781905
1/7/2025,D28A,Plagioselmis lacustris,Cryptophyte,Plagioselmis,53.24728814
1/7/2025,D28A,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,70.40345714
1/7/2025,D28A,Plagioselmis sp.,Cryptophyte,Plagioselmis,117.3390952
1/7/2025,D28A,Eucapsis microscopica,Cyanobacterium,Eucapsis,7791.315923
1/7/2025,D28A,cf. Microcystis sp.,Cyanobacterium,Microcystis,23.46781905
1/7/2025,D28A,Planktolyngbya limnetica,Cyanobacterium,Planktolyngbya,23.46781905
1/8/2025,D26,Achnanthidium sp.,Pennate Diatom,Achnanthidium,41.06868333
1/8/2025,D26,Actinocyclus sp.,Centric Diatom,Actinocyclus,2.218637006
1/8/2025,D26,Aulacoseira alpigena,Centric Diatom,Aulacoseira,205.3434166
1/8/2025,D26,Aulacoseira sp. ,Centric Diatom,Aulacoseira,4.437274011
1/8/2025,D26,Cocconeis placentula,Pennate Diatom,Cocconeis,8.874548023
1/8/2025,D26,Cocconeis sp.,Pennate Diatom,Cocconeis,41.06868333
1/8/2025,D26,cf. Cyclotella sp.,Centric Diatom,Cyclotella,123.20605
1/8/2025,D26,Cyclotella sp.,Centric Diatom,Cyclotella,22.18637006
1/8/2025,D26,Encyonema sp.,Pennate Diatom,Encyonema,2.218637006
