SampleID,Taxon,Organisms per mL,,SampleDate,Month,Year,StationCode,,Algal Type,Genus
Apr.2024_C10A,Achnanthidium minutissimum,41.81538666,,4/12/2024,Apr,2024,C10A,,Pennate Diatom,Achnanthidium
Apr.2024_C10A,Achnanthidium sp.,21.29891525,,4/12/2024,Apr,2024,C10A,,Pennate Diatom,Achnanthidium
Apr.2024_C10A,Actinastrum sp.,10.64945763,,4/12/2024,Apr,2024,C10A,,Green Alga,Actinastrum
Apr.2024_C10A,Aulacoseira sp.,10.64945763,,4/12/2024,Apr,2024,C10A,,Centric Diatom,Aulacoseira
Apr.2024_C10A,Chlamydomonas sp.,41.81538666,,4/12/2024,Apr,2024,C10A,,Green Alga,Chlamydomonas
Apr.2024_C10A,Chlorella sp.,138.4429492,,4/12/2024,Apr,2024,C10A,,Green Alga,Chlorella
Apr.2024_C10A,Cocconeis sp.,21.29891525,,4/12/2024,Apr,2024,C10A,,Pennate Diatom,Cocconeis
Apr.2024_C10A,Cryptomonas sp.,10.64945763,,4/12/2024,Apr,2024,C10A,,Cryptophyte,Cryptomonas
Apr.2024_C10A,Cyclotella sp.,298.1848136,,4/12/2024,Apr,2024,C10A,,Centric Diatom,Cyclotella
Apr.2024_C10A,Desmodesmus sp.,83.63077333,,4/12/2024,Apr,2024,C10A,,Green Alga,Desmodesmus
Apr.2024_C10A,Diploneis sp.,10.64945763,,4/12/2024,Apr,2024,C10A,,Pennate Diatom,Diploneis
Apr.2024_C10A,Encyonema sp.,74.54620339,,4/12/2024,Apr,2024,C10A,,Pennate Diatom,Encyonema
Apr.2024_C10A,Eucapsis microscopica,16266.18541,,4/12/2024,Apr,2024,C10A,,Cyanobacterium,Eucapsis
Apr.2024_C10A,Gomphonema sp.,21.29891525,,4/12/2024,Apr,2024,C10A,,Pennate Diatom,Gomphonema
Apr.2024_C10A,Melosira varians,83.63077333,,4/12/2024,Apr,2024,C10A,,Centric Diatom,Melosira
Apr.2024_C10A,Monoraphidium convolutum,10.64945763,,4/12/2024,Apr,2024,C10A,,Green Alga,Monoraphidium
